Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
gdal,c++,20181217,16d6a60bc8171878a80efa9abcb1aee27ca646a4,4686512b973c9d2b23d2c2d8a5e4ffc23bea506e,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20190630,93a5d502cf7713c04e1884b5a2908256cce49172,9676a0fc7d6cb006aeecc6764336f109395d3d27,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20190104,69ed9369851a36d8c8a848486ffffea5c126b030,d7e1da18851695b9c865dccbcb24560c744f9f26,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20200623,0ea4187a72b4aee40b46399dc6b082d49ae83c2f,1c8f6c7acbe84113361fcf72985a1d78947f695a,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20190715,5756b391ab1e18ac582b85e1e6d524c406fffde1,801925c1a1348acb2136706ecd9d1fef1c3d40a4,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20200610,d8992711507e12c0453688fff5ea336472119989,0f2d7e956f88679a2ff40c803c61a08c7c099089,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20200629,716f3fdf4b25019cf2b1ca7e1cc31fc51c2b09f0,23132078196471fa49f557f05e2a8bdafef23c10,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20200605,76b4750f583c057222ec1406c4bf59f58be7bab3,88409871d445a1ed7c973533cf2075f904a39f90,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20200618,751613b12c1ccadbe8c6e500b9c4375dbe6ba57b,3615462ff41e209cc7e5b0d3e807722f217f59a2,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20200630,d43f35088a4682ccabd144b3d69cc1f2beee83d0,716f3fdf4b25019cf2b1ca7e1cc31fc51c2b09f0,0,0,https://github.com/OSGeo/gdal,
gdal,c++,20200621,efbead5f48c3781c31966a7065d9a01481e996b9,ecd7ed1420aa07691f88aca66ea8a13af38433f2,2,0,https://github.com/OSGeo/gdal,gdal/ogr/ogrsf_frmts/gtm/gtmwaypointlayer.cpp
gdal,c++,20181223,89883fcf068e4e45b0c91d2e868d1874bae16ab7,24c7d45541f903c462f81057b394df75cbe40df4,7,3,https://github.com/OSGeo/gdal,gdal/port/cpl_vsisimple.cpp
gdal,c++,20200607,3554675bbce8dc00030bac33c99d92764d0f3844,ed3397a0fee3b5f5acbfa1b9c317a18193de8cc2,7,3,https://github.com/OSGeo/gdal,gdal/ogr/ogrsf_frmts/sqlite/ogrsqliteutility.cpp
gdal,c++,20200616,750c76e4d00bb12d2e8c577288ea37b55e0c798f,bdaeec95de25a80b3e644147ee991a4bf8e8b00f,13,0,https://github.com/OSGeo/gdal,gdal/frmts/gtiff/cogdriver.cpp
gdal,c++,20190719,f88e63bda7da48ea1c259b8f8715b2d2c78fac0d,60d8a9ca09c466225508cb82e30a64aefa899a41,4,4,https://github.com/OSGeo/gdal,gdal/frmts/usgsdem/usgsdemdataset.cpp
gdal,c++,20190629,9676a0fc7d6cb006aeecc6764336f109395d3d27,6dbdb7d5bcd0db7afe0edaf492fc1a4dc3e63c58,3,0,https://github.com/OSGeo/gdal,gdal/frmts/gtiff/cogdriver.cpp
gdal,c++,20200608,99073ccfd03991e9b7b10618eb734fc3c593a4a7,3554675bbce8dc00030bac33c99d92764d0f3844,17,0,https://github.com/OSGeo/gdal,gdal/frmts/gtiff/gt_overview.cpp
gdal,c++,20181210,fbfb0dc354235da8ad6daa0824f9e52cf8ef2a2c,6b5bc8879996c446736147f8e7968693f05e9cf3,4,4,https://github.com/OSGeo/gdal,gdal/frmts/gtiff/libtiff/tif_pixarlog.c;gdal/frmts/gtiff/libtiff/tif_zip.c
gdal,c++,20200617,3615462ff41e209cc7e5b0d3e807722f217f59a2,750c76e4d00bb12d2e8c577288ea37b55e0c798f,12,1,https://github.com/OSGeo/gdal,gdal/frmts/gtiff/cogdriver.cpp;gdal/ogr/ogr_proj_p.cpp
gdal,c++,20200612,9d3b8c9a8453beee22a08f67d5a60b84dc634558,9f59e01919c53d183fc4ffb4e0e56f28a57fd1ba,5,0,https://github.com/OSGeo/gdal,gdal/port/cpl_port.h
