Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
golang-protobuf,go,20201208,160c7477e0e899d5072bb25635f46053df619fbf,81d297c66c9b1e0606eee19a9ee718dcf149276d,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20210122,f1ac97a4c3faf8af729ff8db5f7b57ca2c7be5d1,160c7477e0e899d5072bb25635f46053df619fbf,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20210807,5aec41b4809b9822a34e17acd06ae9ae9f41c13d,05be61fde35dcaa3502f4430edee444a294d41c3,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20210312,e7ab1125a6bd5d71b9d1e63b0406c6f2b72c3a5d,839ce436895b59ff32f47ca10a6ae33f3f0603e2,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20230208,e831c33179b55b753630e0555cdc32b83b81e954,358fe40267afd0cb5380d132cc93ddcbed2beb44,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20230209,49eaa78c6c9cc759b5ac50b64249247f393e9bdd,e831c33179b55b753630e0555cdc32b83b81e954,1,0,https://github.com/protocolbuffers/protobuf-go,reflect/protoregistry/registry.go
golang-protobuf,go,20230317,808c66411fe76c839a68168654228446fbdc1ecf,e344383da66ac9cf11000f824674793a77fc7d7e,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220722,de9682ad1656cd1ee6808865f7a42f5a5d79eb73,fc44d00d5a99973a6deb0863d6aaa7446c016066,5,4,https://github.com/protocolbuffers/protobuf-go,internal/impl/message.go
golang-protobuf,go,20210316,23ccb359e1a18a9fc77be08aeff34f00d79f4f11,e7ab1125a6bd5d71b9d1e63b0406c6f2b72c3a5d,205,25,https://github.com/protocolbuffers/protobuf-go,internal/impl/codec_message.go;internal/impl/convert.go;internal/impl/legacy_message.go;internal/impl/message_reflect.go;internal/impl/message_reflect_field.go
golang-protobuf,go,20210625,dc573877463cecf21d44511a24554a5dc2e46137,21e33cc91079beb975323466e237f2486ea29c10,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220105,e5db2960ed1380681b571cdf4648230beefaf58b,26e8bcb3c743193558d1a0ff540c9e05f999267d,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220412,8a7ba0762cb3b39fc0536379eac2f7fa5796f187,d77bd4b022342d35babe3feac256c24dd7013669,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220517,a0482351bab7c7f4f0e59acc8e5f3956ce7b2de6,8a7ba0762cb3b39fc0536379eac2f7fa5796f187,15,15,https://github.com/protocolbuffers/protobuf-go,internal/encoding/text/decode.go
golang-protobuf,go,20230207,358fe40267afd0cb5380d132cc93ddcbed2beb44,0430d694e04ae06ca14b27b50e83674d07e2e662,1,1,https://github.com/protocolbuffers/protobuf-go,internal/strs/strings_unsafe.go
golang-protobuf,go,20221115,4d6d2135eba33eaef1c020129188ce7e82aa4270,7a48e2b66218ba306ed801e42126b374aefce255,3,0,https://github.com/protocolbuffers/protobuf-go,proto/equal.go
golang-protobuf,go,20230309,fe5bc5404151983756ef8980016a7d59bd63bb7e,eba8b0975f4efc219baabc1e0e13df28a6e1ad28,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220827,692f4a24f8dc0d375508fc41e657920d411b5b68,fb0abd915897428ccfdd6b03b48ad8219751ee54,7,0,https://github.com/protocolbuffers/protobuf-go,reflect/protoreflect/source_gen.go;types/descriptorpb/descriptor.pb.go
golang-protobuf,go,20230210,246af0d153cae8ef4e2915a8d212167ad0751985,49eaa78c6c9cc759b5ac50b64249247f393e9bdd,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20230316,e344383da66ac9cf11000f824674793a77fc7d7e,32efccd1582255f0ef48bcc3942484e81985c76b,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220618,fc44d00d5a99973a6deb0863d6aaa7446c016066,380c339ec12310c04cd1c399669ab0bce57b6cd6,1,1,https://github.com/protocolbuffers/protobuf-go,proto/equal.go
golang-protobuf,go,20220520,4790de629c8fc2bda206d4d1f0e521d9fb12a2fe,06eea5e15f43e0c4dc757179f79e08fde123bbe9,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20221202,b2a7dfe48b6ae3aac5f05941373d4478c104aa6b,f0e23c7a8f8d55910f877091fdad71d3abb26d10,107,76,https://github.com/protocolbuffers/protobuf-go,proto/equal.go;reflect/protoreflect/value_equal.go
golang-protobuf,go,20230223,bc1253ad37431ee26876db47cd8207cdec81993c,246af0d153cae8ef4e2915a8d212167ad0751985,131,1,https://github.com/protocolbuffers/protobuf-go,reflect/protoreflect/source_gen.go;types/descriptorpb/descriptor.pb.go
golang-protobuf,go,20220322,4c88e077ecd59aa6594b31d8b76a1a0d77cf7517,3992ea83a23c00882339f33511074d251e19822c,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220524,e62d8edb7570c986a51e541c161a0c93bbaf9253,4790de629c8fc2bda206d4d1f0e521d9fb12a2fe,213,57,https://github.com/protocolbuffers/protobuf-go,encoding/protojson/encode.go;encoding/prototext/encode.go;internal/filedesc/build.go;internal/filedesc/desc_list.go;internal/impl/decode.go;internal/impl/legacy_enum.go;internal/impl/legacy_message.go;internal/impl/message.go
golang-protobuf,go,20210629,b03064a95cacfede187231741d9918a75653057d,177d70e4ab5080081d1a77cd3f80bf14ba710257,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20210626,49b6f723d34b4fce3d66f28387836fcd9c9c76c1,dc573877463cecf21d44511a24554a5dc2e46137,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220323,d77bd4b022342d35babe3feac256c24dd7013669,4c88e077ecd59aa6594b31d8b76a1a0d77cf7517,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220921,7a48e2b66218ba306ed801e42126b374aefce255,494e81bd5a5d6213d3f395ec1b6aeb7f41d44166,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20210806,05be61fde35dcaa3502f4430edee444a294d41c3,b03064a95cacfede187231741d9918a75653057d,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220729,0f853484d7ae2bdc1992a6f3bd3bae0aaeaa41b2,2a74a0e82391d1fc344067bc6bfc4647cd8ae7d9,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220218,3992ea83a23c00882339f33511074d251e19822c,e5db2960ed1380681b571cdf4648230beefaf58b,25,16,https://github.com/protocolbuffers/protobuf-go,encoding/protowire/wire.go;internal/fuzz/wirefuzz/fuzz.go;internal/impl/decode.go;proto/decode.go
golang-protobuf,go,20210526,426f20bc78ebadf3c32cd6e7cdaba378ea155521,e4716418878e35710fb80a258184b63cda66c98b,87,18,https://github.com/protocolbuffers/protobuf-go,internal/encoding/text/encode.go;internal/impl/legacy_message.go;internal/testprotos/test/test.pb.go;reflect/protoregistry/registry.go
golang-protobuf,go,20220803,fb0abd915897428ccfdd6b03b48ad8219751ee54,0f853484d7ae2bdc1992a6f3bd3bae0aaeaa41b2,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20230113,31a59208116ee2cacd5b3e4f64cf17ad733e18db,a8d446d548e4cfda41570959bd99c90365c2b995,1,1,https://github.com/protocolbuffers/protobuf-go,encoding/protowire/wire.go
golang-protobuf,go,20230315,32efccd1582255f0ef48bcc3942484e81985c76b,fe5bc5404151983756ef8980016a7d59bd63bb7e,3,3,https://github.com/protocolbuffers/protobuf-go,internal/encoding/text/decode_number.go
golang-protobuf,go,20230427,736947c4de02663595a1950afe2a8dee438c270e,808c66411fe76c839a68168654228446fbdc1ecf,160,2,https://github.com/protocolbuffers/protobuf-go,reflect/protoreflect/source_gen.go;types/descriptorpb/descriptor.pb.go
golang-protobuf,go,20210602,21e33cc91079beb975323466e237f2486ea29c10,426f20bc78ebadf3c32cd6e7cdaba378ea155521,6,1,https://github.com/protocolbuffers/protobuf-go,reflect/protoregistry/registry.go
golang-protobuf,go,20230119,a9481185b34db2fb2f5c90fcf7446be1554e42f7,31a59208116ee2cacd5b3e4f64cf17ad733e18db,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20230106,a8d446d548e4cfda41570959bd99c90365c2b995,b2a7dfe48b6ae3aac5f05941373d4478c104aa6b,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20211130,26e8bcb3c743193558d1a0ff540c9e05f999267d,5aec41b4809b9822a34e17acd06ae9ae9f41c13d,1,0,https://github.com/protocolbuffers/protobuf-go,internal/encoding/text/decode.go
golang-protobuf,go,20220616,380c339ec12310c04cd1c399669ab0bce57b6cd6,784c4825545540dc41a1dc85715d3251903bc8ce,4,1,https://github.com/protocolbuffers/protobuf-go,proto/equal.go
golang-protobuf,go,20230526,cc524c9cf1d622b7254e789d8d9b469d5f3c3437,b8fc7706010499f46982c883add4351b12e30c0b,1,1,https://github.com/protocolbuffers/protobuf-go,internal/order/order.go
golang-protobuf,go,20230308,eba8b0975f4efc219baabc1e0e13df28a6e1ad28,bc1253ad37431ee26876db47cd8207cdec81993c,26,26,https://github.com/protocolbuffers/protobuf-go,internal/encoding/text/decode.go;internal/encoding/text/decode_number.go
golang-protobuf,go,20220525,784c4825545540dc41a1dc85715d3251903bc8ce,e62d8edb7570c986a51e541c161a0c93bbaf9253,1131,665,https://github.com/protocolbuffers/protobuf-go,encoding/protojson/decode.go;encoding/protojson/well_known_types.go;encoding/prototext/decode.go;internal/descfmt/stringer.go;internal/encoding/defval/default.go;internal/encoding/messageset/messageset.go;internal/encoding/tag/tag.go;internal/filedesc/desc.go;internal/filedesc/desc_init.go;internal/filedesc/desc_lazy.go;internal/filedesc/placeholder.go;internal/filetype/build.go;internal/impl/api_export.go;internal/impl/checkinit.go;internal/impl/codec_extension.go;internal/impl/codec_field.go;internal/impl/codec_map.go;internal/impl/codec_message.go;internal/impl/codec_tables.go;internal/impl/convert.go;internal/impl/convert_list.go;internal/impl/convert_map.go;internal/impl/enum.go;internal/impl/extension.go;internal/impl/legacy_export.go;internal/impl/legacy_extension.go;internal/impl/merge.go;internal/impl/message_reflect.go;internal/impl/message_reflect_field.go;internal/impl/validate.go;internal/impl/weak.go;internal/order/order.go;internal/order/range.go;internal/strs/strings_unsafe.go;proto/equal.go
golang-protobuf,go,20220518,4db09f5dd70bbf9464e4271d8b3053b4d416a3bf,a0482351bab7c7f4f0e59acc8e5f3956ce7b2de6,3,3,https://github.com/protocolbuffers/protobuf-go,internal/encoding/text/decode.go
golang-protobuf,go,20220901,f930b1dc76e8ff950a69a8bd945562261d045c64,692f4a24f8dc0d375508fc41e657920d411b5b68,7,0,https://github.com/protocolbuffers/protobuf-go,encoding/protojson/well_known_types.go
golang-protobuf,go,20220519,06eea5e15f43e0c4dc757179f79e08fde123bbe9,4db09f5dd70bbf9464e4271d8b3053b4d416a3bf,2,0,https://github.com/protocolbuffers/protobuf-go,internal/impl/legacy_export.go
golang-protobuf,go,20230502,cf06b0c33cda11f4cb6e0151c9f7c0542fa3110f,1bca6d9b7d9696b10a482f58688d4eeaaf974b8a,26,20,https://github.com/protocolbuffers/protobuf-go,encoding/protojson/encode.go;encoding/prototext/encode.go;internal/encoding/json/encode.go;internal/encoding/text/encode.go
golang-protobuf,go,20210627,177d70e4ab5080081d1a77cd3f80bf14ba710257,49b6f723d34b4fce3d66f28387836fcd9c9c76c1,94,24,https://github.com/protocolbuffers/protobuf-go,internal/testprotos/enums/enums.pb.go;internal/testprotos/test/test.pb.go
golang-protobuf,go,20230429,1bca6d9b7d9696b10a482f58688d4eeaaf974b8a,736947c4de02663595a1950afe2a8dee438c270e,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20230509,b8fc7706010499f46982c883add4351b12e30c0b,cf06b0c33cda11f4cb6e0151c9f7c0542fa3110f,0,0,https://github.com/protocolbuffers/protobuf-go,
golang-protobuf,go,20220914,494e81bd5a5d6213d3f395ec1b6aeb7f41d44166,f930b1dc76e8ff950a69a8bd945562261d045c64,0,0,https://github.com/protocolbuffers/protobuf-go,
