Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Full_Covered,Partial_Covered,Diff_URL,Diff_Files,Treat_PC_As_Full
gson,jvm,20211124,16b42ff5805074126c2e5484450c182773e408a2,0313de8206ca6f68b31c9c01978ec9899677649e,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211116,0313de8206ca6f68b31c9c01978ec9899677649e,6e06bf0d89ad71f317c920cdaf9981a0508446d3,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211109,0d9f6b677ae67cbd749ebca817139041d1977831,ca2ed748ba6e31c4a319ea6f2d2dc7048021f0a0,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211130,eaf9a0342d69b4cbbfb3644ce42e196453ce164a,16b42ff5805074126c2e5484450c182773e408a2,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211112,6e06bf0d89ad71f317c920cdaf9981a0508446d3,b0595c595bd2c052cd05e0283bb37b67c02bd06f,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211110,b0595c595bd2c052cd05e0283bb37b67c02bd06f,0d9f6b677ae67cbd749ebca817139041d1977831,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211228,abd2191b0e3863aa227b19fd3ebc6820cbcec058,6ffcdf302939ad405abdfb468218b8caafc46e9c,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211203,4a99674994359a93c515d7748bd5995e8a4fd539,eaf9a0342d69b4cbbfb3644ce42e196453ce164a,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220215,a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7,241044d70912a34ec7326b7bf41a83b643d49f14,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220726,924c496b95deceadab0a01ea28b7023a096dc2ec,503c20bb392e10fd6ffa9a12afdc33d2ba2d2c38,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220621,08d4572fc4e0f9f563b0604f1bedb61ccb7ed806,57225c6741ff14db049ebe793ff3d423f2950ac7,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220217,d19e9fe0af6d335948547416e9685498405a8a9d,a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220419,feaf8ddc051cc9a8fccb4f8cc8e78a5705bf38cb,4dda4ec5ba81a02406f40f3d73192ab9bc568f48,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211210,cdf8ab5213bf1c139029ecdd49cbe1e8ec103c02,4a99674994359a93c515d7748bd5995e8a4fd539,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211221,6dfbdc861ff7b5f027b8139671145ca67add541d,631046af28d2f28a6e5b490139d8fb39252e890e,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220730,6d2557d5d1a8ac498f2bcee20e5053c93b33ecce,2deb2099d3007b8bb0e324bc364b6f9dddada0cd,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220728,2deb2099d3007b8bb0e324bc364b6f9dddada0cd,924c496b95deceadab0a01ea28b7023a096dc2ec,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220319,774c751a9ee026c6d7e4b0ca44dac6ad526de557,bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0,0,0,0,https://github.com/google/gson,,True
gson,jvm,20211217,631046af28d2f28a6e5b490139d8fb39252e890e,cdf8ab5213bf1c139029ecdd49cbe1e8ec103c02,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220617,57225c6741ff14db049ebe793ff3d423f2950ac7,96ab171eb48dcea94fd9b8f425f65c531e6c3aad,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220104,4ec67c00a08348bff6abe1a4a285f8a78483ee37,6b96a389cc40d56fd3d00547c00a42ab2bef6098,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220406,f79ea208b1a42d0ee9e921dcfb3694221a2037ed,774c751a9ee026c6d7e4b0ca44dac6ad526de557,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220102,6b96a389cc40d56fd3d00547c00a42ab2bef6098,dc28951fa7e7112f0e229e0a4665ad27a1891d79,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220301,91256532788aeee39d67087936be9bb458022c7a,81bb6d1dec28ca135382e29e3eccffcc957726be,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220531,827e117f6dafa776a6103ed2cce81975c4dfad67,66c3f48d8158565dfea0a8fbbe88cf96e64e2802,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220628,3f1d4fb65f7f6f2aabb6997e46c6a0100c25d0af,2d01d6a20f39881c692977564c1ea591d9f39027,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220212,241044d70912a34ec7326b7bf41a83b643d49f14,47dea2eefc6d2816cddb3f30689070285491733c,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220517,66c3f48d8158565dfea0a8fbbe88cf96e64e2802,b1c399fd6296f2e61de37109847c957bab42d736,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220804,a1d2ebc8b51a3a0df8b15c98f47d5ac95cf7f7b0,4552db2630b6d506ac7e212b337f818169f3c03b,1,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/Streams.java,True
gson,jvm,20220722,503c20bb392e10fd6ffa9a12afdc33d2ba2d2c38,cbc0af867b898d9e8244f268f4ffe37dfcaf8ea7,2,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,True
gson,jvm,20220302,bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0,91256532788aeee39d67087936be9bb458022c7a,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220111,ffcfb15f6c63548f2d10a945116df8d5dbb8a025,4ec67c00a08348bff6abe1a4a285f8a78483ee37,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220113,8e01b54682612471a9ab40c73911dfbf6b5be036,ffcfb15f6c63548f2d10a945116df8d5dbb8a025,6,6,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/Gson.java,True
gson,jvm,20220205,47dea2eefc6d2816cddb3f30689070285491733c,e2e851c9bc692cec68ba7b0cbb002f82b4a229e4,5,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,True
gson,jvm,20220609,96ab171eb48dcea94fd9b8f425f65c531e6c3aad,827e117f6dafa776a6103ed2cce81975c4dfad67,6,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/stream/JsonWriter.java,True
gson,jvm,20220222,b5343ba96ce0e24c77e7be0efdb111f6fdf999ec,49ddab9eeb6cbac686711deca6001d40e8d8500d,6,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,True
gson,jvm,20221001,ea7ab7cd520199fdb4a8d47fe462a4a0357a58bb,9c9cafcf9d732206171da0e5da549c97476a2aa2,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220802,4552db2630b6d506ac7e212b337f818169f3c03b,a45c55739f4e5eb25e9b67a8b7e2bfad25851fb6,7,5,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/Gson.java,True
gson,jvm,20221124,bc04dd20b969cb8a6999282b6749266b9f477bcf,3f1e62d1e1b43f1d76af5106f9484e940bf74606,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220808,f7cefcb426fed89365ab42daa387c255b599eb66,390385e382473927c4ba2eaf381c709003fd366a,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220807,390385e382473927c4ba2eaf381c709003fd366a,46b97bf15633929e7db6c43007a6b03e852e2aee,1,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/JsonArray.java,True
gson,jvm,20221015,c2458bf876ef52a4489af937f7dd7c2709b74fb9,243f5e11262d580fa21f045d35d75af1b2b6221d,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220928,b777ae5216c6fde9ab7bca8d6cfca630ffe12b4f,2591ede59bf7e4cef496a01e82282c88e256cec8,2,2,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/TypeAdapter.java,True
gson,jvm,20221030,dd6635dc61626dde42423b61e6427abd946f35cb,763e69a33117fcfc2b527aee7cda5866cc747b22,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221118,3f1e62d1e1b43f1d76af5106f9484e940bf74606,818faeeaa2eb5b434710d76ab9c685d4285e4788,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221209,c33e03b133722e84d25c4f80244d74f7fe3f66cb,66d934ba4478035c5abf6b559066ec4a60d82325,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220101,dc28951fa7e7112f0e229e0a4665ad27a1891d79,615c8835d309e1be512dd98809b48332ce70250d,2,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/stream/MalformedJsonException.java,True
gson,jvm,20220622,d2aee6502ba1e47faa050397566d6dde3240e194,08d4572fc4e0f9f563b0604f1bedb61ccb7ed806,4,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/JsonTreeWriter.java,True
gson,jvm,20221014,243f5e11262d580fa21f045d35d75af1b2b6221d,86c35bba3091afe70f38598b04ba89b7e8f539f7,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220623,2d01d6a20f39881c692977564c1ea591d9f39027,d2aee6502ba1e47faa050397566d6dde3240e194,81,38,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/ObjectTypeAdapter.java;gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,True
gson,jvm,20221012,a0dc7bfdddfe488510edde8d8abb0727743394c4,8451c1fa63f5198daf38498869836e85c85bdd08,73,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,True
gson,jvm,20221013,86c35bba3091afe70f38598b04ba89b7e8f539f7,a0dc7bfdddfe488510edde8d8abb0727743394c4,13,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,True
gson,jvm,20221205,6c27553c8375515e9522facf5ea82b8161d5ffb2,bc04dd20b969cb8a6999282b6749266b9f477bcf,6,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,True
gson,jvm,20220930,9c9cafcf9d732206171da0e5da549c97476a2aa2,b777ae5216c6fde9ab7bca8d6cfca630ffe12b4f,9,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,True
gson,jvm,20211231,615c8835d309e1be512dd98809b48332ce70250d,97938283a77707cdf231a7ebdcbee937f289ad31,10,5,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/Gson.java;gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,True
gson,jvm,20221031,ff96296eeab00269962476c322b7d109851e0253,dd6635dc61626dde42423b61e6427abd946f35cb,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221003,796193d0326a2f44bc314bf24262732ea3e64014,28609089faa747f2ad5730281c14093ab40d6fda,2,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/Excluder.java,True
gson,jvm,20221114,818faeeaa2eb5b434710d76ab9c685d4285e4788,ff96296eeab00269962476c322b7d109851e0253,1,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/JsonObject.java,True
gson,jvm,20220801,a45c55739f4e5eb25e9b67a8b7e2bfad25851fb6,6d2557d5d1a8ac498f2bcee20e5053c93b33ecce,17,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/Streams.java;gson/src/main/java/com/google/gson/internal/bind/ArrayTypeAdapter.java,True
gson,jvm,20220128,710a76c8b8835e36935c62024001ba6b91ceee01,be0a1f4ff74bcd01580887cc9f3ec592d773f24c,2,1,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java;gson/src/main/java/com/google/gson/stream/JsonReader.java,True
gson,jvm,20221217,6c12ded70ddfe47b0412fbb6d8a3ff970518ce2b,f2f53fbe8e54020656de67e2511e9b36932963e3,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221207,66d934ba4478035c5abf6b559066ec4a60d82325,c9c8e8f1bc34eafda7c331862642db79821e393a,1,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/JsonNull.java,True
gson,jvm,20221218,4aaf1385db5ffbc99de7411e5e80201fd8da7f3c,6c12ded70ddfe47b0412fbb6d8a3ff970518ce2b,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221223,1a2170b99c9d293e825bf8f511b191196326ea03,4aaf1385db5ffbc99de7411e5e80201fd8da7f3c,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221215,f63a1b85aec695f4d464e07a5c13fc038d581527,6c3cf2243581c6ade4d6341b7d46884528261108,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220421,b1c399fd6296f2e61de37109847c957bab42d736,feaf8ddc051cc9a8fccb4f8cc8e78a5705bf38cb,26,1,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/$Gson$Types.java;gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java;gson/src/main/java/com/google/gson/reflect/TypeToken.java,True
gson,jvm,20211227,6ffcdf302939ad405abdfb468218b8caafc46e9c,6dfbdc861ff7b5f027b8139671145ca67add541d,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230114,21989d7ff8e67bfc952c379da233de8609afc776,3adf2ad7488cbc1e297540410d218edf97c6bc76,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221017,954d526af4ad9e58872e7a64f92e749421d1cdf5,c2458bf876ef52a4489af937f7dd7c2709b74fb9,2,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/JsonArray.java;gson/src/main/java/com/google/gson/JsonObject.java,True
gson,jvm,20230228,9f46977d57bd219414dcab32f542482dffa33094,742fd50ff74350462d8dcf80941efce219e187dd,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220809,53234aa3518223dc13ec356cb0bd7a92211642d8,f7cefcb426fed89365ab42daa387c255b599eb66,2,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/TypeAdapter.java;gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java,True
gson,jvm,20230118,be87c3fd0e8034b0422890b7f604a39890be780b,d7fb0e4a3162c72463821753d96d4a75a3b705a9,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221023,66d9621ce87c04a5167ee04097694093b13b514c,954d526af4ad9e58872e7a64f92e749421d1cdf5,58,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,True
gson,jvm,20230116,d7fb0e4a3162c72463821753d96d4a75a3b705a9,21989d7ff8e67bfc952c379da233de8609afc776,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230131,41de7ce75b37fd97a8534d2c24740daa69f7cbaa,be87c3fd0e8034b0422890b7f604a39890be780b,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221210,28affcbdb9cc77efd6d4cb6cf6cab4acd48f4975,c33e03b133722e84d25c4f80244d74f7fe3f66cb,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230303,19983737ae5e45f90cbc50cbd7b70a0db9ed7a83,dc20b7561af3a793e4945842040e956803b641c9,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221216,f2f53fbe8e54020656de67e2511e9b36932963e3,f63a1b85aec695f4d464e07a5c13fc038d581527,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220924,0864a02e867633cba2daa8ace94eb3a72cc880de,2154e468b490c8a6576db13eca31c9d1afe6bf78,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230107,3adf2ad7488cbc1e297540410d218edf97c6bc76,1a2170b99c9d293e825bf8f511b191196326ea03,0,0,0,https://github.com/google/gson,,True
gson,jvm,20221005,e614e71ee43ca7bc1cb466bd1eaf4d85499900d9,796193d0326a2f44bc314bf24262732ea3e64014,22,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/Gson.java;gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,True
gson,jvm,20230324,c34b9ff79a534803c4fb5eb10e0b35972282ccf1,7f303b5db4b08955175a6d35be2a557632ec32e5,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230322,7f303b5db4b08955175a6d35be2a557632ec32e5,26229d33d81f0d60f508411eb3c541f3e87322ac,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230308,2f7be29a30802b09e49b78287a1574aaa79b875a,f467ec20c31099e39263d4451972130befd0953c,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230309,1da826dc6c8eb85ad9ed97e120823428fe1236f4,2f7be29a30802b09e49b78287a1574aaa79b875a,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220806,46b97bf15633929e7db6c43007a6b03e852e2aee,0b6a7bf7d9259f62003cbd458931ae0e61e7334c,28,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory.java;gson/src/main/java/com/google/gson/internal/bind/TreeTypeAdapter.java;gson/src/main/java/com/google/gson/reflect/TypeToken.java,True
gson,jvm,20230207,af2179843601c73aa96062208d8f324a45243e47,0d22e5d2051112dd59dbae516c7a71f2e5c372fa,8,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/JsonPrimitive.java,True
gson,jvm,20230402,051cb43fd9040a432626ef53523f1e7db7ab52c1,3adead6ab4f240ed53322eff34210ed4a69dd490,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230329,1d9d9774be408d1f24cb7c7cb4f2050cdb265e2f,c34b9ff79a534803c4fb5eb10e0b35972282ccf1,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230218,742fd50ff74350462d8dcf80941efce219e187dd,18bdb6db2ab2312ef7c53c2b9a2fbbac588c9977,2,0,0,https://github.com/google/gson,gson/src/main/java/com/google/gson/internal/bind/DateTypeAdapter.java;gson/src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java,True
gson,jvm,20230406,f1b4a71de56ce9a8008cba897924e70d52509077,051cb43fd9040a432626ef53523f1e7db7ab52c1,0,0,0,https://github.com/google/gson,,True
gson,jvm,20230409,b43ccee88927fa65d5e39a8ad4d0bebca7bf9994,f1b4a71de56ce9a8008cba897924e70d52509077,0,0,0,https://github.com/google/gson,,True
gson,jvm,20220925,2591ede59bf7e4cef496a01e82282c88e256cec8,0864a02e867633cba2daa8ace94eb3a72cc880de,0,0,0,https://github.com/google/gson,,True
