Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
irssi,c++,20190805,d7fcb846d3f67fa58416bdc33f60f879be953cb3,f612f2ee51fa8d121248f2faec72797a5529e143,0,0,https://github.com/irssi/irssi,
irssi,c++,20190129,aa80f1de6164c2b31c2dfa4568bd851b894eaeca,9ec2c8cee4222c73229cffdf3c342e1f03be251f,0,0,https://github.com/irssi/irssi,
irssi,c++,20190116,9ec2c8cee4222c73229cffdf3c342e1f03be251f,fa9463cb026a9ded270d30a3c437ab8217ab751e,0,0,https://github.com/irssi/irssi,
irssi,c++,20190405,3e0bc1eb3c8fab82d81cee2566261f6c14095bce,dd5b611c72c65112abf3559dc9c3b731d5acb0c0,0,0,https://github.com/irssi/irssi,
irssi,c++,20190721,05d50ffa1b54e9eb51aaba08964a955187c460ca,69a91bbcceac5f1b4496242c9057d753db917aa1,0,0,https://github.com/irssi/irssi,
irssi,c++,20181109,60d2364989b50ed8b76076022dde39690dc95416,2847b751e359bde8eb5dc3d89f57575c3b5f0948,0,0,https://github.com/irssi/irssi,
irssi,c++,20190531,085888d1c0b2b87ef6aa2cc1043792e84ace7329,a210df942df367bd57c9a354a35e6614c2b2d3cf,0,0,https://github.com/irssi/irssi,
irssi,c++,20181120,257cb2f5f91cbc08b20199f92a5d1923bc5ca4f2,6c40567dab5298d2452ecb5438ffe11997055dfd,0,0,https://github.com/irssi/irssi,
irssi,c++,20190205,b4ad430939fe127f859d75a8cb24e524c119f7d2,ee86cc197ebc7ceb7d59da94d3c7c84035787c42,0,0,https://github.com/irssi/irssi,
irssi,c++,20190211,ea41726b3e1df0e64eb9621f38494716b94d209f,a25b4e5db25f57706073d77fd5ef741b46ab3f61,0,0,https://github.com/irssi/irssi,
irssi,c++,20181017,6ca13dd5cda0b6dbbdfb4c0e63ec161c2609bd40,8bbf9c696c2d2a896e2dd45c0b12ec7758f23e28,0,0,https://github.com/irssi/irssi,
irssi,c++,20190808,f3e037f43402424e302aa4b6a7fc8fe5d3b3592b,d7fcb846d3f67fa58416bdc33f60f879be953cb3,0,0,https://github.com/irssi/irssi,
irssi,c++,20181129,1c6f2560989f49197cbc5c3cd41bd46ade11cc20,dcb412eb8b0add3cfb6e3bc015886f795abb92ef,0,0,https://github.com/irssi/irssi,
irssi,c++,20190501,d5fd78967460994a5d43fdab416f1155cfae4c39,2db6e990388328aafb53c6776a6afe3f2a668284,0,0,https://github.com/irssi/irssi,
irssi,c++,20181018,bc1d82a757ffbc56c7faabfe5aa60140ccc4d4fc,6ca13dd5cda0b6dbbdfb4c0e63ec161c2609bd40,0,0,https://github.com/irssi/irssi,
irssi,c++,20190213,c1b604ee6a810d8ac5959b4681c0f6da0f14fde3,63cc937e67214b1f793bc794a7d6fd9721ae2085,0,0,https://github.com/irssi/irssi,
irssi,c++,20181030,2847b751e359bde8eb5dc3d89f57575c3b5f0948,8054b5c2bd41497485a9abe1b198b7366f413078,0,0,https://github.com/irssi/irssi,
irssi,c++,20190415,796b60dd4554765a00091401c21fb0ae45bf91f3,04ca271d77d26b00cd7a4879b1d7f6db8f0fac47,0,0,https://github.com/irssi/irssi,
irssi,c++,20190308,26d96a7bb2e89a84b6d866eaeb312dcd8dbdaede,6242d25055520a0abcdd95cbf969479c99d36700,0,0,https://github.com/irssi/irssi,
irssi,c++,20190404,dd5b611c72c65112abf3559dc9c3b731d5acb0c0,1247b37ff73923ccb134cd22a9931387bc38f32c,0,0,https://github.com/irssi/irssi,
irssi,c++,20190227,6242d25055520a0abcdd95cbf969479c99d36700,01ce66c684b66860b9c0dae04912d7cf3ebb9aeb,0,0,https://github.com/irssi/irssi,
irssi,c++,20190219,01ce66c684b66860b9c0dae04912d7cf3ebb9aeb,df532d4461fa0e1aba8672fa6d56e3056ce52272,0,0,https://github.com/irssi/irssi,
irssi,c++,20190527,a210df942df367bd57c9a354a35e6614c2b2d3cf,7e7bc9839681672a035b3d1afa06b947dd9faab6,0,0,https://github.com/irssi/irssi,
irssi,c++,20190629,fb85fdec5ca48a9a24d8dc9482ac7c5490c5dffc,8551dd99cc6ad29b1b356acc4f4c92209ed98eed,0,0,https://github.com/irssi/irssi,
irssi,c++,20190820,bdb25aa609c5924f563deffaf4a2b8742d26a4ec,54781a34ee26dfaab7c52d89e9261bab1729db4a,0,0,https://github.com/irssi/irssi,
irssi,c++,20190825,a305cf8971cbcfcad9cc970ec4cb9bcda5580d6c,bdb25aa609c5924f563deffaf4a2b8742d26a4ec,0,0,https://github.com/irssi/irssi,
irssi,c++,20190905,9a9f9cc22a00c91f128426364b37ba7547812f55,3642dbad973778f413a386105c8da28f8528c245,0,0,https://github.com/irssi/irssi,
irssi,c++,20190401,1247b37ff73923ccb134cd22a9931387bc38f32c,26d96a7bb2e89a84b6d866eaeb312dcd8dbdaede,3,0,https://github.com/irssi/irssi,src/core/net-nonblock.c
irssi,c++,20190208,a25b4e5db25f57706073d77fd5ef741b46ab3f61,b4ad430939fe127f859d75a8cb24e524c119f7d2,1,0,https://github.com/irssi/irssi,src/fe-common/core/windows-layout.c
irssi,c++,20190906,96562e460b04daf2c4d65eaef99398eb27dd130d,9a9f9cc22a00c91f128426364b37ba7547812f55,0,0,https://github.com/irssi/irssi,
irssi,c++,20190523,7e7bc9839681672a035b3d1afa06b947dd9faab6,7654f30d04f2b4fae7b49f8b1579bdf77dfca900,1,0,https://github.com/irssi/irssi,src/core/rawlog.c
irssi,c++,20190610,0ffc515264fccfd99661d550b66b2384945acc61,085888d1c0b2b87ef6aa2cc1043792e84ace7329,31,1,https://github.com/irssi/irssi,src/fe-common/core/fe-settings.c
irssi,c++,20190202,ff18e79661ecd6c08530f8179faf9b8a7fa71774,0cdbb2e8216a30e019a0dd310038a9c9be9e2c3e,8,8,https://github.com/irssi/irssi,src/lib-config/get.c
irssi,c++,20190406,690e441771149b9b79e1f55c21abd4e7cde08284,3e0bc1eb3c8fab82d81cee2566261f6c14095bce,3,1,https://github.com/irssi/irssi,src/common.h;src/fe-common/core/fe-core-commands.c
