Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
jsoncons,c++,20200407,85853b84d8cfecc5a0dd5229b72b7057b3e0edc1,5482ce19d80549a260788447b77fdaf7fb38fa51,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200409,8777d917827e314dacb36acad10cc1412e01ef8e,ac1edc9435168f693de4e2570bc63a2670b326c9,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200417,300aa7bf5f86a2c423bc7e26fb09b91d185c8a63,04ada3087794ddd3885902a740a4bc6db8a1e9df,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200523,fe83f180e13dd8d72a194ce835ecf39a106dc573,ce0cc470bfe5e0e3adbe81330b809161bd80b81a,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200611,a20ef1add09fd8eadbabc403ee6254b38f3b2f35,47827042fa6217c5fa3548bca75aae370c6ab57a,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200610,47827042fa6217c5fa3548bca75aae370c6ab57a,8ccf0cecfb2e61d5372f212471d1de4a27386517,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200520,4bb99a2a5f1553ed7406aae9d214419dde944a0b,c5c86aa223ff4c1fab2ce0532f27a27b546c5390,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200622,a005dc59b9a76e662d33b46cf49baa1c902e198c,41302e394917a71e7e73db9a50f7d496d2862fd3,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200619,41302e394917a71e7e73db9a50f7d496d2862fd3,a6b7502e3ac2860f4d80d41dfb760fc52227bc4c,1,0,https://github.com/danielaparker/jsoncons,include/jsoncons/config/version.hpp
jsoncons,c++,20200708,771de3411c606f3a3f3e175f7d416964c110e7ea,0822547fbb6369d86d9a03ca24d0549e8c6ca50e,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200412,d9b3159ff0aa714b7c68f8cd3ed6b30d86c6553d,f11858c022ad8d4875c4e72c3c184b71565aaf2e,4,4,https://github.com/danielaparker/jsoncons,fuzzers/fuzz_cbor.cpp;fuzzers/fuzz_csv.cpp
jsoncons,c++,20200712,132c46d549d4e53aa2f2c143c2743df2bbd88007,75f2fde8cd18592c3ef317eff2832cedd3a5c0e6,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200607,98427ccea7a58e73b2db686754e5d07704ba12ef,3aa532f773d3b45bcadd08553dcedf5fe9c15efb,1,0,https://github.com/danielaparker/jsoncons,include/jsoncons/detail/write_number.hpp
jsoncons,c++,20200424,66fc584f2ff17d6980e7d10981abd5970cfc0c12,19f0fb0b9b8caa1ab80c50a89390529ae6e4095a,24,0,https://github.com/danielaparker/jsoncons,include/jsoncons/detail/more_type_traits.hpp
jsoncons,c++,20200717,fac16ee1ba0222532ead8173f72984a5eae943fc,b928659ea4146fbc7e2aad3bef85259e5cd207c4,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200602,487cac65f0d155424d1cb1718bd1231538cd5c53,7daecda9b4035e132107931964327c6899559079,48,0,https://github.com/danielaparker/jsoncons,include/jsoncons/byte_string.hpp
jsoncons,c++,20200604,3aa532f773d3b45bcadd08553dcedf5fe9c15efb,487cac65f0d155424d1cb1718bd1231538cd5c53,31,12,https://github.com/danielaparker/jsoncons,include/jsoncons/config/version.hpp;include/jsoncons_ext/bson/bson_encoder.hpp;include/jsoncons_ext/bson/bson_error.hpp
jsoncons,c++,20200714,9ae5d9471bc31bdb04251dcc2d46ced6c97b57ac,132c46d549d4e53aa2f2c143c2743df2bbd88007,1,0,https://github.com/danielaparker/jsoncons,include/jsoncons/config/version.hpp
jsoncons,c++,20200614,a4365459da913d2a8c5ea77fc987481050163c48,a20ef1add09fd8eadbabc403ee6254b38f3b2f35,2,0,https://github.com/danielaparker/jsoncons,include/jsoncons/config/version.hpp;include/jsoncons/detail/write_number.hpp
jsoncons,c++,20200514,4928b31c84d55b6ddeb60e2fa7e6f3602312d661,65382d05dbb3e10528d82c5c5eb405f9903ad1bd,6,5,https://github.com/danielaparker/jsoncons,include/jsoncons_ext/cbor/cbor_encoder.hpp
jsoncons,c++,20200709,95d1f05f4ce2b0695714b2460b0d427efbaa6de4,771de3411c606f3a3f3e175f7d416964c110e7ea,16,0,https://github.com/danielaparker/jsoncons,include/jsoncons/config/compiler_support.hpp;include/jsoncons/convert_error.hpp
jsoncons,c++,20200724,be472076492bf589cc7e6e5772aefda476d6d356,8fa48f1078b477a9ff61f220fe000eeb0c0e92b2,0,0,https://github.com/danielaparker/jsoncons,
jsoncons,c++,20200725,5da13faf2a536c14595e40895e4afc14e2247ecc,be472076492bf589cc7e6e5772aefda476d6d356,4,0,https://github.com/danielaparker/jsoncons,include/jsoncons/convert_error.hpp
