Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
aspell,c++,20220616,e8eb74793bce4fab381cc40f1c60f9572a99fb94,cef82a83afc543caaed0aacc814ea4c15909203f,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20231220,a0f7775ef127949666b5a31053c1ea908ee32b6b,49eaf36a9cd6cc0fd8fe13de569ab9fefdb60564,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20190821,5008cb52bc410a6295a1a0fb612bd67503ad5085,1292c2ac1bac2269cab334e5b1e4f34a211d76e6,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20190824,95e36d4a31396230838db25b75ec39064962c64f,5008cb52bc410a6295a1a0fb612bd67503ad5085,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20250518,e4095439f40710e876c25e7b61b17c7c7cde978f,4295413512cb1ceeba741876d12612e74c77f14b,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20191026,65772c1b60c11b440c02dab4199f95a35222940b,280d4069f189369ecc49c68b79b6d6cb7f2d6b93,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20190921,9e5c5f9f09aec26131fab093ac811a93f9e374ab,96b29df5380fd8d58f6f35a67e7db529ed3bfd4a,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20191011,c13d1171d93f56856436274a6e7e2697f2e18441,da0c3104ee6136262b363c927177658ef4ed22db,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20190924,56507d00f252b3c9b4c6dba3baada217f3754d99,b9fc912008909a5e2dc44af28aee1de00cc06cc9,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20190908,3f5d1711c14723240b83d1045245eb24f4127c52,95e36d4a31396230838db25b75ec39064962c64f,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20231203,49eaf36a9cd6cc0fd8fe13de569ab9fefdb60564,75d0aa3c404aa408f11dbc07fb95389fa5cbba4d,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20240830,4295413512cb1ceeba741876d12612e74c77f14b,ee6cbb12ff36a1e6618d7388a78dd4e0a2b44041,0,0,https://github.com/gnuaspell/aspell.git,
aspell,c++,20240722,ee6cbb12ff36a1e6618d7388a78dd4e0a2b44041,a0f7775ef127949666b5a31053c1ea908ee32b6b,1,0,https://github.com/gnuaspell/aspell.git,modules/speller/default/vector_hash-t.hpp
aspell,c++,20210301,cef82a83afc543caaed0aacc814ea4c15909203f,770c32f17da6805cffa777b20278b02dd392ddeb,15,2,https://github.com/gnuaspell/aspell.git,common/vector.hpp
aspell,c++,20191217,ac9c638b82b493af02624607d6ab815a258b7a4b,65772c1b60c11b440c02dab4199f95a35222940b,3,2,https://github.com/gnuaspell/aspell.git,common/block_slist-t.hpp
aspell,c++,20200719,770c32f17da6805cffa777b20278b02dd392ddeb,8d964a0d4b0b4dbea46af85b97fe77096f01f456,2,0,https://github.com/gnuaspell/aspell.git,common/block_slist.hpp;common/objstack.hpp
aspell,c++,20191002,da0c3104ee6136262b363c927177658ef4ed22db,e0e8d94fb47afd55ac85f3aef1a0d6e4dcfc024d,27,0,https://github.com/gnuaspell/aspell.git,modules/speller/default/writable.cpp
aspell,c++,20190913,f755ebb666fdaade6c5a0cc8e524962f6c5e5cb1,3f5d1711c14723240b83d1045245eb24f4127c52,10,0,https://github.com/gnuaspell/aspell.git,modules/filter/markdown.cpp
aspell,c++,20191223,8d964a0d4b0b4dbea46af85b97fe77096f01f456,7a4050192c5501e3cd6404b77bc09bdebd89a2fb,15,9,https://github.com/gnuaspell/aspell.git,common/objstack.hpp;modules/filter/texinfo.cpp
aspell,c++,20190923,b9fc912008909a5e2dc44af28aee1de00cc06cc9,4169e76fa1ef6a9a848d033d66eb626ca65455f1,4,4,https://github.com/gnuaspell/aspell.git,modules/speller/default/affix.cpp
aspell,c++,20231120,75d0aa3c404aa408f11dbc07fb95389fa5cbba4d,875068a6bcff884d62b29c3215c2b3304ab4b774,7,7,https://github.com/gnuaspell/aspell.git,modules/speller/default/suggest.cpp
