Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Full_Covered,Partial_Covered,Diff_URL,Diff_Files,Treat_PC_As_Full
jsqlparser,jvm,20231216,a35fbe77b33a07b2378fc4cbca7af53f50ce1cbc,b0aff31314a8df46887d75be2663b182416cc40e,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231108,97e9229d15df7d6707a7c3cb1d25c0ba2dfe3b14,64c0f13acec93ea111ad5e993dc1c8525496ff51,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231211,425c72eb7d7f931be6f4b2c971dcf4da5a62388b,085d7504235e58ca71297fc74ff70d505312ab76,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231210,085d7504235e58ca71297fc74ff70d505312ab76,15b9aef7ca0541660def2636376636039ad79774,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240509,fbe97a8deb84ae95c2cee3e0f7591f704cc99c2f,7daf7af36d825f7fcbae49310c429c15bbacc575,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231110,902e4c46f783985c75c42d98f5686d065e95b5ad,97e9229d15df7d6707a7c3cb1d25c0ba2dfe3b14,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240218,8dcfb4a3bf5682dc8e79d0c4f78ce9a24908f245,768c63f4660509b1807d1e158ad506a421533583,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240320,9d64511239a4514af6156048ad81e5d9b0576144,a386d297c418921905da74707a8aff1e955ba515,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231226,256a1eff904834b47b5ddff9cee520bbc650a0f6,56515aba6ca893f3977c1c4ea9f2de5d2314f179,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231231,34561d8ebe9806a443388841525bed241d23ecca,b40705785751b49e9914f8a5b0c9048c38c0795e,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240325,5958cedb9242763aef303f063e0257ef3b0e1952,c883920a1175ffc02e585dd4ea023620d65f0233,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240202,f1676dd992911d987f0a7da8b29fe80443b70ff4,bc16618eaa8fd936e8acb496521b94620b4ab0ad,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231229,b40705785751b49e9914f8a5b0c9048c38c0795e,6c1caff118f84bd548db95842dd4e50eb7bbbf81,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231228,6c1caff118f84bd548db95842dd4e50eb7bbbf81,040176ed08bd47c4a01a3227f7db3faaec2c6503,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231209,15b9aef7ca0541660def2636376636039ad79774,dd6cf23150f480401fcb76cbbc15a1fcd660fea3,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231021,64c0f13acec93ea111ad5e993dc1c8525496ff51,1088db7aea0b2f9d1a4a75ad70e5fc531639dbc4,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240207,98aa90cb988580a4d7065bbbd23d31c29278b271,cc7aa01913a720141be0da69bac41b6e4497f422,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20230923,5f09ec4914fbdd1e25f3719cc3768063ba8a055b,0b50da4cca555b663463e36fa3330737afd517ec,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20230919,0b50da4cca555b663463e36fa3330737afd517ec,c59a088dfaee75af33ed2b819033e6cbae32c155,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231215,b0aff31314a8df46887d75be2663b182416cc40e,425c72eb7d7f931be6f4b2c971dcf4da5a62388b,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231020,1088db7aea0b2f9d1a4a75ad70e5fc531639dbc4,5f09ec4914fbdd1e25f3719cc3768063ba8a055b,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240401,f3f0e051358a4933355dcafdd6652205e005d355,0d813f03faa2b3befd7db80ce07cfcb7067ce203,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240402,64f1433b0969637a22a641b7067c54d617930cb3,f3f0e051358a4933355dcafdd6652205e005d355,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240322,c883920a1175ffc02e585dd4ea023620d65f0233,86c6f5f95b443d020a6e3aa5da3f6337ea438fcf,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240310,6746a600044cc10cba6d33242781183689478ba2,9805581accf89d215390fe7cdce1750e2f2f8ca8,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240512,7d4cc2faf255b7eb9149ad3112b2814cf536e29b,fbe97a8deb84ae95c2cee3e0f7591f704cc99c2f,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231219,77f6fb8c92b33780fe1d3d6210089a362a643acf,815f8753d552d89500359051428464f999502f11,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240504,0368b9ebad767427db64f7f7c4b5c2440568084b,b8156011aec200574dc40e3f4d760cd8bfe4be27,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240214,67e220425f241481f8c7f6eb40fddbaa3c35ae56,029fd42e84e65eeebc96fe4b6b4248d6667122f1,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240327,339d6baece2c199539bd64e293a4887423742636,4c187d51055a3d84c5e3fa0e78b241eaeaa4c202,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240107,bc16618eaa8fd936e8acb496521b94620b4ab0ad,f1c525a1eaf3087bc46261af955dc08e1e190586,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231217,815f8753d552d89500359051428464f999502f11,a35fbe77b33a07b2378fc4cbca7af53f50ce1cbc,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231222,14637ce64763b424aa64deb5ba659c4d2ae69cfa,77f6fb8c92b33780fe1d3d6210089a362a643acf,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240224,9805581accf89d215390fe7cdce1750e2f2f8ca8,c412d6a52f9b2ea21bb1723abf4d0561f4ba5b33,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240326,4c187d51055a3d84c5e3fa0e78b241eaeaa4c202,5958cedb9242763aef303f063e0257ef3b0e1952,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20240331,0d813f03faa2b3befd7db80ce07cfcb7067ce203,1cd576b32c774e86fab1bd44be00ae3a5029a73f,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
jsqlparser,jvm,20231227,040176ed08bd47c4a01a3227f7db3faaec2c6503,256a1eff904834b47b5ddff9cee520bbc650a0f6,0,0,0,https://github.com/JSQLParser/JSqlParser/,,True
