Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
kubeedge,go,20220922,8a4727165555ef055799774af336a51de69bc449,641592b4dc3c4d0c59c2786d18c79c4775422645,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220614,cc04307f35423bb367ed0094ccdfad44030b9454,095b3bee03a0a5889598f577958005fb32e8f9ea,6,5,https://github.com/kubeedge/kubeedge,cloud/pkg/cloudhub/servers/udsserver/server.go;cloud/pkg/csidriver/utils.go
kubeedge,go,20220926,340a251b44d5d8e28061758e86345f81190882f3,347278db67ea3d16f236533307185cdb5fea67c6,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220927,819d6d72e6dfdd8a61592fe2b2651d400ff2386a,340a251b44d5d8e28061758e86345f81190882f3,5,0,https://github.com/kubeedge/kubeedge,pkg/apis/componentconfig/edgecore/v1alpha2/default.go
kubeedge,go,20220916,8f04cb569d03a2afc9638daf12e3d3b671f3549b,4d33fdb83c42a9ac3143deedbd93a8debb3ab385,6,0,https://github.com/kubeedge/kubeedge,pkg/apis/componentconfig/edgecore/v1alpha1/default.go
kubeedge,go,20220925,347278db67ea3d16f236533307185cdb5fea67c6,821009caab97eb0f69f82b47463e8fdf62d5f9a0,250,0,https://github.com/kubeedge/kubeedge,edge/pkg/devicetwin/config/config.go;edge/pkg/eventbus/config/config.go;pkg/apis/componentconfig/edgecore/v1alpha2/default.go;pkg/apis/componentconfig/edgecore/v1alpha2/helper.go
kubeedge,go,20220819,667e798120279468c84fa86992e45df0ae3235cb,6eaaf05fcd71ecbabd323403a35ad5b19eff955c,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220920,7e716c1ae19684be747f678f5d716a06a1476541,8fba80d61453306e95d0fce5249fda8ca0327599,3452,52,https://github.com/kubeedge/kubeedge,edge/pkg/common/dbm/db.go;edge/pkg/devicetwin/dmiclient/client.go;edge/pkg/devicetwin/dmiserver/event_type.go;edge/pkg/devicetwin/dmiserver/server.go;edge/pkg/devicetwin/dtclient/device_db.go;edge/pkg/devicetwin/dtclient/deviceattr_db.go;edge/pkg/devicetwin/dtclient/devicetwin_db.go;edge/pkg/devicetwin/dtcommon/util.go;edge/pkg/devicetwin/dtmanager/dmiworker.go;pkg/apis/dmi/v1alpha1/api.pb.go
kubeedge,go,20220914,4d33fdb83c42a9ac3143deedbd93a8debb3ab385,68bde61b280ee4c56a051fdacf20c111ead28fd0,39,0,https://github.com/kubeedge/kubeedge,cloud/pkg/cloudhub/common/helper.go
kubeedge,go,20220919,8fba80d61453306e95d0fce5249fda8ca0327599,146174bf6601d3ce2aa6f4047e8242ca8bbfdde6,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220918,146174bf6601d3ce2aa6f4047e8242ca8bbfdde6,78fa49f9f2b056c3072d858b352cf2eae188cdf8,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220917,78fa49f9f2b056c3072d858b352cf2eae188cdf8,8f04cb569d03a2afc9638daf12e3d3b671f3549b,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220901,84d589f8dd005e75107e87b044a30b493eca5987,d48a042153db4a5b65ff7df0c4533f30700609cd,1,0,https://github.com/kubeedge/kubeedge,cloud/pkg/cloudhub/channelq/channelq.go
kubeedge,go,20220714,b7bf9bd924475d149c79f31baa99cdc231014606,9a2ee94cceba10e596c11e0c02cd44f516a22738,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220629,8cb5a80ea9eab1e9093661a76c7aab343daee06b,929e829a4152ff1f4e35fca80714b80ccc9aec99,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220923,821009caab97eb0f69f82b47463e8fdf62d5f9a0,8a4727165555ef055799774af336a51de69bc449,94,0,https://github.com/kubeedge/kubeedge,cloud/pkg/cloudhub/common/helper.go;cloud/pkg/cloudhub/common/message_pool.go;cloud/pkg/common/messagelayer/context.go
kubeedge,go,20220612,095b3bee03a0a5889598f577958005fb32e8f9ea,adc5fdd8b025ff39c5b0c460f649daf92bbdec36,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220609,adc5fdd8b025ff39c5b0c460f649daf92bbdec36,4a4df2d8848c0997fa72604474f77f97042be2af,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220809,984553e88b0ba7bd0145c7ad1ac8f5c6973d326f,42411df1e5d9ba75f0261f4539af3d4aa1f0091a,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220624,d73720f4e94515e60643972da17096ff7c82e2b6,f4420cd3a354d8a8f9ef02fd8d195ca2d0eeab3a,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220921,641592b4dc3c4d0c59c2786d18c79c4775422645,7e716c1ae19684be747f678f5d716a06a1476541,0,0,https://github.com/kubeedge/kubeedge,
kubeedge,go,20220903,2599118b2ef919b3a91cf7bbbbbc4d508c631ea8,7705eac67c0bebc6418451da7739a23978ccc162,3,0,https://github.com/kubeedge/kubeedge,pkg/stream/edgedexecconnection.go;pkg/stream/edgedlogconnection.go;pkg/stream/edgedmetricsconnection.go
kubeedge,go,20220713,9a2ee94cceba10e596c11e0c02cd44f516a22738,56899973f4f5cbd71976d51d7ce6dfb0e055fcbf,0,0,https://github.com/kubeedge/kubeedge,
