Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
leptonica,c++,20190307,acf23b7748bb4aa04de042b72c77d6939cd50f58,679688fdf4879861e592b9f00b39b1cbbd07ca66,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190120,411c960f46c51c52b7db85757ac38f4a413baf81,537061725cb326acd28ff8e94977f3ad4ec4ee3c,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190108,e6f533078caef1c0f4b610ca8060366f2f7edd29,417729b3d645b6b885141953fb10b6c2b134e096,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190407,592c502c8c0e7b267bc1f4291b98220da33ad0f9,28cfba8c48fa0e4246e9232701824f64acfd144a,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190308,a11dc537cf8c77a613d055716480a2379014a22e,acf23b7748bb4aa04de042b72c77d6939cd50f58,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190510,bae4330c05e931b95fb230efe6008d8836478e34,b05c4cb4418bb601853fd3733c23e43603096e4c,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190322,87b8219360bca3c9929a5705c3d9c50c42c34bca,cdb46481f44923687c671c2afea6e17b1a3008ad,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190215,e83233c2d878713d07b38fab7fc253497fc44ac3,7ddf7e93026c4bed5c3e37d2b0d718fbb7e36024,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190513,bb849b351c1d1d12548ceb562cf0820986e38ce6,aec1e2251f777d32ac92e54241e747a073da63ed,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190222,b5b3c86dc45a05a7c8553bbe48d8e9481d59749a,d27e36c0fd29fb00b9da219aa8ed3a0efd9545cc,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190606,0bb16a6dc7cc1bac800c83743d515f5778f6a4f5,e6d1d01e68b0f597a06fa69676081cb4ff89979b,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190610,f6623b07699f6815640cb8692d0ac92c3b648e24,9eddd238460a5be7d035fb019e72ae4887641e9a,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190420,11386cfe4bea0d3a9663a6049e49951454d876d8,c25965182437752c3d1d8ab2bb406f39eef21029,1,1,https://github.com/DanBloomberg/leptonica.git,src/rotateorth.c
leptonica,c++,20190502,7c479fcbda091ea24b4745c6364a2e49fcff4a0f,db1744815725d2640a84fee03e7fb419900b3c5e,8,0,https://github.com/DanBloomberg/leptonica.git,src/boxfunc2.c
leptonica,c++,20190511,3a0596fcfb0d71b3ca365e472bbda3ff3cfe3966,bae4330c05e931b95fb230efe6008d8836478e34,15,6,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c
leptonica,c++,20190501,db1744815725d2640a84fee03e7fb419900b3c5e,89e3531cf8545577c613bd8a7be110d90df54bad,14,12,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c
leptonica,c++,20190403,d7eb66aa4d85ca625e3ba87989d4a024af8160bb,801fc69da8cc3184e5257bda336ab521cb26d03a,23,0,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c
leptonica,c++,20190408,91d69bbf240b6163cc5fe2688961ff6a0b30ab31,592c502c8c0e7b267bc1f4291b98220da33ad0f9,1,0,https://github.com/DanBloomberg/leptonica.git,src/enhance.c
leptonica,c++,20190505,b05c4cb4418bb601853fd3733c23e43603096e4c,2e9830eebec9f9a1b3ca6e7bf93611b915c6ad31,3,3,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c
leptonica,c++,20190423,a55ccb19103837bc1c6241ac22fd5bafc1f6cda3,0481a9a059ed619a75d32b14c666b4948db49b29,1,0,https://github.com/DanBloomberg/leptonica.git,src/utils2.c
leptonica,c++,20190615,a46fe61ea4a2fc8b0b6e8b0eaad598824a9f9e6e,f6623b07699f6815640cb8692d0ac92c3b648e24,3,0,https://github.com/DanBloomberg/leptonica.git,src/skew.c
leptonica,c++,20190422,0481a9a059ed619a75d32b14c666b4948db49b29,11386cfe4bea0d3a9663a6049e49951454d876d8,23,0,https://github.com/DanBloomberg/leptonica.git,src/utils2.c
leptonica,c++,20190715,a851602fdafdc695c925ab86090e20f002f17b3e,74ca0bc9eac83199f12db34815d1bf7ab930dad0,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190608,0177393b0d4f4f3f8552c88952dff5ad7684870e,0bb16a6dc7cc1bac800c83743d515f5778f6a4f5,5,0,https://github.com/DanBloomberg/leptonica.git,src/utils2.c
leptonica,c++,20190309,cdb46481f44923687c671c2afea6e17b1a3008ad,a11dc537cf8c77a613d055716480a2379014a22e,3,0,https://github.com/DanBloomberg/leptonica.git,src/scale1.c
leptonica,c++,20190716,733a73e4286ce452ddfd491c203734c4c5a4c7c0,a851602fdafdc695c925ab86090e20f002f17b3e,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190719,672421ca2ae9290618e5f02171266c2910775da2,733a73e4286ce452ddfd491c203734c4c5a4c7c0,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190810,d15c9e023d8d71975a9969070cbaf561db7990a5,a194247632e1b221cc7a51af094430faf363788e,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190413,4ca0b50e955a00d4144c422c652e4efd83f44517,b904d4eed1a25ca9d2dbee341de42c5b718c5ed3,10,5,https://github.com/DanBloomberg/leptonica.git,src/pixconv.c
leptonica,c++,20190911,22c68359632ad8ebe008631aa0ab9311b93fabfc,d15f1c24a16a65a4ae2e018a21ce9ad52b33ac64,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190926,4cd495342e3b1fd7e6cd8674b6f74daa072e4927,47e8a2ad978f32cc904ceaf22e8ffd2e5b9c94ea,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190103,99f7a542f5145cda2c5b26b22419631325bbd6f2,7dac4b18eab74e44dd4b03f0539352acbc986f1a,15,0,https://github.com/DanBloomberg/leptonica.git,src/boxfunc2.c;src/boxfunc4.c
leptonica,c++,20190526,eabc5990310df37c10b84f10f2769cc86ceda486,8abea85fc60ddc73a323ab687cbd381f86f22c1d,11,0,https://github.com/DanBloomberg/leptonica.git,src/colorcontent.c;src/enhance.c
leptonica,c++,20191010,165a609ebfc05e7ffe0d992db15fedfeced1be4d,25eb2839aa426d887c9f2ed06b7ded7571adcc3d,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190430,89e3531cf8545577c613bd8a7be110d90df54bad,daaf32c61212d9a29b4396dd85ab03678cb4e451,12,0,https://github.com/DanBloomberg/leptonica.git,src/pngio.c;src/tiffio.c
leptonica,c++,20190411,b904d4eed1a25ca9d2dbee341de42c5b718c5ed3,f03cd0c6918e517bbf3d4971b217189a8625a5b7,12,2,https://github.com/DanBloomberg/leptonica.git,src/arrayaccess.c;src/arrayaccess.h;src/jp2kheader.c;src/pdfio2.c
leptonica,c++,20190520,d910be87d6f904374e2050e389aabefb56eb59e1,bb849b351c1d1d12548ceb562cf0820986e38ce6,34,3,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/arrayaccess.c;src/arrayaccess.h
leptonica,c++,20190714,74ca0bc9eac83199f12db34815d1bf7ab930dad0,4972d55fcddee5c51f393747848c87fa54a64a78,26,0,https://github.com/DanBloomberg/leptonica.git,src/pageseg.c
leptonica,c++,20190623,41a641203d9eba9469416f9e87ff241ed4f743a7,0c7c2c6076a4500b0756bb3c09b73c5d6b21dca5,5,3,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c
leptonica,c++,20190227,e7bd425cfa5fdf51e84706f9c49df2898c32ea1e,08f6313c0e78384cd4feed12fba652c98a087a62,161,0,https://github.com/DanBloomberg/leptonica.git,src/pdfio1.c;src/pdfio2.c
leptonica,c++,20190206,d04ad335ca2ba90deb5a778fa120af198db732dd,414d873b2aa4484dfadf79b78176b161f32ed66d,3,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/ccbord.c
leptonica,c++,20191112,afd927bd431ab178a264a48e59ef5b5a4f8c363a,889a44e58709e8a8ca51bd666699e2f92dbe1bf3,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190119,537061725cb326acd28ff8e94977f3ad4ec4ee3c,e0f3fdf9db0576b2decc5002ebe6592127c28879,209,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/utils2.c
leptonica,c++,20190123,91ebe2997d113fcbe171461104fa0df96e670124,411c960f46c51c52b7db85757ac38f4a413baf81,60,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/utils2.c
leptonica,c++,20190503,2e9830eebec9f9a1b3ca6e7bf93611b915c6ad31,7c479fcbda091ea24b4745c6364a2e49fcff4a0f,27,8,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c;src/utils2.c
leptonica,c++,20190406,28cfba8c48fa0e4246e9232701824f64acfd144a,d6ecb607b3faed2fa3187bf992bca33e2750e184,75,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/environ.h;src/psio2.c
leptonica,c++,20190428,af74175013c951a5c28a406c7070294cbe93239a,a55ccb19103837bc1c6241ac22fd5bafc1f6cda3,60,7,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c;src/utils2.c
leptonica,c++,20191129,a41406870f38629df0c45259c6274893aec939bb,ef5ea098d807234bc4b92ff5fb5ba465a5c7ecd9,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20191204,85e272748991ae0511b903e24d6abfb44ec23008,2e2a9dda2b2e3f6b6c2dc65ea9efb5e3a8da0e82,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190429,daaf32c61212d9a29b4396dd85ab03678cb4e451,af74175013c951a5c28a406c7070294cbe93239a,33,5,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c;src/utils2.c;src/writefile.c
leptonica,c++,20191106,f6c8866f836dd2f9ab0541d4167b694398ebd83f,0b2fc2b5c666daedcc16998f1b4e8a9aba7695c0,24,0,https://github.com/DanBloomberg/leptonica.git,src/writefile.c
leptonica,c++,20190628,4972d55fcddee5c51f393747848c87fa54a64a78,41a641203d9eba9469416f9e87ff241ed4f743a7,37,0,https://github.com/DanBloomberg/leptonica.git,src/pageseg.c;src/utils1.c
leptonica,c++,20191011,712db166fb3d8adb9e22c161529528e51bd87061,165a609ebfc05e7ffe0d992db15fedfeced1be4d,7,0,https://github.com/DanBloomberg/leptonica.git,src/numafunc1.c
leptonica,c++,20190622,0c7c2c6076a4500b0756bb3c09b73c5d6b21dca5,a46fe61ea4a2fc8b0b6e8b0eaad598824a9f9e6e,89,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/boxfunc1.c
leptonica,c++,20190402,801fc69da8cc3184e5257bda336ab521cb26d03a,3d2e722078492b2e8ba654f376fb53a6b6bccd9f,36,0,https://github.com/DanBloomberg/leptonica.git,src/jp2kheader.c;src/jpegio.c;src/pdfio2.c;src/pngio.c
leptonica,c++,20190721,a194247632e1b221cc7a51af094430faf363788e,672421ca2ae9290618e5f02171266c2910775da2,9,3,https://github.com/DanBloomberg/leptonica.git,src/bmpio.c;src/jpegio.c;src/pngio.c
leptonica,c++,20200102,e060da9e7cf13229481284086cc01337095ee3f8,002843bdf81ef4018fdf0f5c53262bbeab2b0fdc,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20191228,50c3c353f75b0a5c97b645b3c050dab66243ee20,73c4f12f481d3110099de922c817f837726303a9,1,0,https://github.com/DanBloomberg/leptonica.git,src/bmpio.c
leptonica,c++,20191227,73c4f12f481d3110099de922c817f837726303a9,95405007f7ebf7df69f13475b3259179cdc4ec12,16,11,https://github.com/DanBloomberg/leptonica.git,src/bmpio.c
leptonica,c++,20190216,7ce4898336eca7f54df96e81610917f8433ff398,e83233c2d878713d07b38fab7fc253497fc44ac3,86,7,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/colormap.c;src/encoding.c;src/pix1.c
leptonica,c++,20190115,e0f3fdf9db0576b2decc5002ebe6592127c28879,465df508a0ca30be9b24449c86f3b05b1e162bf2,55,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/compare.c;src/utils1.c;src/utils2.c
leptonica,c++,20191130,a0b5d7a649261773924fbb93983ac744a610080d,a41406870f38629df0c45259c6274893aec939bb,8,4,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c
leptonica,c++,20191201,54cfd24fbea282b323f96dd371017380f91e7f53,a0b5d7a649261773924fbb93983ac744a610080d,7,0,https://github.com/DanBloomberg/leptonica.git,src/tiffio.c
leptonica,c++,20190910,d15f1c24a16a65a4ae2e018a21ce9ad52b33ac64,d15c9e023d8d71975a9969070cbaf561db7990a5,24,0,https://github.com/DanBloomberg/leptonica.git,src/pix1.c;src/utils2.c
leptonica,c++,20190302,b3956d7a703a456fffb5cb6d8e8c200bd0cb1b20,62b89be02b0f011841005462db021e300984ae42,167,0,https://github.com/DanBloomberg/leptonica.git,src/array.h;src/environ.h;src/morph.h;src/pix.h;src/seedfill.c;src/writefile.c
leptonica,c++,20191229,7a74abcd7b574109d8ad29b0dd5583f3963a6939,50c3c353f75b0a5c97b645b3c050dab66243ee20,25,6,https://github.com/DanBloomberg/leptonica.git,src/bmpio.c
leptonica,c++,20191108,1bf12b2776a6371a2922db5e041a3035f9f428d4,9756821910d0126adae16e31269c61bc8f4bc4c7,45,0,https://github.com/DanBloomberg/leptonica.git,src/gplot.c;src/gplot.h;src/writefile.c
leptonica,c++,20200101,002843bdf81ef4018fdf0f5c53262bbeab2b0fdc,7a74abcd7b574109d8ad29b0dd5583f3963a6939,3,0,https://github.com/DanBloomberg/leptonica.git,src/bmpio.c
leptonica,c++,20190401,3d2e722078492b2e8ba654f376fb53a6b6bccd9f,f414750326e26301715a6ab764a48980357a1d06,89,5,https://github.com/DanBloomberg/leptonica.git,src/pdfio1.c;src/pdfio2.c;src/pixcomp.c;src/pnmio.c
leptonica,c++,20200106,6a63294d16107d702f873814d217d488e9e32362,872f85902203a6d64428f8a42ef3dc6cfd0e5c89,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20200110,76f3558dbf641db7aac05d1331d1161496b075fa,c1cac8b97e40bce99f6f3f1ff28b38fd2ebf9fe9,0,0,https://github.com/DanBloomberg/leptonica.git,
leptonica,c++,20190609,9eddd238460a5be7d035fb019e72ae4887641e9a,0177393b0d4f4f3f8552c88952dff5ad7684870e,134,10,https://github.com/DanBloomberg/leptonica.git,src/convolve.c;src/pnmio.c;src/rotateshear.c;src/shear.c;src/textops.c
leptonica,c++,20190109,465df508a0ca30be9b24449c86f3b05b1e162bf2,e6f533078caef1c0f4b610ca8060366f2f7edd29,384,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/boxfunc1.c;src/boxfunc4.c;src/compare.c
leptonica,c++,20191104,0b2fc2b5c666daedcc16998f1b4e8a9aba7695c0,69f553581f5eb0f8a7f8227c2f0a888344639505,114,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/numafunc2.c
leptonica,c++,20191109,7d676e0bdf86f8ae40d640dc679023a6b70bf461,1bf12b2776a6371a2922db5e041a3035f9f428d4,29,0,https://github.com/DanBloomberg/leptonica.git,src/pdfio2.c;src/pixarith.c
leptonica,c++,20200103,e5ae817245f5305b429e0e2a2e08c4ed6ca03bd2,e060da9e7cf13229481284086cc01337095ee3f8,1,0,https://github.com/DanBloomberg/leptonica.git,src/morph.c
leptonica,c++,20191005,990a76de210636dfc4c976c7d3c6d63500e363b9,4a4e4cda9cbf8692deb6a10562a19ae2e3f2d062,223,0,https://github.com/DanBloomberg/leptonica.git,src/allheaders.h;src/pix3.c;src/scale2.c
leptonica,c++,20190528,41cb6a6f9f3be26bd1e9a98172bee86610f26f47,eabc5990310df37c10b84f10f2769cc86ceda486,51,0,https://github.com/DanBloomberg/leptonica.git,src/dnabasic.c;src/kernel.c;src/numabasic.c;src/pageseg.c;src/tiffio.c
