Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
libarchive,c++,20190404,7f7c83316849b5d24b93ace5c69ad39f539d26b1,c1824937fddd931a82814cf51fb3308fa65bffaf,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20190401,9112ff6c9242204a72e8ee756fd6346a4005111f,3c079320b23ddf5ef38c443569c25898ad79ddb9,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20190210,497dc247c7d49e2e8b20e6dbdf596afcc0c063c1,4bc5892128a042780f167ac35aa72f63c426f3b7,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20190413,40f72fed535be6a7236e91aef3aad641b71f9168,b9d2dd513c61f4ce71e5d26c1788add341fd7480,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20190414,19bd077987ff26a4cb108edde5eaf970837aa1f0,40f72fed535be6a7236e91aef3aad641b71f9168,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20181227,9802b2a22714543aa44ec9ca351194dbd6ea025b,2a17638861d60ce543373f48bdaa5b5a29e18306,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20190114,1d2028afff040b63f42e64932b2211a345d6d3ea,bf4c999dcb6a32a74d4e639b3d125936fb1f8ee6,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20181127,f95e0c12850192933d9bf4f0a8eca6d3c7cb2f13,2c5e9bdbb62eeb56a37776f796c15ed16727193e,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20190116,ce8ddb0ae1ea6b92e4ccac827e1cb79b76e6df80,1d2028afff040b63f42e64932b2211a345d6d3ea,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20181128,bc7017b56381788f0a3d68057f2304d0f8f6d3bb,f95e0c12850192933d9bf4f0a8eca6d3c7cb2f13,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20181030,8e14bfedb8759a58724cb611323d010aa55aea5e,d661131393def793a9919d1e3fd54c9992888bd6,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20190113,bf4c999dcb6a32a74d4e639b3d125936fb1f8ee6,b52dd6c9e4ef7cf95c2a6ae5ab7ccac7f6d462a1,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20181216,2a17638861d60ce543373f48bdaa5b5a29e18306,cef97307a3f681fcbb2cc02db6df3619a3f8b69c,0,0,https://github.com/libarchive/libarchive.git,
libarchive,c++,20190123,74a5f9ac8155bcf12b7a049c41febe94e1708e05,9c7b5d6dc763b6c49cc18b96a1edfba29bf81cbe,0,0,https://github.com/libarchive/libarchive.git,
