Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
libcbor,c++,20200320,703cb845757156088c1c1c476e4797d4e5b0f468,b766e5511f2bf09850498beac91b85baa9b3417a,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20210327,280dcdead3dcfcbbe632124e7fea17c4f2672fef,fc8650d1cc063b859acf2de0e0398f31884b6a5d,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20210625,75184db8302fcd469456c3c3664af4ad72ce0749,aa79fb7ba5e032c50530c689b6f20f2a74cafa97,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20210725,eed77afc33c2c310dd766379f8f4f57990e76d0f,58c67cf54987bb07f67e9fb2ed103c9d91c71142,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20190726,82512d851205fbc7f65d96a0b4a8e1bad2e4f3c6,46281ccedd5307f480d62f1e019530a688dc2f4a,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20220315,488130d6111d1ac6ce2c0ecc6c5a4c131045b887,7b806bf9662b2e85ee199df88364b5e8c1073a39,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20220328,25d86a7a30dbee76defc2eb79cf751a1749b4e81,0a95537448bea60f8681b43266e4756a983b6272,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20210417,0a7c316c23487b1091f7e70c128e111bd9baa9e9,5778abef64e35af1ab6035acb2c679dbf4228799,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20201210,9eae116ce554f9681a2c463d7261814d381d3e14,c804ece93cb909eabe295fdbefd23b33af291ab8,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20200222,3b41770ab0ca408d242041dddb3b75811345573f,56a43b1e79993140b40617c630ce571907e3be0b,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20210308,fc8650d1cc063b859acf2de0e0398f31884b6a5d,e3a6832a5901e32feee5bbe41f16df1d4dbc90af,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20220225,7b806bf9662b2e85ee199df88364b5e8c1073a39,3263254d78271c9017dbbdb29e82df1d33226025,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20200425,c78f437182533e3efa8d963ff4b945bb635c2284,ee9623717007f880a0628676f57683242937c72a,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20220321,0a95537448bea60f8681b43266e4756a983b6272,5a131948238ad104e10cf8d6d91e6acabc687318,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20200321,76d0b779b8167c95a8200e76a934e69353bcdac5,703cb845757156088c1c1c476e4797d4e5b0f468,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20191121,56a43b1e79993140b40617c630ce571907e3be0b,82512d851205fbc7f65d96a0b4a8e1bad2e4f3c6,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20200324,3ec02f8cb213af7296dbf0d4cf9d8161d83bd0a1,76d0b779b8167c95a8200e76a934e69353bcdac5,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20201221,e3a6832a5901e32feee5bbe41f16df1d4dbc90af,55509256ea9ff2b684d68645ac1195362b881f26,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20210719,58c67cf54987bb07f67e9fb2ed103c9d91c71142,75184db8302fcd469456c3c3664af4ad72ce0749,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20211115,3263254d78271c9017dbbdb29e82df1d33226025,dd0d082ab5cbc114e7a2be941b007fdbc4722f00,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20211011,2cf83afbd583e8172c5be96d63be96e15d4ea177,eed77afc33c2c310dd766379f8f4f57990e76d0f,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20210406,5778abef64e35af1ab6035acb2c679dbf4228799,280dcdead3dcfcbbe632124e7fea17c4f2672fef,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20230525,0beff25645649cb3b1166d734e66656765aac0c1,23ecd086cbd8500e40e298dc3bde77cd4beca2ff,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20230201,f6433ddfd0436c82000efc6a1a85b83f4ca5caf8,cb4162f40d94751141b4d43b07c4add83e738a68,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20230130,cb4162f40d94751141b4d43b07c4add83e738a68,4ebc7a056e87e732bb9894ad8e8e13b549a10d68,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20231012,49cb0bc43071f16e90c87db51caf2b7736e6e576,9b1b5a18101201756940d96e5198b980c1a8d92a,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20200411,ee9623717007f880a0628676f57683242937c72a,1f0a459743ad1a3230c801d0de992eb78d802001,3,1,https://github.com/PJK/libcbor,oss-fuzz/cbor_load_fuzzer.cc
libcbor,c++,20230507,23ecd086cbd8500e40e298dc3bde77cd4beca2ff,8fba9a6fb36cae03539e4f6e15c22e60ced52fb3,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20240107,5c7222129e033eaafac634f03230fb8a67dbd9cd,6717ae337b84470deda61a965eab1075946f76de,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20231125,34667f65c735fea99d1e204bfb6b80b22992a270,aa763303b5dfb1fc380e954fc5d8af77df874cab,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20230606,9b1b5a18101201756940d96e5198b980c1a8d92a,d2ac21acf40e23eaf933840e73c2b7966592c56a,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20231119,5cbd2b93e1f36933d5a92ee2cb0a305fb93346d6,49cb0bc43071f16e90c87db51caf2b7736e6e576,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20231213,6717ae337b84470deda61a965eab1075946f76de,34667f65c735fea99d1e204bfb6b80b22992a270,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20240416,6047e26351524cc86921c582729b749015bbb23a,9218f0c541795fcca5632f5ff91f5e3b2ec16a81,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20240515,a0582ab2fc41669c73ee82a3400eafaea1ec6b9d,6047e26351524cc86921c582729b749015bbb23a,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20230422,8fba9a6fb36cae03539e4f6e15c22e60ced52fb3,0dd2ffefcf7ae0874c6456f2358de340501abaab,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20231121,aa763303b5dfb1fc380e954fc5d8af77df874cab,5cbd2b93e1f36933d5a92ee2cb0a305fb93346d6,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20190703,46281ccedd5307f480d62f1e019530a688dc2f4a,81de07b19a0ddcb18b8d5d914fe703b6927d8113,2,2,https://github.com/PJK/libcbor,oss-fuzz/cbor_load_fuzzer.cc
libcbor,c++,20201202,c804ece93cb909eabe295fdbefd23b33af291ab8,0741dd41c52ddc77b0a4792b0c2b3d6dadc03128,51,18,https://github.com/PJK/libcbor,oss-fuzz/cbor_load_fuzzer.cc
libcbor,c++,20200328,e0bca14be53b00a62e682438f7b7090567ef02f3,af199a0d3e4d43c21f65bcc354e78e58f204789f,33,14,https://github.com/PJK/libcbor,oss-fuzz/cbor_load_fuzzer.cc
libcbor,c++,20201127,0741dd41c52ddc77b0a4792b0c2b3d6dadc03128,14abd144ba887a666364a9d6f77ff1f6d194d4a1,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20200327,af199a0d3e4d43c21f65bcc354e78e58f204789f,3ec02f8cb213af7296dbf0d4cf9d8161d83bd0a1,42,1,https://github.com/PJK/libcbor,oss-fuzz/cbor_load_fuzzer.cc
libcbor,c++,20220320,5a131948238ad104e10cf8d6d91e6acabc687318,c3be8e544711c5e605564cd568ef50e4eeb3f7a8,8,4,https://github.com/PJK/libcbor,src/cbor/encoding.c
libcbor,c++,20200921,e9c4582a3843248065384ca44e315c45af755fa1,cbaab60646ac1e814246d561d7347f057b4ba552,17,0,https://github.com/PJK/libcbor,src/cbor/common.h
libcbor,c++,20220318,c3be8e544711c5e605564cd568ef50e4eeb3f7a8,488130d6111d1ac6ce2c0ecc6c5a4c131045b887,1,1,https://github.com/PJK/libcbor,src/cbor/serialization.c
libcbor,c++,20240205,82f48db3fa84bb51edd17fc7a0e1d3a95bca0539,170bee2b82cdb7b2ed25af301f62cb6efdd40ec1,9,7,https://github.com/PJK/libcbor,src/cbor/tags.c
libcbor,c++,20241208,34cf74b90d1151e8eb873c6804a774379ecd71d4,5369727ae9953ee5041d94ec39aff2b100ddab41,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20250221,907790db5403a1f440a339462330cd78bfa664d3,34cf74b90d1151e8eb873c6804a774379ecd71d4,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20250222,64491d88d0d4e20ae71964fc093db50cf0d48fc1,907790db5403a1f440a339462330cd78bfa664d3,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20250305,13cd8b42e0f5d2e5df9ee98a53907ba47456569f,64491d88d0d4e20ae71964fc093db50cf0d48fc1,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20250317,99a9261275e3d138ed18056875129bb5f6504d9f,31920a4c4f1467209e4bbb15b4f0fe064be1846c,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20221231,69fad4758e74aeb6f206cab793529e7029f8df0f,d9e3d17a29601ec0f328f7fd67cc0aa1001c3cfe,12,9,https://github.com/PJK/libcbor,src/cbor/serialization.c
libcbor,c++,20250504,75d156a4834683ba05cc60c88c81117d61c870dc,dee297b6b761fb25f6816cda3f782460e031e76c,0,0,https://github.com/PJK/libcbor,
libcbor,c++,20201219,55509256ea9ff2b684d68645ac1195362b881f26,9eae116ce554f9681a2c463d7261814d381d3e14,2,2,https://github.com/PJK/libcbor,src/cbor/internal/builder_callbacks.c
libcbor,c++,20220618,e87d5714e69214f187db225f23985aea51c52d28,25d86a7a30dbee76defc2eb79cf751a1749b4e81,1,1,https://github.com/PJK/libcbor,src/cbor.c
libcbor,c++,20241030,65aa6969d7172d75ecb31da22c14758353aadb49,a0582ab2fc41669c73ee82a3400eafaea1ec6b9d,1,1,https://github.com/PJK/libcbor,oss-fuzz/cbor_load_fuzzer.cc
libcbor,c++,20200831,344fe901a77d6dcb0b9c68d025bc7da1290b285d,c78f437182533e3efa8d963ff4b945bb635c2284,29,0,https://github.com/PJK/libcbor,src/allocators.c;src/cbor/common.h
libcbor,c++,20200907,cbaab60646ac1e814246d561d7347f057b4ba552,9b2c3fa30de193609a08070b90e259e8adca0da4,48,40,https://github.com/PJK/libcbor,src/cbor/streaming.c
libcbor,c++,20240228,9218f0c541795fcca5632f5ff91f5e3b2ec16a81,82f48db3fa84bb51edd17fc7a0e1d3a95bca0539,1,0,https://github.com/PJK/libcbor,src/cbor.c
libcbor,c++,20201031,14abd144ba887a666364a9d6f77ff1f6d194d4a1,6102f627e58d7e96cfbdefc659e01f642c9472f9,1,0,https://github.com/PJK/libcbor,src/cbor/streaming.c
libcbor,c++,20230109,4ebc7a056e87e732bb9894ad8e8e13b549a10d68,69fad4758e74aeb6f206cab793529e7029f8df0f,36,0,https://github.com/PJK/libcbor,src/cbor/common.h
libcbor,c++,20200408,a49523d7b272e1d94683bfc4a8063f0c598dca52,e0bca14be53b00a62e682438f7b7090567ef02f3,5,1,https://github.com/PJK/libcbor,src/cbor/internal/builder_callbacks.c
libcbor,c++,20200409,1f0a459743ad1a3230c801d0de992eb78d802001,a49523d7b272e1d94683bfc4a8063f0c598dca52,36,32,https://github.com/PJK/libcbor,src/cbor/internal/builder_callbacks.c;src/cbor/internal/stack.c
libcbor,c++,20230220,0dd2ffefcf7ae0874c6456f2358de340501abaab,5126b3c3bf37ad03c04dd918062a2773c7bb0587,1,1,https://github.com/PJK/libcbor,src/cbor.c
libcbor,c++,20240204,170bee2b82cdb7b2ed25af301f62cb6efdd40ec1,5c7222129e033eaafac634f03230fb8a67dbd9cd,19,10,https://github.com/PJK/libcbor,src/cbor/streaming.c
libcbor,c++,20250405,7404b0fbce345ac42ba0630fbcd118e4afe347e8,99a9261275e3d138ed18056875129bb5f6504d9f,5,4,https://github.com/PJK/libcbor,src/cbor/common.c
libcbor,c++,20230218,5126b3c3bf37ad03c04dd918062a2773c7bb0587,f6433ddfd0436c82000efc6a1a85b83f4ca5caf8,2,0,https://github.com/PJK/libcbor,src/cbor/common.h;src/cbor/internal/loaders.c
libcbor,c++,20201020,92d679799ffc251f59dbea15733d6d6adb0f51d6,e9c4582a3843248065384ca44e315c45af755fa1,18,6,https://github.com/PJK/libcbor,src/cbor/common.h;src/cbor/internal/builder_callbacks.c
libcbor,c++,20221226,7c3518629f5d6bef560f008a2d3a6257be87e143,f8c9891f19a4552db13ee7b001e79aa8a2d23ed4,12,4,https://github.com/PJK/libcbor,src/cbor/bytestrings.c;src/cbor/encoding.c;src/cbor/internal/builder_callbacks.c
libcbor,c++,20221204,f8c9891f19a4552db13ee7b001e79aa8a2d23ed4,e87d5714e69214f187db225f23985aea51c52d28,84,30,https://github.com/PJK/libcbor,src/cbor/internal/builder_callbacks.c;src/cbor/streaming.c
libcbor,c++,20200317,b766e5511f2bf09850498beac91b85baa9b3417a,8a6c25c12873cec4aa9abf20d28defa02e2b0a9d,22,18,https://github.com/PJK/libcbor,src/cbor.c;src/cbor/encoding.c;src/cbor/floats_ctrls.c
libcbor,c++,20201026,6102f627e58d7e96cfbdefc659e01f642c9472f9,92d679799ffc251f59dbea15733d6d6adb0f51d6,17,15,https://github.com/PJK/libcbor,src/cbor/common.h;src/cbor/internal/encoders.c;src/cbor/internal/loaders.c
libcbor,c++,20241110,5369727ae9953ee5041d94ec39aff2b100ddab41,65aa6969d7172d75ecb31da22c14758353aadb49,44,20,https://github.com/PJK/libcbor,src/cbor/encoding.c;src/cbor/internal/encoders.c;src/cbor/internal/loaders.c
libcbor,c++,20210418,aa79fb7ba5e032c50530c689b6f20f2a74cafa97,0a7c316c23487b1091f7e70c128e111bd9baa9e9,64,44,https://github.com/PJK/libcbor,src/cbor/internal/builder_callbacks.c;src/cbor/internal/unicode.c;src/cbor/streaming.c
libcbor,c++,20200903,9b2c3fa30de193609a08070b90e259e8adca0da4,344fe901a77d6dcb0b9c68d025bc7da1290b285d,9,7,https://github.com/PJK/libcbor,src/cbor.c;src/cbor/common.h;src/cbor/serialization.c;src/cbor/tags.c
