Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
astroid,python,20230427,da246398cb42c1c0509ce572cfb93b6bc1776c1a,42f261dbed9b3bc56118ae2496fcf48ef287d54f,0,0,https://github.com/pylint-dev/astroid,
astroid,python,20230530,cc20cfff0cb8033f2f8e8e1f74db770ef42eadb4,b1cafbdc49fb42f7bed7f9e8f7e18e6c380efd43,0,0,https://github.com/pylint-dev/astroid,
astroid,python,20230713,cdeb259e4258f7472c526cf373c35c2600f1c3c6,afbdc69b2d685f1b26edf73dae270ead700285d0,0,0,https://github.com/pylint-dev/astroid,
astroid,python,20230712,afbdc69b2d685f1b26edf73dae270ead700285d0,4d77ff6b3d4f1ccd956ef231c8dcea4f650e5415,0,0,https://github.com/pylint-dev/astroid,
astroid,python,20230611,1fbbf25ef5c39ee9671ae1eac898da97bec1579b,b08166bf452852348fdf2c0c6aceb89997094742,0,0,https://github.com/pylint-dev/astroid,
astroid,python,20230513,e1b577ab43a45e7ca0398cd73833a00539d74f18,2cd9e90e80a1eb3318e4351ea3b8b3e8c83c235b,0,0,https://github.com/pylint-dev/astroid,
astroid,python,20230523,b1cafbdc49fb42f7bed7f9e8f7e18e6c380efd43,f21b8c231fb5a1b52ec5755d283c21db654c5d1b,0,0,https://github.com/pylint-dev/astroid,
astroid,python,20230510,2cd9e90e80a1eb3318e4351ea3b8b3e8c83c235b,351c8de32ae64d05dd958cfe812b6adbca380829,0,0,https://github.com/pylint-dev/astroid,
astroid,python,20230709,4d77ff6b3d4f1ccd956ef231c8dcea4f650e5415,94ad98ac58b050490eba21f26fb037445020d697,1,1,https://github.com/pylint-dev/astroid,astroid/__pkginfo__.py
astroid,python,20230607,a6eb2b87c5bfa39929b8047010788afce48461bf,cc20cfff0cb8033f2f8e8e1f74db770ef42eadb4,1,1,https://github.com/pylint-dev/astroid,astroid/__pkginfo__.py
astroid,python,20230420,29407df24dc9c0ccbe6a1734030d19afb4ade051,ae9ce82ec6afcf98895a5db8a4d57bdcc13ba055,9,0,https://github.com/pylint-dev/astroid,astroid/brain/brain_attrs.py
astroid,python,20230614,eabc6435e08c7f01ccf5a3895c0535a3aad178bf,76571acd8a7d1cc50884479ef716b0aa754221f5,1,1,https://github.com/pylint-dev/astroid,astroid/__pkginfo__.py
astroid,python,20230507,0740a0dd5e9cb48bb1a400aded498e4db1fcfca9,a98b08ff09a67e4e2c9e4e0fe67c398d1537559d,28,15,https://github.com/pylint-dev/astroid,astroid/inference_tip.py
astroid,python,20230702,6ccc9341a855294981476ec29655d420f020f652,1a318a0c025c6474053bbac863648c715a054de6,2,0,https://github.com/pylint-dev/astroid,astroid/interpreter/_import/util.py
astroid,python,20230722,ec912f9d039457e513b4bc375d85810142ac1edd,4d03bec4b9f200888c82a62510d64e67e0b2e2dd,5,2,https://github.com/pylint-dev/astroid,astroid/brain/brain_functools.py
