Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
libressl,c++,20210522,ceb09a01f0c431ceb5bc075db493b1b8789c10b4,be44d2a83a62bd1a54d13de94a4a3c4465b4a72c,0,0,https://github.com/libressl/portable.git,
libressl,c++,20220317,f6deadbec9bd455ef1851da07ab7ecd401a92d6d,c7fb4df08257009c3d30c32f8076036b39a4750d,0,0,https://github.com/libressl/portable.git,
libressl,c++,20200811,8a4ac6a8289d8eb5b278763b989d9bda9eeec353,22c6680f2ba626b52b3eb4e2d00e957151772751,0,0,https://github.com/libressl/portable.git,
libressl,c++,20210527,31ef9ade60a19d369efc81528283d0c8735637cc,ceb09a01f0c431ceb5bc075db493b1b8789c10b4,0,0,https://github.com/libressl/portable.git,
libressl,c++,20220228,2336a535c6fabfa3222d36b15008335cc236d8ac,6b06bed084292702ce8983dfbdad2efcb5b3db2e,0,0,https://github.com/libressl/portable.git,
libressl,c++,20200409,ceeb3bb4f423db4fc29704aa5a4c577f08103194,3b328512bcc259fedbf8fd8ffa03f53457b241c5,0,0,https://github.com/libressl/portable.git,
libressl,c++,20210531,cb52cc4cec97aa29cd5a1826ee86f746c3fe432e,31ef9ade60a19d369efc81528283d0c8735637cc,0,0,https://github.com/libressl/portable.git,
libressl,c++,20190414,2f7827344a0234320c7ad8d2fc2418e9d8a586c9,a67ba9f4ad8524c2d0bdd4cae6901ec415332829,0,0,https://github.com/libressl/portable.git,
libressl,c++,20191108,3e0f7e90e2d3a713d8598e0b1d98123f06d504ad,71751791cf1eac10f7c03e0ebea42aaef60d4a8b,0,0,https://github.com/libressl/portable.git,
libressl,c++,20200511,740488d89e69d026b8db0bf75b8bfe02ee464a3d,0e8011de3c2e4137019d4089bf20fb7192e1078c,0,0,https://github.com/libressl/portable.git,
libressl,c++,20200903,1841e199acdb398cbaf4748bc1a6eda4846cebe0,8910e9d5ca978a34f5ef91845ed5003b8ff19f5b,0,0,https://github.com/libressl/portable.git,
libressl,c++,20190930,6de156f87cb127e1540c2c3be8070523c69b827e,a4338ca124a8ed3979bae6cc14ee47e79468c7d7,0,0,https://github.com/libressl/portable.git,
libressl,c++,20221103,6e1d17c2746defbf4bf9b2c72983f13a7277bab2,0c8231e298f6d0384591a5e1b88564be7d37772e,0,0,https://github.com/libressl/portable.git,
libressl,c++,20230903,a6bd25d3bd098f68cd9ffbf1cbfbf015b91d33a5,8fa9337f65314955fb31e53193980f0c283fa4ae,0,0,https://github.com/libressl/portable.git,
libressl,c++,20231214,05902e63c9b80d25f4367fb0f8f441669510eb2e,223bc4e01e283db48693f631852a0f83ea232308,0,0,https://github.com/libressl/portable.git,
libressl,c++,20220325,e19aafe22a2bf0beee4e29c71f1288d7fa362424,8ad1ac4bf176c988a9c61104a2862ed5b115b59e,0,0,https://github.com/libressl/portable.git,
libressl,c++,20230830,8c6d8ec351210f5f11b37bf2e4351bc4e3576aab,0784b3ade720a67b7d01c37670e14ef2827ff702,0,0,https://github.com/libressl/portable.git,
libressl,c++,20230212,a7ca886cb03e52718b51f9dd35ea15f28db71a2b,3c1e882d259ebeaebcdd1daaa01c24175a9e2e66,0,0,https://github.com/libressl/portable.git,
libressl,c++,20240318,8a89225afb24c1e631331ef4d83eb9999d33cdcd,69449e791b5e99408a686fa68c2e5745a950162f,0,0,https://github.com/libressl/portable.git,
libressl,c++,20250214,90624c3b5e720d7185b68d225cd83da5cd7bafd7,b9c2e63ef5a9c717ba28a41d8165e9bbdbcfb459,0,0,https://github.com/libressl/portable.git,
libressl,c++,20231116,746944b43576b8ea3773ffeb0b554b8b0964cf75,daca1b4e36e7b5e141f99e0b65bb7728431631ba,0,0,https://github.com/libressl/portable.git,
