Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
autopep8,python,20231028,af7399d90926f2fe99a71f15197a08fa197f73a1,3f31e698ff00d7420db3e13da063ef3a5ddda32b,0,0,https://github.com/hhatto/autopep8,
autopep8,python,20241229,5b9a95364d6cebc3f41b7ee29df353f89b4c9406,e66c80734f97df2dbdae1275368d0f69f8c13519,0,0,https://github.com/hhatto/autopep8,
autopep8,python,20231010,5dea4e57089bd756097a77719250b8ff8e9bde49,4e869ad63a11575267450bfefdf022bb6128ab93,0,0,https://github.com/hhatto/autopep8,
autopep8,python,20230828,4e869ad63a11575267450bfefdf022bb6128ab93,8f12c0ab83c3dcc9eaf5078393dd2c53e1d253d2,0,0,https://github.com/hhatto/autopep8,
autopep8,python,20240315,3087ac4d0611df1120294886fe78953c64ee0851,30e79c9386dbe12abbd29e9ae27cf2f8105066d4,0,0,https://github.com/hhatto/autopep8,
autopep8,python,20240317,b0f2793033afb67bfd3341dca9e3cbc8d0942440,3087ac4d0611df1120294886fe78953c64ee0851,0,0,https://github.com/hhatto/autopep8,
autopep8,python,20231027,3f31e698ff00d7420db3e13da063ef3a5ddda32b,5dea4e57089bd756097a77719250b8ff8e9bde49,0,0,https://github.com/hhatto/autopep8,
autopep8,python,20240324,4490e0f3d0555a4c5635daf746965005e078da1d,831f71858967add06c1b678899349fab88113bf5,0,0,https://github.com/hhatto/autopep8,
autopep8,python,20240531,a109296d0f24724fd4e3fdf8b719abb7588cf6af,dc9656fa40a2ed66797c8d01bb615984cd64d5e2,1,1,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20240523,afd79c21a41d611a3d49a014643c382fbed1c423,4490e0f3d0555a4c5635daf746965005e078da1d,1,1,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20250115,4046ad49e25b7fa1db275bf66b1b7d60600ac391,815b10246cc63ce5c0e475cb127c08be0b45a338,1,1,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20240314,30e79c9386dbe12abbd29e9ae27cf2f8105066d4,af7399d90926f2fe99a71f15197a08fa197f73a1,3,1,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20230826,c3fdfe4c45b0ba9d7b6256b44de15973d05c5740,5b9110ba53fecd60cd3091fb66d808e8ced3b2e8,11,1,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20240318,831f71858967add06c1b678899349fab88113bf5,b0f2793033afb67bfd3341dca9e3cbc8d0942440,92,25,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20240530,dc9656fa40a2ed66797c8d01bb615984cd64d5e2,6878c9634455037715fcbac4d289696800bbb844,8,3,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20250114,815b10246cc63ce5c0e475cb127c08be0b45a338,5b9a95364d6cebc3f41b7ee29df353f89b4c9406,23,0,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20240529,6878c9634455037715fcbac4d289696800bbb844,afd79c21a41d611a3d49a014643c382fbed1c423,51,21,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20240623,916d6998765aca5de8370ce9736d56fefb3858f1,8b75604bb7b9c9c9a76133f808adfefcbf586f2d,49,5,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20230827,8f12c0ab83c3dcc9eaf5078393dd2c53e1d253d2,c3fdfe4c45b0ba9d7b6256b44de15973d05c5740,9,1,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20240617,8b75604bb7b9c9c9a76133f808adfefcbf586f2d,a109296d0f24724fd4e3fdf8b719abb7588cf6af,2,2,https://github.com/hhatto/autopep8,autopep8.py
autopep8,python,20241103,e66c80734f97df2dbdae1275368d0f69f8c13519,916d6998765aca5de8370ce9736d56fefb3858f1,0,0,https://github.com/hhatto/autopep8,
