Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
libxaac,c++,20240328,226c46decb082925a4c8e41f9b0f1e9596ac08ea,ed65992ff095e40193a311e8192a17b2e9e6cd6b,0,0,https://github.com/ittiam-systems/libxaac.git,
libxaac,c++,20250320,11fa437ddaeb52f276a1fadeeead82f184ed5fcc,7492f1f9abb4008758c00d0e9dabd1c12bd7cc25,0,0,https://github.com/ittiam-systems/libxaac.git,
libxaac,c++,20230927,0bb46ed5c99922e22fae22b2b20a753eeec4ff85,29692f1804c2a04ff51a0b2e6c7a909f7a261670,0,0,https://github.com/ittiam-systems/libxaac.git,
libxaac,c++,20240517,141fde8854073b0febf0ef0cabc2cb885b61e0ca,9b16033d61f35e53d85bc7665cac359781fefd99,8,0,https://github.com/ittiam-systems/libxaac.git,encoder/iusace_enc_fac.c
libxaac,c++,20240525,85cf44c90c20926fafd980bff0f9d6a7de51be33,141fde8854073b0febf0ef0cabc2cb885b61e0ca,3,0,https://github.com/ittiam-systems/libxaac.git,encoder/iusace_enc_fac.c
libxaac,c++,20240316,ed65992ff095e40193a311e8192a17b2e9e6cd6b,58381f7993b4af3a07191f55a4b50f5a943a9bb2,12,10,https://github.com/ittiam-systems/libxaac.git,encoder/drc_src/impd_drc_common_enc.h;fuzzer/xaac_enc_fuzzer.cpp
libxaac,c++,20240103,87f206b42d71fbf1c5601ce6679d22d0777e79bb,59ab6ada33b59f40b385a229298b40cc6f903db5,2,1,https://github.com/ittiam-systems/libxaac.git,encoder/ixheaace_sbr_main.c
libxaac,c++,20231226,a7019eafff34dede10e409d342afaeac84615a97,daf21a984e724a9705afa7df893e0bd2e865be3b,12,11,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_mps_parse.c
libxaac,c++,20231223,daf21a984e724a9705afa7df893e0bd2e865be3b,9b21ecaae12a6a1a57afb902257b910c9b083076,2,2,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_mps_parse.c
libxaac,c++,20231230,59ab6ada33b59f40b385a229298b40cc6f903db5,1ce177ea0eba8bd56c22131e53df102ddf9fd6fe,20,18,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_mps_bitdec.c
libxaac,c++,20231006,2d79f3ac5944f3924bd895c22cdcb993dac97a4d,aeaaaf49457b590a699eab5e85ae3a51715ea95c,12,8,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_esbr_envcal.c;decoder/ixheaacd_lpc_dec.c
libxaac,c++,20240516,9b16033d61f35e53d85bc7665cac359781fefd99,e6c99d95b54eb5838121fc08826c60753325c9c8,2,1,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_api.c
libxaac,c++,20231219,9b21ecaae12a6a1a57afb902257b910c9b083076,b5c3233a7a0aeb3c21c18429aa911cf0ab00e3c4,8,7,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_headerdecode.c;decoder/ixheaacd_init_config.c
libxaac,c++,20231012,87abf1f1b044ddbd35e2596026ff29fd9665d9a2,2d79f3ac5944f3924bd895c22cdcb993dac97a4d,12,9,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_create.c;decoder/ixheaacd_esbr_envcal.c
libxaac,c++,20240417,12e2e71b241cd7523ed69adb4ff7307f488fea8d,da04d9de787f78b6d5e3cba9970d50b3a9d17085,14,11,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_headerdecode.c;decoder/ixheaacd_latmdemux.c;fuzzer/xaac_dec_fuzzer.cpp
libxaac,c++,20240511,e6c99d95b54eb5838121fc08826c60753325c9c8,ae307e45c6a4d816710ed9af383ef594409777e8,5,1,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_api.c;encoder/iusace_enc_fac.c
libxaac,c++,20231116,9b18e51b8af534af96557fd665497e948d494178,10a262f43c6e7113e1f67a2a034c4ff2e1d3f01a,12,9,https://github.com/ittiam-systems/libxaac.git,encoder/ixheaace_api.c;fuzzer/xaac_enc_fuzzer.cpp
libxaac,c++,20231020,b1a200212e1427ecf5e5954bb4608f78ad52d10e,fbe3ab5037332506214e21566216415e915d660a,16,11,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_api.c;decoder/ixheaacd_esbr_envcal.c
libxaac,c++,20230915,c07f14410b8246fbba9dd12d31c42cf924219331,12867ea9be78eaf178e52d5f6f65d1ac8316f457,39,28,https://github.com/ittiam-systems/libxaac.git,encoder/iusace_fd_fac.c;encoder/ixheaace_api.c;encoder/ixheaace_enc_init.c
libxaac,c++,20231212,b5c3233a7a0aeb3c21c18429aa911cf0ab00e3c4,86eb72d8eb5c8c2cc0a667a8646068d11e0bbae3,11,10,https://github.com/ittiam-systems/libxaac.git,encoder/ixheaace_api.c;encoder/ixheaace_api.h;fuzzer/xaac_enc_fuzzer.cpp
libxaac,c++,20230912,12867ea9be78eaf178e52d5f6f65d1ac8316f457,ccdced7d6a30828a9988616f199cea014150175d,26,13,https://github.com/ittiam-systems/libxaac.git,decoder/ixheaacd_bitbuffer.c;decoder/ixheaacd_imdct.c;decoder/ixheaacd_mps_decorr.c;decoder/ixheaacd_pns_js_thumb.c;decoder/ixheaacd_sbrdecoder.c
