Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
libyal,c,20200813,9a34c0a737a1e434728c9f4a26be8f3a941b4a84,92f6d12c8dfaef2ea20c76957b09208fc2171482,0,0,https://github.com/libyal/libfplist.git,
libyal,c,20201127,bc1e35f0092184b59ff4a57a38457fc58e75cd10,313e8736bb711101d0303f1f6e9c29231c7f9b77,0,0,https://github.com/libyal/libfplist.git,
libyal,c,20210415,20f93d45c710d01a7633b3c447afc64d91d5edce,4ffb6bb8c77bd0ed8e86b14dfa0dc9bd8d9529eb,0,0,https://github.com/libyal/libfplist.git,
libyal,c,20201022,8c78963a574aeb8f8dec0a7eee9b40148ae0183a,fb28eb371abfe98eb5783be23e47df396b8a1ed8,0,0,https://github.com/libyal/libfplist.git,
libyal,c,20201107,313e8736bb711101d0303f1f6e9c29231c7f9b77,1a250824dbddd9710231fd1c07c36187ea2fcbe7,0,0,https://github.com/libyal/libfplist.git,
libyal,c,20201005,fb28eb371abfe98eb5783be23e47df396b8a1ed8,9a34c0a737a1e434728c9f4a26be8f3a941b4a84,0,0,https://github.com/libyal/libfplist.git,
libyal,c,20210405,4ffb6bb8c77bd0ed8e86b14dfa0dc9bd8d9529eb,d0a28bd5cce278329d24236ae77fcadba33ed961,0,0,https://github.com/libyal/libfplist.git,
libyal,c,20210707,c7d8885d29246088e11ba3661acef273566be941,e29196674e2152935af6d454e09021855c159435,2,0,https://github.com/libyal/libfplist.git,ossfuzz/property_fuzzer.cc;ossfuzz/property_list_fuzzer.cc
libyal,c,20201031,1a250824dbddd9710231fd1c07c36187ea2fcbe7,8c78963a574aeb8f8dec0a7eee9b40148ae0183a,0,0,https://github.com/libyal/libfplist.git,
libyal,c,20210502,e29196674e2152935af6d454e09021855c159435,20f93d45c710d01a7633b3c447afc64d91d5edce,1,0,https://github.com/libyal/libfplist.git,ossfuzz/property_list_fuzzer.cc
