Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
libyaml,c++,20211111,f8f760f7387d2cc56a2fc7b1be313a3bf3f7f58c,acd6f6f014c25e46363e718381e0b35205df2d83,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20190302,78e6ebfb20241a11eb9187c0f30b8892fb5e6862,85d1f168ef39f4c4419ef362d849ea225c53fffc,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20200522,0032321756cee86a67171de425267c1d0d406092,72e2f75277ff88ad1fb8a81cf422df06bf371578,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20200419,72e2f75277ff88ad1fb8a81cf422df06bf371578,bf5290289996338dcba9471b839013068d9e9ae8,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20200623,acd6f6f014c25e46363e718381e0b35205df2d83,2c891fc7a770e8ba2fec34fc6b545c672beb37e6,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20190305,e7a5f0bc0b4e5b51b90d8a31e7382f6a4479f57d,78e6ebfb20241a11eb9187c0f30b8892fb5e6862,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20190606,641adbf244083ddbd7b2f1087bfc1a0038c7e221,690a781ef6af70ce6749d6e2be91743345123998,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20191222,94ecadc50ebd19299c96ee96417d252a417c7816,53f5b8682317d8dbe9082d1eeab3cc0e1adbb34b,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20200530,9deee01508bb3b8ad25822f53d91d9f54eae9a0b,0032321756cee86a67171de425267c1d0d406092,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20190313,690a781ef6af70ce6749d6e2be91743345123998,e7a5f0bc0b4e5b51b90d8a31e7382f6a4479f57d,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20200601,cf53b3b5f9b9ba9ea670580f3a268fff6404c872,9deee01508bb3b8ad25822f53d91d9f54eae9a0b,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20240507,abd744ec2fb3b8e38e01796a1485c1f25f8fb5f6,1e66c1e13a50577bd7ad76abec61ba436d0145bd,0,0,https://github.com/yaml/libyaml,
libyaml,c++,20240508,588eabff23ba2292f537872bbea5b64bce1e1a21,abd744ec2fb3b8e38e01796a1485c1f25f8fb5f6,7,7,https://github.com/yaml/libyaml,src/parser.c
libyaml,c++,20240521,840b65c40675e2d06bf40405ad3f12dec7f35923,588eabff23ba2292f537872bbea5b64bce1e1a21,3,3,https://github.com/yaml/libyaml,src/parser.c
libyaml,c++,20190725,53f5b8682317d8dbe9082d1eeab3cc0e1adbb34b,aa2e89362fbd1613219a1f783bded44355d454dc,1,1,https://github.com/yaml/libyaml,src/scanner.c
libyaml,c++,20200602,2c891fc7a770e8ba2fec34fc6b545c672beb37e6,cf53b3b5f9b9ba9ea670580f3a268fff6404c872,30,19,https://github.com/yaml/libyaml,include/yaml.h;src/scanner.c
libyaml,c++,20200412,bf5290289996338dcba9471b839013068d9e9ae8,42a370d6b02ff4f1f1257071c65e376adf9fb3bc,11,4,https://github.com/yaml/libyaml,include/yaml.h;src/parser.c;src/scanner.c
libyaml,c++,20240409,1e66c1e13a50577bd7ad76abec61ba436d0145bd,f8f760f7387d2cc56a2fc7b1be313a3bf3f7f58c,56,19,https://github.com/yaml/libyaml,include/yaml.h;src/parser.c;src/scanner.c
libyaml,c++,20190607,aa2e89362fbd1613219a1f783bded44355d454dc,641adbf244083ddbd7b2f1087bfc1a0038c7e221,21,0,https://github.com/yaml/libyaml,include/yaml.h;src/api.c;src/scanner.c
