Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
libyang,c,20210604,6f74fd18e5ace7d8f1ae6c1c1c2b7442dc263b22,69d9fff65abb58beb0bb6aa9ecacd572ca1dfc56,0,0,https://github.com/CESNET/libyang,
libyang,c,20220422,ab1058892ecdee4ac1742601729b15af286fb95e,a0cc89516ab5eca84d01c85309f320a94752a64c,0,0,https://github.com/CESNET/libyang,
libyang,c,20211001,782c032415c1ee3a6f02b1a549b5d5ea7d37de95,b125e1a25297518612916c5685087f99dc95ed3a,0,0,https://github.com/CESNET/libyang,
libyang,c,20211002,e4e7d7adb49ad585a6af26584813d363f174e909,782c032415c1ee3a6f02b1a549b5d5ea7d37de95,0,0,https://github.com/CESNET/libyang,
libyang,c,20230221,d57c8888922d1663508ad0f0a5b66f8ad600276d,b5bba13012ab0b04ecd1676a851784e9d8a3fbce,0,0,https://github.com/CESNET/libyang,
libyang,c,20211213,a531aef42741b25b0343b64db5cf9ffd7a823e90,25ede0234ab1cde50e7e7f7efde1a2f43bc80fdc,0,0,https://github.com/CESNET/libyang,
libyang,c,20230218,b5bba13012ab0b04ecd1676a851784e9d8a3fbce,35131b9396a965e01f899127763fb4e0871b845a,0,0,https://github.com/CESNET/libyang,
libyang,c,20210309,8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,8c254b2b5d89d15244941bdfcff28aef141efd9f,2,0,https://github.com/CESNET/libyang,src/parser_yang.c
libyang,c,20211009,320f34305dd9c7d14af5f13bec18e477b37f5db8,e4e7d7adb49ad585a6af26584813d363f174e909,187,18,https://github.com/CESNET/libyang,src/common.h;src/diff.c;src/log.c;src/lyb.h;src/parser_lyb.c;src/plugins_types/instanceid.c;src/plugins_types/integer.c;src/plugins_types/leafref.c;src/printer_lyb.c;src/validation.c;src/xpath.c
libyang,c,20240117,fc4dbd923e044006c93df020590a1e5a8656c09e,7e5ea21030fe6632b6faad30c0de8d9669503773,794,68,https://github.com/CESNET/libyang,src/diff.c;src/hash_table.c;src/log.h;src/parser_data.h;src/parser_json.c;src/parser_xml.c;src/path.c;src/plugins_types.c;src/plugins_types.h;src/set.c;src/tree_data.c;src/tree_data.h;src/tree_data_common.c;src/tree_data_free.c;src/tree_data_internal.h;src/tree_data_new.c;src/tree_schema.h;src/validation.c;src/xpath.c;src/xpath.h
libyang,c,20231012,7e5ea21030fe6632b6faad30c0de8d9669503773,8b0b910a2dcb7360cb5b0aaefbd1338271d50946,1058,276,https://github.com/CESNET/libyang,src/common.c;src/common.h;src/dict.c;src/hash_table.c;src/hash_table_internal.h;src/log.c;src/parser_common.c;src/parser_data.h;src/parser_internal.h;src/parser_json.c;src/parser_xml.c;src/path.c;src/path.h;src/plugins_types.h;src/plugins_types/identityref.c;src/plugins_types/string.c;src/printer_json.c;src/printer_xml.c;src/tree_data.c;src/tree_data.h;src/tree_data_common.c;src/tree_data_free.c;src/tree_data_hash.c;src/tree_data_internal.h;src/tree_data_new.c;src/tree_schema.c;src/tree_schema.h;src/tree_schema_common.c;src/tree_schema_internal.h;src/validation.c;src/xpath.c
libyang,c,20211112,25ede0234ab1cde50e7e7f7efde1a2f43bc80fdc,320f34305dd9c7d14af5f13bec18e477b37f5db8,1346,179,https://github.com/CESNET/libyang,src/context.c;src/context.h;src/diff.c;src/parser_data.h;src/parser_lyb.c;src/path.c;src/path.h;src/plugins_types.c;src/plugins_types.h;src/plugins_types/identityref.c;src/plugins_types/instanceid.c;src/plugins_types/node_instanceid.c;src/printer_json.c;src/printer_lyb.c;src/schema_compile.c;src/schema_compile.h;src/schema_compile_amend.c;src/schema_compile_node.c;src/tree_data.c;src/tree_data.h;src/tree_data_helpers.c;src/tree_data_internal.h;src/tree_schema.c;src/tree_schema.h;src/tree_schema_free.c;src/tree_schema_helpers.c;src/tree_schema_internal.h;src/validation.c;src/xpath.c;src/xpath.h
libyang,c,20250110,03e294d83b610f89e8ba7b2156a80dc0ad534443,526e3ffd1e93ca5874675b48f4027de6150ce92f,1059,250,https://github.com/CESNET/libyang,src/diff.c;src/hash_table.c;src/log.c;src/ly_common.h;src/parser_common.c;src/parser_data.h;src/parser_internal.h;src/parser_json.c;src/parser_lyb.c;src/parser_xml.c;src/path.c;src/plugins_exts.c;src/plugins_types.c;src/plugins_types/node_instanceid.c;src/plugins_types/union.c;src/printer_lyb.c;src/schema_compile_node.c;src/tree_data.c;src/tree_data.h;src/tree_data_common.c;src/tree_data_internal.h;src/tree_data_new.c;src/tree_data_sorted.c;src/tree_schema_common.c;src/validation.c;src/xpath.c;src/xpath.h
libyang,c,20220507,87375f15159545a87a1e0de200f5d9d67e9091d7,ab1058892ecdee4ac1742601729b15af286fb95e,1274,242,https://github.com/CESNET/libyang,src/diff.c;src/lyb.h;src/out.c;src/parser_data.h;src/parser_json.c;src/parser_lyb.c;src/parser_xml.c;src/path.c;src/path.h;src/plugins_exts/metadata.c;src/plugins_exts/nacm.c;src/plugins_exts/schema_mount.c;src/plugins_exts/yangdata.c;src/plugins_types.h;src/printer_data.h;src/printer_json.c;src/printer_lyb.c;src/printer_xml.c;src/printer_yang.c;src/schema_compile_amend.c;src/schema_compile_node.c;src/tree_data.c;src/tree_data.h;src/tree_data_helpers.c;src/tree_data_internal.h;src/tree_schema.c;src/tree_schema.h;src/tree_schema_free.c;src/tree_schema_internal.h;src/validation.c;src/xpath.c;src/xpath.h
