Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
libzip,c++,20190826,7328bc9c9feefb9c12770cac2a23c50a25ff463c,7fc609382759a907d882fb0d3d7e4f6ab0519f35,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20191219,d09b6756d206291628ac87faea07544adac6c321,07be9a17fc567d0eec2035b1a93c5ea159f91c17,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200515,10da88f79a72107fb22c4994106ce666fe6cd506,239b0243bdba0984760698df3624ad5a31ecd09c,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20191017,89bd6d63bdea9da7627695f6c82e54f16d368b51,4fc6d544753477420fbc3fab5a00f1a9d704a6a0,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200528,fef46351e0bd34c87caa408669d882fa56609f64,06eaa07b5a14d6c41bf270ee8b396cc4ba25efca,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20191214,3ac234eb67dced393c336c9de17d5c59c4696bed,f6a78edf836a152547a2258cf2fc55f43e79d57d,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20191116,9f1a7e76fe2af84e47630ecfb4c4e63a8d4c7ff6,89bd6d63bdea9da7627695f6c82e54f16d368b51,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20190916,80491c82b55aa1abe60394a907c6c8c780b42a94,82214f66a46233be212b027400e331e29d7b668d,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20191218,07be9a17fc567d0eec2035b1a93c5ea159f91c17,3ac234eb67dced393c336c9de17d5c59c4696bed,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200519,f9c3037b48f116b414db182473db2ad32462b3b5,10da88f79a72107fb22c4994106ce666fe6cd506,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20191015,75f75e484a862f1aea8634374781e1dc7c31aa06,a91b3c41940b318277b8a8cd58a723a76f3cd536,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200421,9be91fae7ee9b607a16e6e9d742fb3f74a268b1b,967ede149bc1d0e0f8f8b9d5d8ab5e7f01ae9f37,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200530,4560f77e121db5984dcaf3155a1cc3ea92fde98e,fef46351e0bd34c87caa408669d882fa56609f64,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200511,dd613c07b3e9ccd6173b6f747a9475ca93655331,d1bd0b4b587bee09f556da25fc32b7c662403d20,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200318,131938848666ac21f62b1477d37f57baa789840f,7269d4174bf69dee6023695911d4ba12b7a900ce,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200310,7269d4174bf69dee6023695911d4ba12b7a900ce,d7fd9981651887a41f95010bfd0fb7968468c4db,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200426,aa0414fc6bb569305daf0204f7a8ae41c77e1ff9,99af5ffa2e3e98fae377e37c458201100a0d93f9,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200320,dffe7366cb019e421c428986f581b69c7eefc90e,131938848666ac21f62b1477d37f57baa789840f,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200203,4e3e0351a2f99735f98578f4e68d28ac80f8a94d,bd9fb11fa88f6a95b8afbd53796934adf4e6e6bd,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200509,528ab2d6f37d54ffda58a1785fc593869ecf0656,dfd5b4478d7a15bc845831a8daae6fb441219e4a,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20191120,3ea6ffa0f59d18df00b7ec40a37d60a459576846,9f1a7e76fe2af84e47630ecfb4c4e63a8d4c7ff6,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200531,bf19752bfa34ef9b4d80c506a0943ff5a6c211e3,4560f77e121db5984dcaf3155a1cc3ea92fde98e,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200424,99af5ffa2e3e98fae377e37c458201100a0d93f9,9be91fae7ee9b607a16e6e9d742fb3f74a268b1b,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200505,906dc5f452ea7bb2a46b456aabf10e3cd34a7942,0936f5d554ef83a63f39b5ad0a1c4d4f529f1d30,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200605,6989e052ac8b431a7127fa45e7695c0a7afc78f9,bf19752bfa34ef9b4d80c506a0943ff5a6c211e3,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200524,06eaa07b5a14d6c41bf270ee8b396cc4ba25efca,4232a119026c17c461dbd49510042dcb479be608,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200124,3abeb435075cb79da29f036175639c2ed4e59f01,fd51601bc5667615f5f0fadd82b7b9ad1ffab520,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20190907,82214f66a46233be212b027400e331e29d7b668d,7328bc9c9feefb9c12770cac2a23c50a25ff463c,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200324,d9bffef2218cd442d24e29d2ed233822c9938091,dffe7366cb019e421c428986f581b69c7eefc90e,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200607,dd9e7c510a72d764d32cceaf6ddaf371466939fb,34d80f56c003ae88753ef998607d97e3158eb222,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20191016,4fc6d544753477420fbc3fab5a00f1a9d704a6a0,75f75e484a862f1aea8634374781e1dc7c31aa06,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200523,4232a119026c17c461dbd49510042dcb479be608,f9c3037b48f116b414db182473db2ad32462b3b5,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200608,4924aecd65b55b26dc2cfd16b8a7a334b6fffba0,dd9e7c510a72d764d32cceaf6ddaf371466939fb,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200613,dcd9a0bfe1ac2893d7f62bafb19f0a4d7b08c0f7,4924aecd65b55b26dc2cfd16b8a7a334b6fffba0,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200623,5f2a86fc448d2d5e58eee2d34db3ccb24ef4714a,dcd9a0bfe1ac2893d7f62bafb19f0a4d7b08c0f7,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20201203,6c126364e46e768da341b67a54f4196dd612e1c9,1c62af871277380d8ea2b2dc2d7a1b9d4baae3aa,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200705,29b881d286f43189ff7392f609da78daa80c0606,c4cd69136e78813fbb02f8bddcfbe97e2332e29c,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200808,2134d8c34dbb8988076e8f2fc3b8be75fdb780bf,6ec8cfc7a6249e4502c6b0401bdefc59bc8dd0df,0,0,https://github.com/nih-at/libzip.git,
libzip,c++,20200624,c8ade567597b2d97782128a0d3e58003d285fc83,5f2a86fc448d2d5e58eee2d34db3ccb24ef4714a,0,0,https://github.com/nih-at/libzip.git,
