Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
linkerd2-proxy,rust,20210630,be7454958b530c349cab985b2f92856b0a364163,ebc20dda90483a4cf784e5d3e95160f2ca61605d,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210629,ebc20dda90483a4cf784e5d3e95160f2ca61605d,13e2977279ed8e84720da37d7c8e17ba8dfa6bc0,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210617,8fa04f5d14e45759934f682a4bb453cf3808c539,d4bdf768c760b112be210284030f61ac8973da7f,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210723,65b71eeb87e6346cca419395a12f0b75206178a0,c8ba39f3139272dbd2ef558aa661c77cead1953b,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210622,3d22b65af845a8a53b5541c0c2615f67f2bbe750,3290ab19c2dbdd34332cbfc819cfcd624e50724a,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210623,13e2977279ed8e84720da37d7c8e17ba8dfa6bc0,3d22b65af845a8a53b5541c0c2615f67f2bbe750,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210428,5cdd21a745f4f7ec397fdb846204e9f8cd459ed3,5e717fbffddd15e2c6d8897404ee93d3dde84d57,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210714,0280121b84dbdc0c63a4fd3fe2bca9a7337a00ee,2a0fc298cf61a097769e9164c73796c900e23f8d,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210501,bba24dcdeda40105615db8d33e3fa04f980cf128,f8cc918e83084503db13d1ab34bc2b0971ab1569,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210716,0cc9438a6d0043e337bc7370cb213b81060b3545,b6f70b9e613305b46f8fe147801d42f2dc09af4c,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210703,79b133eff01db577a9cfe248accd29f749b8d78d,be7454958b530c349cab985b2f92856b0a364163,0,0,https://github.com/linkerd/linkerd2-proxy,
linkerd2-proxy,rust,20210425,0c71e0345a031d6896ae3b665cb00523f902fbcf,5dec0de7a695561a208b9b0778d7782b7140fa9e,0,0,https://github.com/linkerd/linkerd2-proxy,
