Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
lxml,python,20230328,dfdd910453e24f48dfe550060065cb7dbdd41728,d35f44e2d3da16d756467e1b9dd4001cb1f60d44,0,0,https://github.com/lxml/lxml/,
lxml,python,20240327,5154ebf9089915b1c44142756a69387d36d6d540,3ccc7d583e325ceb0ebdf8fc295bbb7fc8cd404d,0,0,https://github.com/lxml/lxml/,
lxml,python,20240113,9a7804240a4d809c57d4be2cc2151cf0aa2b2ca3,aa02f42ded3bde5f5430cd0b9bf37631e1afe9ed,0,0,https://github.com/lxml/lxml/,
lxml,python,20240122,d901ad9f4674f30c34b4450fd9a43dcd264bec9e,13a8ca6be1f2ec4f7cc55db18234ed0db4507fc1,0,0,https://github.com/lxml/lxml/,
lxml,python,20240111,aa02f42ded3bde5f5430cd0b9bf37631e1afe9ed,b367bd2c7d770d07199ab58b98251780e26471e4,0,0,https://github.com/lxml/lxml/,
lxml,python,20240120,13a8ca6be1f2ec4f7cc55db18234ed0db4507fc1,9808d2cb23372d76bcf7a3193f1377d872eb0660,0,0,https://github.com/lxml/lxml/,
lxml,python,20230512,c6b7e621e4696c02bf8f6ea423ffbbf2109748ab,11b33a83ad689bd16bd0a98c14cda51a90572b73,0,0,https://github.com/lxml/lxml/,
lxml,python,20240118,9808d2cb23372d76bcf7a3193f1377d872eb0660,5f3d1694363b956aa92a1683a614d90c630688ae,0,0,https://github.com/lxml/lxml/,
lxml,python,20240213,009e4ec30451ce370a42eefde91e03b5a8fbbab8,3c902168c46c2e55b69f38b1b56d57c5296958f6,0,0,https://github.com/lxml/lxml/,
lxml,python,20240328,d529fd00a931b46e2b2bf58ff7b4969299d86793,5154ebf9089915b1c44142756a69387d36d6d540,0,0,https://github.com/lxml/lxml/,
lxml,python,20230918,762f62c5a1ab62ce37397aeeab2c27fdcc14ca66,0268b8eb3287655303869e7b4e617ff0734fdfc4,0,0,https://github.com/lxml/lxml/,
lxml,python,20240103,3540745b92ad2ab543a10c7d7193ffbda9ed2b34,5024820445f50ba576605b26f23c1a9ffe179e4a,0,0,https://github.com/lxml/lxml/,
lxml,python,20230304,3d4e60f2835e4d85fd357c182656d3eca534f2ff,d5593c118856d3eba1eef181e3e0c666ded11f35,0,0,https://github.com/lxml/lxml/,
lxml,python,20240123,3a8caecc0f94d8e00ab116a4b32e57675140eb4d,d901ad9f4674f30c34b4450fd9a43dcd264bec9e,0,0,https://github.com/lxml/lxml/,
lxml,python,20240330,f3eefca35134f0ac774a1906497dac6d0bd295b4,3299a7e8154a2c010754a969348cd0a3858282a0,0,0,https://github.com/lxml/lxml/,
lxml,python,20240105,5fa0cd5955d8cfabcd5056540908475bba87669b,3540745b92ad2ab543a10c7d7193ffbda9ed2b34,0,0,https://github.com/lxml/lxml/,
lxml,python,20240128,3c902168c46c2e55b69f38b1b56d57c5296958f6,43df778a8a0484c9eafd95dee8a0f31ab4a5a6be,0,0,https://github.com/lxml/lxml/,
lxml,python,20240107,b6b4bda67929799b1a88b382a80d6cae411088af,3ef7def9822ebae8e70d381aace0b398a9765908,0,0,https://github.com/lxml/lxml/,
lxml,python,20240106,3ef7def9822ebae8e70d381aace0b398a9765908,5fa0cd5955d8cfabcd5056540908475bba87669b,0,0,https://github.com/lxml/lxml/,
lxml,python,20240329,3299a7e8154a2c010754a969348cd0a3858282a0,d529fd00a931b46e2b2bf58ff7b4969299d86793,0,0,https://github.com/lxml/lxml/,
lxml,python,20240109,b367bd2c7d770d07199ab58b98251780e26471e4,b6b4bda67929799b1a88b382a80d6cae411088af,0,0,https://github.com/lxml/lxml/,
lxml,python,20240117,5f3d1694363b956aa92a1683a614d90c630688ae,9a7804240a4d809c57d4be2cc2151cf0aa2b2ca3,0,0,https://github.com/lxml/lxml/,
lxml,python,20231021,c3a92ba58b77eae7e32a0a86ad1d191664f11f87,27a9b5da463152b88a171e5565053d6ee2462f11,0,0,https://github.com/lxml/lxml/,
lxml,python,20230526,0268b8eb3287655303869e7b4e617ff0734fdfc4,bf03e4507c0d5154dfd1b7e00427db403a7421fa,0,0,https://github.com/lxml/lxml/,
lxml,python,20230327,d35f44e2d3da16d756467e1b9dd4001cb1f60d44,3d4e60f2835e4d85fd357c182656d3eca534f2ff,0,0,https://github.com/lxml/lxml/,
lxml,python,20231019,27a9b5da463152b88a171e5565053d6ee2462f11,062ae8ce77d26bb5ce69a27f03cecd750c60e3b8,0,0,https://github.com/lxml/lxml/,
