Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
lz4,c++,20200917,1328c38a1507e9d6984685451909a6976a49ece9,440c8461d71a79ee927ce93077b58ad22d894d28,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20190712,f1e8e806e0dd753eb48e40272e620f747c7b723e,eb6b599a50db0c144f4f8f5cd2d7e8e480c31d4e,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20191107,6e0d2be73aae5a813bd5dc094bb39b3e03358817,e8baeca51ef2003d6c9ec21c32f1563fef1065b9,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20190911,9b2b96edc4642c4a21e2485ffe9bd43ed5f3a2b2,64e3134b2ad5536460baa628f0f2d8f1d258dbdb,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200822,34fe7c9d7f4fbeeb42c22f4ad1a01c1771d14268,04a425d0472243b9a59fbc343daf582c90370521,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200825,d64962a44bde352e24bf2e7553dc68c13568821e,34fe7c9d7f4fbeeb42c22f4ad1a01c1771d14268,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200820,04a425d0472243b9a59fbc343daf582c90370521,fa5435bca9140c10bd1756d96e1b52a11e88d0ad,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200304,f39b79fb02962a1cd880bbdecb6dffba4f754a11,23b6a700b3088b74fc9058daf9f9b31c6f4838d2,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200530,1db9be5c47b70c9e35564d282b18a1a973d22305,f39b79fb02962a1cd880bbdecb6dffba4f754a11,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200924,20856da7c571cc1ee55965a342527f8263dc356d,dc27b7ae4157024384b4766e501d9ba2788ddfd3,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200208,9f3ee5522312162acebb6c893dc77b5e0632f2ee,e55548b0bd553cc25d8c0994db6f5d49663fb3f5,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20190723,805947ffcbbe223838b11e2b03298182ffab87e3,fb8a159436d6b1a346e2fd40232447f10a9408d6,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20191201,bed083b3c76ae3ea76a5fc2edb822220fb69f680,6e0d2be73aae5a813bd5dc094bb39b3e03358817,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20191206,0f749838bf29bc0d1df428e23cf3dbb76ec4e9fc,e3069dabcd99c9c34d1ff96a4217ea8f9436479d,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20191008,e8baeca51ef2003d6c9ec21c32f1563fef1065b9,689dff5b4422132d46f5cbb3e55d17af37abe600,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20190815,fdf2ef5809ca875c454510610764d9125ef2ebbd,dfad84ca3eca2fb89a1cdb5adf829975035827d5,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20190927,689dff5b4422132d46f5cbb3e55d17af37abe600,e9d8e15263df4a0529dcd22ca48c82869d19abb9,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200117,c7ad96e299545330617e95eebc1369edd4e5fdf0,0f749838bf29bc0d1df428e23cf3dbb76ec4e9fc,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200614,49b3ad4bd41311e92fc3a18eda571800bde5aa42,1db9be5c47b70c9e35564d282b18a1a973d22305,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20200826,fe0bfb0c77dfe75872e3c0fc60a012bb90dd3288,d64962a44bde352e24bf2e7553dc68c13568821e,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20201110,f9631e44a83b3b1278d6d3405acca20ecc8ad4c5,9cf3f106a8dea906ff4550f749112e9e89536678,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20201114,80751571ae235869dc5b91a5f7f8ec8d6a119ee0,3771943c7e78d27f138e3520f0573b4b4acb4838,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20201201,07a2476fe61e0fc0b7e25f411b13619295479064,87a80acbe7872b9da7d56f7005ffd1b715e87c93,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20201117,9cf52b315192d4c66fde47cc8217b1cccfd19dc7,48d9b7416b4c4ef89ac8ad3fc6b2fff7bcb8a870,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20190924,e9d8e15263df4a0529dcd22ca48c82869d19abb9,d5ceafd4118c88e2372b0ccb35f8352f25f172a1,1,1,https://github.com/lz4/lz4.git,ossfuzz/compress_frame_fuzzer.c
lz4,c++,20210106,023bb62c8d353704b0ce44d024900c66307d5e76,384eb158358a21f4c501cebc2cadd127cbd4fde2,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20210220,1d58f77818f2ac8c18e89a884826c9fa8acba295,a8e888774a5fd2563e6e085e7274465175696476,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20190910,64e3134b2ad5536460baa628f0f2d8f1d258dbdb,28964f4bea7fa95dc76154c5190d77fc18b2f8c8,33,7,https://github.com/lz4/lz4.git,ossfuzz/fuzz_data_producer.c;ossfuzz/round_trip_fuzzer.c
lz4,c++,20200809,97654d3cd2c61a9aa7f20f117fd0cc69d647a1d6,cd5d78ebd0a75c68432a1935c8ef9eeb952275c1,11,0,https://github.com/lz4/lz4.git,lib/lz4frame.h
lz4,c++,20200819,fa5435bca9140c10bd1756d96e1b52a11e88d0ad,9a6e93859d8241643831994572f41c21b6887470,3,0,https://github.com/lz4/lz4.git,lib/lz4frame.h
lz4,c++,20210530,e8a8fd6f0b8434c8e5c1ef5d87e9edcabb31f90d,634fa2047d217f1c62222071a8313bc5e17d4509,0,0,https://github.com/lz4/lz4.git,
lz4,c++,20210603,355f60952938e5bd4d45118af720d4b8fb0c8a09,145a92bcc51a2b3256710a1788baf70a74275274,0,0,https://github.com/lz4/lz4.git,
