Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
ndpi,c++,20200131,39b1ad3087471cc6f9e11ea52b903060e0189e72,4e538b1e4d60de30b8643b8426d9c9e8ee9d49d7,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20191211,2c2bb11c9b704c5b13e9b45d93a16fbad6304cb0,bf5e9b7b0b83b93116786e7b982dbe4db3645ffa,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20191216,deed27cbefd10fa0fd8d8c670b781d7418c1dc4e,ea001b439a134f4e0e4245d29988547103c047b4,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20191116,53108c9ff15aa52db76ad271db256ff7070efcff,7a1940e1f70ffebae76fffb3d96a0b69a6cbfaf0,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20191126,ae9429408bded48ad71bb15df28745cc484d23f2,0ce56d57142d637760b50c6650fc30cff86f8378,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20191217,e21fe5d594e42cb7add0f86ad2b625a0693e8ba9,deed27cbefd10fa0fd8d8c670b781d7418c1dc4e,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20200114,e1047b324bc67bd64f690b0848ad26464b6a982e,da5208ee68c1281095e62abb820780fbe7b29bdc,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20200130,4e538b1e4d60de30b8643b8426d9c9e8ee9d49d7,c84ed5a71257d1db28036c37e90f828ed86623a0,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20200203,3e99b736358ca11c3ba3723a1282ffd3bfc760bd,5b11c2ffc59ecff878c8dc87ba3eb35adbb0b810,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20191213,81012b32017e818fc9597ce40c0c63eaf8908666,2c2bb11c9b704c5b13e9b45d93a16fbad6304cb0,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20200129,c84ed5a71257d1db28036c37e90f828ed86623a0,ab2a011cf9b4a6cf4ffb82726609154d6c09b753,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20200120,283588a37b313973d86fa04f821c0f071e26349b,812505b56bb4508bc42e1615d6425ad26444d3f8,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20200124,cedbf3b636ebd318aa38aeb08a588fbf8a4eb096,5a40f9b7fd50a53a55e0d842672b68abb5543190,0,0,https://github.com/ntop/nDPI.git,
ndpi,c++,20200210,a3da5604a38a1b2b240a9d692dade086148eb2e4,34984f1aec0eebdbee47408480c4f4cdb57cf0b3,13,9,https://github.com/ntop/nDPI.git,src/lib/protocols/kerberos.c
ndpi,c++,20200211,97fb50e837da46bac7bedeeb170cace6dd3a912c,a3da5604a38a1b2b240a9d692dade086148eb2e4,2,2,https://github.com/ntop/nDPI.git,src/lib/protocols/dns.c
ndpi,c++,20191121,e98b994a39ee829058265353473d773642c889cf,68b7986d9b9f5465fc727d454c9c38f2f1d4338e,7,7,https://github.com/ntop/nDPI.git,src/lib/protocols/skype.c
