Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
oak,rust,20220105,af3183ea04aabc2b4f70b0c4c9a9003f38148a16,7f50e6b37ac5fe992518145822cabbb242823bfc,0,0,https://github.com/project-oak/oak,
oak,rust,20210728,ea6491ca939469e3c8c8924204eb568e9c7a5667,facc62bff8ad7feed92ffd29c6a59e03838c5e1f,0,0,https://github.com/project-oak/oak,
oak,rust,20211230,c5880aa5837bdfb284ea9758b7e58998d204ac74,9d62a035906a098a4a2d694babcbd836902be01c,0,0,https://github.com/project-oak/oak,
oak,rust,20211205,a845882839c8604a9459a6fd631741deb7fed911,149621fdd9e7048fcac08bfeb8ec748c92f0df9c,0,0,https://github.com/project-oak/oak,
oak,rust,20211218,a55b88e472a84c634c53da788815d0d71ab3bcd7,3669647eb7ba7d35142c98dea7d93ef524d8cd3a,0,0,https://github.com/project-oak/oak,
oak,rust,20211224,9d62a035906a098a4a2d694babcbd836902be01c,320019ee4cf97c4e5273ad11e04fa546e95faa92,0,0,https://github.com/project-oak/oak,
oak,rust,20210715,6c54c4a884325abbb43d108611312f4598431be4,6fd8541af7b1de8846601e350d1c35021c6170c8,0,0,https://github.com/project-oak/oak,
oak,rust,20211208,c33c4e80e589f315c79f2b4c7fd692abab580b2a,6769de3ec5b2e3115708d45f9eb7b19528886c29,0,0,https://github.com/project-oak/oak,
oak,rust,20210521,edf562e6087173cb6bb0d34fd4903385d3a8acbf,b05ac2231604d0444051df2e2084bda8c5505d7c,0,0,https://github.com/project-oak/oak,
oak,rust,20210710,51079b196290ae570fcbfd4abdcc5d227a4cd231,21f118356643bd2f2ad4a710e7810c1beecab961,0,0,https://github.com/project-oak/oak,
oak,rust,20210622,8568591c2a00d4746f997630f1de80334cecc93b,ab76f5af3a1d3b30dace19b4bc5facfb8bfa2d06,0,0,https://github.com/project-oak/oak,
oak,rust,20210706,21f118356643bd2f2ad4a710e7810c1beecab961,1e73c4dc6e63ad6edc6ce3a9fa6197a6f945ac1c,0,0,https://github.com/project-oak/oak,
oak,rust,20210619,ab76f5af3a1d3b30dace19b4bc5facfb8bfa2d06,13b98706a0296ca83b83a9f13a4b2de35fb3602e,0,0,https://github.com/project-oak/oak,
oak,rust,20210713,6fd8541af7b1de8846601e350d1c35021c6170c8,51079b196290ae570fcbfd4abdcc5d227a4cd231,0,0,https://github.com/project-oak/oak,
oak,rust,20220106,073ff28158e8ece7c5048e0eb7a6a91dd44af8cc,af3183ea04aabc2b4f70b0c4c9a9003f38148a16,0,0,https://github.com/project-oak/oak,
