Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
rdkit,c++,20200902,5a8db40181dd8492c7fa83e62fa2c1d157737566,0b438197c755035369970d02c3081ee6a9ec3da9,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200602,6a8db56bebe3df3bc59304a8da5cec446a54ac1f,ed826d2441f114685363cc8f7b748828a3832643,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200517,1760ff4b4cede7274fd7003cf93ddd6eb15e1a24,8cbce48c7dc73d6a246e704e3e175e7b355b34c2,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200824,ac396df23a381c1671c653be119e61474edd368e,c0a62388a219d411cdb3c6a22c90f86d05071535,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200818,b558de22c6c2526e97a55dafa3fce45fbbeaee5c,02d76edc09aadb6366e62b168686fdc2ef4e58ff,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200930,d47650ba853b2f1930ee08c3b130723f204d4d09,2c26af2caa99acf9b7a762739ddcd021f5a845a4,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200801,c7e7614568e214d5d4dde66d5880a13f247f69e4,f14f8a60de0ecf4bf5294d73b177d19055e0096d,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200821,c0a62388a219d411cdb3c6a22c90f86d05071535,28eb951dfdc49a9cbbe79a06d93ef8c908e9ef3a,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200907,db68b217b98388900f87a2031a4e55b86e8e7f55,eaeba839a35b413f568af9724f58f2fc3cfe0e82,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200926,f6e5d7a82372d335f35e6ec4cff3f0fb0568aefa,527a7adf9908c247f080f024ff740ed5b3329fdb,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200605,853d9137c843583ccb0ca74a4f003217fcb41cd6,6a8db56bebe3df3bc59304a8da5cec446a54ac1f,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200928,e666eb74fddef26a392d2d8bd5e7d0fcd9d0ed68,f6e5d7a82372d335f35e6ec4cff3f0fb0568aefa,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200831,36ab603d9ae623aa84a4a3caa623203b85a7a214,c259a81e01a95b56897b76627df67b0fac703a64,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200814,7f1b6aed0cf73b5820bbb746a8cf6afbc09ac458,b5dcb21fef96bdafb5efddfe5f09192331728049,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200613,8507bded0dfae1e85ad1cb2cc3ed25fd7f108a4d,f45aef8effb618d5f2b42b1d7437221be5b56bcb,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200911,202c86330258285ec0e15d096f4d7113027bb554,728bb8defea43f1dce3ab73db93be7fe1f04ea62,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200910,728bb8defea43f1dce3ab73db93be7fe1f04ea62,9a864f4238ee830ef5864c3b1efd0f88a338e0e2,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200526,c346aa1492243631ee7f6529d79e6a1e1edbcc6c,e86e2c1d5d375c75cbd7e00871ecc1e0a29b3548,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200912,635cfbfcafb38d7b94ce8e2e72cc104300b7d9a4,202c86330258285ec0e15d096f4d7113027bb554,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200925,527a7adf9908c247f080f024ff740ed5b3329fdb,a19072fd87aff2b49887913bcf300bdfba25f0a0,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200615,90585c0f0d288818e240505b84950b3b9458eb85,8507bded0dfae1e85ad1cb2cc3ed25fd7f108a4d,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200810,aa4d5dc22c4df3e0b83ffdd9d385ab7c13ed2caf,c7e7614568e214d5d4dde66d5880a13f247f69e4,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20201001,71e60af1f5035a4ed4b876e0f7a977d356ab44a0,d47650ba853b2f1930ee08c3b130723f204d4d09,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200827,c259a81e01a95b56897b76627df67b0fac703a64,1a3ce773cf2b5d6fb3f5a89e188488ab8a596da6,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200531,ed826d2441f114685363cc8f7b748828a3832643,870219a43646d26979acf5808a5750bb5903b5a3,10,0,https://github.com/rdkit/rdkit.git,Code/RDGeneral/Invariant.cpp
rdkit,c++,20201005,d1be88c39ad37ffc646a5ea801c66e6685b3a830,f41aa033d433e65efbeaf931e9a66972afadec1c,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20201002,717c62d9de64588558738dfa922270bbb4bef0f3,71e60af1f5035a4ed4b876e0f7a977d356ab44a0,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20201006,5e71c91d05aef5a33569b8bb30531e0d073668ab,d1be88c39ad37ffc646a5ea801c66e6685b3a830,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20201008,3c3efd80d0c1bd0e3d396ef1133817f294e93483,9b2dcf2c533cacd98d7c16f5939b3475d2fdb3c4,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20201004,f41aa033d433e65efbeaf931e9a66972afadec1c,717c62d9de64588558738dfa922270bbb4bef0f3,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20201010,64de4ed9bc7baca1c5e4f9b7205797d279fd0938,8ea1ac6112a3917071527af328ddc97c0723330b,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20201009,8ea1ac6112a3917071527af328ddc97c0723330b,3c3efd80d0c1bd0e3d396ef1133817f294e93483,0,0,https://github.com/rdkit/rdkit.git,
rdkit,c++,20200909,9a864f4238ee830ef5864c3b1efd0f88a338e0e2,db68b217b98388900f87a2031a4e55b86e8e7f55,4,0,https://github.com/rdkit/rdkit.git,Code/GraphMol/SubstanceGroup.h
