Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
rust-regex,rust,20230420,f1f99af2bceee226b0e754509286050754c95379,8161ac82f0506f37df929881bc912396171c8a5c,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20230416,fd1d95b1bd15db8a31efa82585a1842ad34091f1,9582040009820380a16819ca0d1ae262c7d454b0,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20230425,1872bdf3cefa5dbc4cb49b631b884d342a47364a,4e29fceace6f3c189f78b1baaec6755f27d69ffb,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20220304,b92ffd5471018419ec48dbdef32757424439f065,f6e52dafdee305d16d6778e7bfe935bd9a6ae38b,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20221209,9330ea50f5611cbf75b86f03278ffb1db5542a42,ac2d0e1b33b4674ad9b26266ef4b828d7200ec0f,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20210409,cc0f2c9064ee7529718e410a1e3b711f4e632468,ff283badce21dcebd581909d38b81f2c8c9bfb54,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20230519,a3978b24b81c568411a1680e0f72079a04eea7ab,98be16a1880008425a011504a950b9070b7f16b9,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20230525,d555d6122d1d1a354c45361d029571413beca8ef,8afffabb86caacb7ba8646530cf366e5921556e4,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20230110,a9b2e02352db92ce1f6e5b7ecd41b8bbffbe161a,9330ea50f5611cbf75b86f03278ffb1db5542a42,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20220702,c01b6338046f495ad875ecf3dfa5e9b39eada4ea,2f23f6034eecc029f4be72e3d8a29ca727f13fc8,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20221006,0d0023e412f7ead27b0809f5d2f95690d0f0eaef,159a63c85eb77ec321301bc4c4ebfb90343edc2b,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20210518,6cdb9040f55aba067e2b3eeb5ea3045051681780,f2dc1b788f773a49f1b6633a6302054978344452,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20230522,65ec58cbd4dd9a0fcfa0823876b7dd0bb1736bd1,a3978b24b81c568411a1680e0f72079a04eea7ab,0,0,https://github.com/rust-lang/regex,
rust-regex,rust,20210507,f2dc1b788f773a49f1b6633a6302054978344452,238b7759ad913c3e3d49cf30a84267eb6b89e9dd,0,0,https://github.com/rust-lang/regex,
