Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
simd,c++,20211002,9b0fba9a51e3079beb9b0628aa3fef521925ed0f,db14144a0ee3197acff03086b1a146453e44f7b0,0,0,https://github.com/ermig1979/Simd,
simd,c++,20210816,4cdd6754aecc03ad9198035eb16a499c020f247c,af41bdb76b69f6414aba4f40053393e91278a035,0,0,https://github.com/ermig1979/Simd,
simd,c++,20210914,b93367c1e151537edfb1d7d12e68fb5e77de19a7,046ba00c86e21fffcd9c2d6ea751a5e1e2023bdc,0,0,https://github.com/ermig1979/Simd,
simd,c++,20211014,66c39d61726a6e389331f05e21bf37af05ae4346,c08f789ca5074eee0b3d0545a3db967d40db1d8b,0,0,https://github.com/ermig1979/Simd,
simd,c++,20211019,dd86729d2b0252aee182b62718f1e4e8941bc71b,66c39d61726a6e389331f05e21bf37af05ae4346,48,2,https://github.com/ermig1979/Simd,src/Simd/SimdMemoryStream.h
simd,c++,20210707,b13bb305dedbe0dd23b81c4d82cd1c268e4a794e,1a5ee02959131efca57979d270372cb0893d567a,2,0,https://github.com/ermig1979/Simd,src/Simd/SimdAvx512bwResizer.cpp
simd,c++,20211029,bbeff9e9f7f7932466a4636c8a41df22c2049dc7,036fdc0ce27c28208d9fe3f44996715c19ac6c23,0,0,https://github.com/ermig1979/Simd,
simd,c++,20210817,046ba00c86e21fffcd9c2d6ea751a5e1e2023bdc,4cdd6754aecc03ad9198035eb16a499c020f247c,110,0,https://github.com/ermig1979/Simd,src/Simd/SimdTransform.h
simd,c++,20210708,2bb307d437123c26c13bb0fbdc52b67252c7d975,b13bb305dedbe0dd23b81c4d82cd1c268e4a794e,2,0,https://github.com/ermig1979/Simd,src/Simd/SimdAvx512bwBgraToBgr.cpp;src/Simd/SimdDefs.h
simd,c++,20210717,4a37ae382445e78b3f0e653bea065fac74fc3feb,9eb49a7e050b84edf105c5b2c09cdd98b9a711d1,12,0,https://github.com/ermig1979/Simd,src/Simd/SimdBaseDetection.cpp;src/Simd/SimdLog.h
simd,c++,20211101,5e0cacf1f7bbe87209752649703ff7e3aeb51347,90d935788d11f11859c692cff3b1b067ba801aed,0,0,https://github.com/ermig1979/Simd,
simd,c++,20210805,d1f219618976a47972e5d59c392d6ce0b91c1a03,4009dfa056ed7db3fc2c1326af9156e751cbffbc,44,0,https://github.com/ermig1979/Simd,src/Simd/SimdAvx2Transform.cpp;src/Simd/SimdTransform.h
simd,c++,20210608,f4aeaa05df20141efb29107fb29a3677f2c0b9ef,423fb48956c0841d32575952c36aab086bfd71ad,220,0,https://github.com/ermig1979/Simd,src/Simd/SimdBaseResizer.cpp;src/Simd/SimdResizer.h
simd,c++,20210812,29a19591565db75542dd5f7b6e07c64ee83de845,bd0002fc39acb0c71cfe58ae8a5742899e00c724,276,0,https://github.com/ermig1979/Simd,src/Simd/SimdAvx512bwTransform.cpp;src/Simd/SimdTransform.h
simd,c++,20210616,2abc6acef21f76b13631f45c6094155a4746fdb1,9013f80d21463774be869f57ab126d49358a3522,61,0,https://github.com/ermig1979/Simd,src/Simd/SimdLoad.h;src/Simd/SimdResizer.h
simd,c++,20211104,2793bde5bac7e0f44058cabbbe4d3a29bc7d6360,fe1720aa59c1d26fa37f761f5f62e04676aa012d,3,0,https://github.com/ermig1979/Simd,src/Simd/SimdImageSaveJpeg.h
simd,c++,20211023,cd26f13286e76041b919becf5b2b0b6452310aec,dd86729d2b0252aee182b62718f1e4e8941bc71b,131,0,https://github.com/ermig1979/Simd,src/Simd/SimdBaseImageLoadPng.cpp;src/Simd/SimdImageLoad.h;src/Simd/SimdMemoryStream.h
simd,c++,20211112,1f74fd40bbd86b2fa82b4ac254375cf861de35fa,55fa7b5a5d8a80068cf984cacd122ee6e5359a3f,0,0,https://github.com/ermig1979/Simd,
simd,c++,20210710,6b1b80242a70c79485a5f3f042ad44e86081a76d,2bb307d437123c26c13bb0fbdc52b67252c7d975,14,0,https://github.com/ermig1979/Simd,src/Simd/SimdAvx2Float16.cpp;src/Simd/SimdAvx512bwFloat16.cpp
simd,c++,20211013,c08f789ca5074eee0b3d0545a3db967d40db1d8b,9b0fba9a51e3079beb9b0628aa3fef521925ed0f,4,0,https://github.com/ermig1979/Simd,src/Simd/SimdBaseImageLoadJpeg.cpp;src/Simd/SimdMath.h
simd,c++,20211119,1aeeb3b257f8315389d103416091aec039b3851f,896669485da856ae3704b4a26f51dd8218c26cec,0,0,https://github.com/ermig1979/Simd,
simd,c++,20211120,5f6ed1749e09bfa2d5a1eb1e307046d74de8af3f,1aeeb3b257f8315389d103416091aec039b3851f,0,0,https://github.com/ermig1979/Simd,
