Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
starlark-rust,rust,20230520,acafeb23cf62371529f335244860eabc9d4afd1d,130b365dd4233dfd5087de6d2654cc4c2f65000f,0,0,https://github.com/facebookexperimental/starlark-rust.git,
starlark-rust,rust,20230708,5cbd74770e56b18696ba27949d212767a6cd0158,b66340b7a21eaaea4fc0aeb1e5da3ad61a9e2fe5,0,0,https://github.com/facebookexperimental/starlark-rust.git,
starlark-rust,rust,20230609,096b6460c2953d65c9698b58c3f110c502bb5021,a315c0f415486a949e73538e8da74a4754318ba3,0,0,https://github.com/facebookexperimental/starlark-rust.git,
starlark-rust,rust,20230617,a29bfb552c59878c24a8728c69bd0497e78c34fd,cf671fde44dad9d266e590450ab8f893221e54bc,0,0,https://github.com/facebookexperimental/starlark-rust.git,
starlark-rust,rust,20230710,590eb0f44c173b31b7645c71a1cf7a83f55d6ece,5cbd74770e56b18696ba27949d212767a6cd0158,0,0,https://github.com/facebookexperimental/starlark-rust.git,
starlark-rust,rust,20230715,e8fa6ed2052560caa4dba3881bddbf817b2a0c1e,c227278e12ccaaa887e93abefe8fde32ef0d1247,0,0,https://github.com/facebookexperimental/starlark-rust.git,
starlark-rust,rust,20230711,409bf91c4fe60b283852c77185c50f35c5fb2eb7,590eb0f44c173b31b7645c71a1cf7a83f55d6ece,1,0,https://github.com/facebookexperimental/starlark-rust.git,starlark/src/syntax/dialect.rs
starlark-rust,rust,20230713,1aa876f82c17cbfdc3dea9b382a850493c903b95,eed429bd44e87ddc955f3da4a890972bafd087d2,70,0,https://github.com/facebookexperimental/starlark-rust.git,starlark/src/stdlib/json.rs
starlark-rust,rust,20230718,385645f745bd1cc47e55de95df5d0984214fcf92,8087dad9610a0eeeffecd66db68008385cf4ed19,0,0,https://github.com/facebookexperimental/starlark-rust.git,
starlark-rust,rust,20230523,d54703fd8aa699f079f00cc8cb8009e6c6282c78,2feeb5d1c9b09020a195524c332a990e9208c8ee,50,0,https://github.com/facebookexperimental/starlark-rust.git,allocative/allocative/src/impls/hashbrown.rs;allocative/allocative/src/impls/std/cell.rs;starlark/src/stdlib/json.rs
starlark-rust,rust,20230522,2feeb5d1c9b09020a195524c332a990e9208c8ee,e8b209fccce4e503cd592bfcb36f67dbb32faf97,153,0,https://github.com/facebookexperimental/starlark-rust.git,starlark/src/read_line.rs;starlark/src/stdlib/json.rs;starlark/src/values/layout/pointer.rs
starlark-rust,rust,20230719,ce6f3b457eb1e1f0f8b88d2655bbe9e5af467f3b,385645f745bd1cc47e55de95df5d0984214fcf92,30,0,https://github.com/facebookexperimental/starlark-rust.git,starlark/src/values/types/tuple/rust_tuple.rs
starlark-rust,rust,20230608,a315c0f415486a949e73538e8da74a4754318ba3,237262bdd24c2c796949a66e3f868f92d9869ec2,56,0,https://github.com/facebookexperimental/starlark-rust.git,starlark/src/environment/globals.rs;starlark/src/environment/modules.rs
starlark-rust,rust,20230521,e8b209fccce4e503cd592bfcb36f67dbb32faf97,acafeb23cf62371529f335244860eabc9d4afd1d,2,0,https://github.com/facebookexperimental/starlark-rust.git,starlark/src/values/owned.rs;starlark/src/values/traits.rs
