Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
stb,c++,20250513,802cd454f25469d3123e678af41364153c132c2a,f0569113c93ad095470c54bf34a17b36646bbbb5,0,0,https://github.com/nothings/stb.git,
stb,c++,20241109,0dd01c26ef47750512cdc1830581480c25a19f1d,2e2bef463a5b53ddf8bb788e25da6b8506314c08,0,0,https://github.com/nothings/stb.git,
stb,c++,20250315,f0569113c93ad095470c54bf34a17b36646bbbb5,5c205738c191bcb0abc65c4febfa9bd25ff35234,0,0,https://github.com/nothings/stb.git,
stb,c++,20250527,f58f558c120e9b32c217290b80bad1a0729fbb2c,802cd454f25469d3123e678af41364153c132c2a,0,0,https://github.com/nothings/stb.git,
stb,c++,20240214,ae721c50eaf761660b4f90cc590453cdb0c2acd0,b7cf1246284b49dfe7f1288e6f739b7a3a9d966b,0,0,https://github.com/nothings/stb.git,
stb,c++,20241110,5c205738c191bcb0abc65c4febfa9bd25ff35234,0dd01c26ef47750512cdc1830581480c25a19f1d,0,0,https://github.com/nothings/stb.git,
stb,c++,20240716,f7f20f39fe4f206c6f19e26ebfef7b261ee59ee4,013ac3beddff3dbffafd5177e7972067cd2b5083,0,0,https://github.com/nothings/stb.git,
stb,c++,20231116,03f50e343d796e492e6579a11143a085429d7f5d,beebb24b945efdea3b9bba23affb8eb3ba8982e7,0,0,https://github.com/nothings/stb.git,
stb,c++,20210714,3a1174060a7dd4eb652d4e6854bc4cd98c159200,a0a939058c579ddefd4c5671b046f29d12aeae01,0,0,https://github.com/nothings/stb.git,
stb,c++,20240729,f75e8d1cad7d90d72ef7a4661f1b994ef78b4e31,f7f20f39fe4f206c6f19e26ebfef7b261ee59ee4,0,0,https://github.com/nothings/stb.git,
stb,c++,20210703,8e51be04dc7dcee462e1f09e410faceab52cc6d2,80c8f6af0304588b9d780a41015472013b705194,0,0,https://github.com/nothings/stb.git,
stb,c++,20220909,8b5f1f37b5b75829fc72d38e7b5d4bcbf8a26d55,af1a5bc352164740c1cc1354942b1c6b72eacb8a,0,0,https://github.com/nothings/stb.git,
stb,c++,20210402,c9064e317699d2e495f36ba4f9ac037e88ee371a,b42009b3b9d4ca35bc703f5310eedc74f584be58,0,0,https://github.com/nothings/stb.git,
stb,c++,20210621,80c8f6af0304588b9d780a41015472013b705194,ea2f937a01ce39795ab02b6c6e30173b4f1ed46c,0,0,https://github.com/nothings/stb.git,
stb,c++,20231012,beebb24b945efdea3b9bba23affb8eb3ba8982e7,c4bbb6e75f688318b2df2b70c2df2d641c1a8481,0,0,https://github.com/nothings/stb.git,
stb,c++,20210605,ea2f937a01ce39795ab02b6c6e30173b4f1ed46c,c9064e317699d2e495f36ba4f9ac037e88ee371a,0,0,https://github.com/nothings/stb.git,
stb,c++,20210910,af1a5bc352164740c1cc1354942b1c6b72eacb8a,c0c982601f40183e74d84a61237e968dca08380e,0,0,https://github.com/nothings/stb.git,
stb,c++,20240209,b7cf1246284b49dfe7f1288e6f739b7a3a9d966b,f4a71b13373436a2866c5d68f8f80ac6f0bc1ffe,0,0,https://github.com/nothings/stb.git,
stb,c++,20241019,2e2bef463a5b53ddf8bb788e25da6b8506314c08,31707d14fdb75da66b3eed52a2236a70af0d0960,0,0,https://github.com/nothings/stb.git,
stb,c++,20231010,c4bbb6e75f688318b2df2b70c2df2d641c1a8481,5736b15f7ea0ffb08dd38af21067c314d6a3aae9,0,0,https://github.com/nothings/stb.git,
stb,c++,20241003,31707d14fdb75da66b3eed52a2236a70af0d0960,f75e8d1cad7d90d72ef7a4661f1b994ef78b4e31,0,0,https://github.com/nothings/stb.git,
stb,c++,20240526,449758bd74ce14b7d0ba9b24a3dbc4386702a0e0,ae721c50eaf761660b4f90cc590453cdb0c2acd0,0,0,https://github.com/nothings/stb.git,
stb,c++,20240601,013ac3beddff3dbffafd5177e7972067cd2b5083,449758bd74ce14b7d0ba9b24a3dbc4386702a0e0,6,4,https://github.com/nothings/stb.git,stb_image.h
stb,c++,20210712,a0a939058c579ddefd4c5671b046f29d12aeae01,8e51be04dc7dcee462e1f09e410faceab52cc6d2,199,29,https://github.com/nothings/stb.git,stb_image.h
stb,c++,20210830,c0c982601f40183e74d84a61237e968dca08380e,3a1174060a7dd4eb652d4e6854bc4cd98c159200,9,4,https://github.com/nothings/stb.git,stb_image.h
stb,c++,20231215,f4a71b13373436a2866c5d68f8f80ac6f0bc1ffe,03f50e343d796e492e6579a11143a085429d7f5d,173,97,https://github.com/nothings/stb.git,stb_image.h
stb,c++,20200716,b42009b3b9d4ca35bc703f5310eedc74f584be58,f54acd4e13430c5122cab4ca657705c84aa61b08,171,41,https://github.com/nothings/stb.git,stb_image.h;tests/stbi_read_fuzzer.c
stb,c++,20230130,5736b15f7ea0ffb08dd38af21067c314d6a3aae9,8b5f1f37b5b75829fc72d38e7b5d4bcbf8a26d55,117,9,https://github.com/nothings/stb.git,stb_image.h
