Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
c-blosc2,c++,20210107,da437aa64b33f06a6e519e6495635b1d501800d4,787c8184416a388a26c1f3c82bf182dc06496d1c,0,0,https://github.com/Blosc/c-blosc2.git,
c-blosc2,c++,20210119,0e8bdfce66ba4b2fef79a2525fd83ecfc22b0983,0dae3518e8b2a59fa5f1a0459cdae950f68ce025,0,0,https://github.com/Blosc/c-blosc2.git,
c-blosc2,c++,20200730,7bfcc322c086f41df8188a493c989af21e3707d2,2d328439f9ea58b7516bc2a8fa37892fd28fed14,0,0,https://github.com/Blosc/c-blosc2.git,
c-blosc2,c++,20200725,ccb29e32c1d1a5f4c6c884a6ce517722f2c0d5cc,50a7357108e5efe1e1b9c3b407d6214f7e907e00,0,0,https://github.com/Blosc/c-blosc2.git,
c-blosc2,c++,20201127,4185b8c67d9d64ec145544d269631125f40d1611,474ebf151be847186e6bc2c1381a8f7d4beff4dd,0,0,https://github.com/Blosc/c-blosc2.git,
c-blosc2,c++,20201007,f4a74cbff7c021342450f103623a6d9143230e85,2caa42458b9810fbb766f4fe36ae144ecf993853,0,0,https://github.com/Blosc/c-blosc2.git,
c-blosc2,c++,20201016,f82602a8557cc568b39b2e6472be4e5f9060483e,f4a74cbff7c021342450f103623a6d9143230e85,0,0,https://github.com/Blosc/c-blosc2.git,
c-blosc2,c++,20200707,1bf1c0abb671e92d7b1d0151040292340314e130,ff1fe3f4006a5142023a373a577fee014496cc25,3,3,https://github.com/Blosc/c-blosc2.git,blosc/btune.h
c-blosc2,c++,20200804,8de8821d78ac0f018e14804dece7dc00be70c05f,7bfcc322c086f41df8188a493c989af21e3707d2,0,0,https://github.com/Blosc/c-blosc2.git,
c-blosc2,c++,20201231,3055a05f0a229a11b5d8c65d42ab15ad17f3b714,af4860f071a10dc51b7fe640b03911ae237703de,5,5,https://github.com/Blosc/c-blosc2.git,internal-complibs/lizard-1.0/lizard_decompress_liz.h
