Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
tinygltf,c++,20220302,53338352f2078d6f51cb2fde2a1af301462c07a0,a1952053eeb566c612499f36172a84653e0611fe,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20220214,17e6e310ce3cd43d7895be3c0116908d1afa8a91,e7f1ff5c59d3ca2489923beb239bdf93d863498f,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20220902,240d993f9437fd4dc810c003535b9a15d6b24ad5,3bddc09af4a7243d3b0ebbdd8dab8fa3893657c6,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20221229,cf11842e64585de6e925329192f23fccfbf9b57e,aa613a1f572c8b9c676a4c0a1d6e5445bf5760f5,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20221108,16c2d3a8bf53649cac6514bc0fdab72d7d956fc8,9bdd25662563cbf0053ddb531852cf5b7e99e8aa,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20220507,912856823dcb2badf2074055b6d006f7bb3800b8,1a7c7d20013465b5c2a1285872b52a43ab62c1b3,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20230113,477d977feaeb4f7d5ba7c347406a40e2e2ed155f,a6c3945ed3f3cf062485363d46653a42bd8dcf3b,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20210704,514167b475ef6d684c93c7f1f232ccf2c8701b34,7e83ef9fb44d8150d69e3d70067146f3746db917,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20220922,6e8a858c4567340919238c21277481f88e14044c,e0b625561c66d185b606097b5b3e70460cc43431,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20211121,38398cc2da3e203eb46a075eafd053f07a4c401a,b86eb6c07964e5a35058b8e7a1cc4cdad6afe204,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20221204,aa613a1f572c8b9c676a4c0a1d6e5445bf5760f5,16c2d3a8bf53649cac6514bc0fdab72d7d956fc8,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20230211,6dba104c54bebd6c6b34f589272a06da509156e2,52b73c7f0b41c54cc7f28cbf62598e6ca7d8e255,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20230808,0eaa23fbfc5ca91cdd574474ecb193d738d5eaaf,f51243da480806032cfb6f8d6799a7493397cb86,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20220630,3d4150419e8ad40dab89d6f4079382377b492310,b901dd62d88f3c68bd498354c8aa215b1a7269c5,1,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220906,64452bb5fa1779d5a65cc5fe8e60d77b0724918b,24e539621d4cb23227cafd016734738ed1451ef7,5,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220225,e59028d68f7116f38385e4c04b6d3493313b4df9,4749b0989d925f7f9719b78d415934d3bcbf9f47,2,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20210429,bc753d4ac5aac75581cdbb1cc88ee2df91ef47c3,08a7dd8dadd303e4cb29f7c1a4525047e04cc5c0,9,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20210830,19a41d20ec03d35cee68ff85511bc5875f6037b8,514167b475ef6d684c93c7f1f232ccf2c8701b34,2,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220903,24e539621d4cb23227cafd016734738ed1451ef7,240d993f9437fd4dc810c003535b9a15d6b24ad5,5,4,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20221101,9bdd25662563cbf0053ddb531852cf5b7e99e8aa,091a1fcc1abcef17c58bbbf400e85f5b87952491,4,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20210521,7e83ef9fb44d8150d69e3d70067146f3746db917,ce3a30e612f6c1ed9bc618927de62189097574a9,8,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220817,9117abb45d948b025b533143f678af65c258e1eb,0fa56e239c77cc864dc248842e8887d985cf8e3f,46,1,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220516,b901dd62d88f3c68bd498354c8aa215b1a7269c5,912856823dcb2badf2074055b6d006f7bb3800b8,1,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220917,eec4c98862b7fb760b2fb70971d7b652e593af9f,c7e911cf11e2c0eb30f7e7d1b5b4afc1881e3133,1,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20230411,a977f7a16f73cf036fa227f961ccca660a3c0318,d71c6f61f341b5fcb3b7235ca6ce4244dac9261a,3,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20230114,c2ca97b38b0e92140393b180061bd0847ff7e435,477d977feaeb4f7d5ba7c347406a40e2e2ed155f,4,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220224,4749b0989d925f7f9719b78d415934d3bcbf9f47,17e6e310ce3cd43d7895be3c0116908d1afa8a91,1,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220907,0cc23356dccc77825cf9516eec4bae47ebacc811,64452bb5fa1779d5a65cc5fe8e60d77b0724918b,99,4,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20210514,ce3a30e612f6c1ed9bc618927de62189097574a9,f66f3bfeb35066e9c795ab6d625375693bc835d5,1,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20221230,695608dd115c4c1b05dcb9c44050c1af304dfb17,cf11842e64585de6e925329192f23fccfbf9b57e,75,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20230314,967c98dd90406cb9d25df0d95909deae7771e997,84a83d39f55dcd12d722b77c5181349f4c840f5b,3,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220820,3bddc09af4a7243d3b0ebbdd8dab8fa3893657c6,9117abb45d948b025b533143f678af65c258e1eb,2,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220303,6ed7c39d71b81b1454238c72dd2d3c3380c8ef36,53338352f2078d6f51cb2fde2a1af301462c07a0,1,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20231212,c5641f2c22d117da7971504591a8f6a41ece488b,6782f887bb100e2bc7e6751ad46fe8288c84f767,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20230607,c201efb9985c89d9d8935a560e0ce92f1acbd165,5a6df34d9984030478e766e8e57e5114dd26a041,176,41,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20221231,03bbe0921cf5cc8c22f8739471156a2ed1cfd90b,695608dd115c4c1b05dcb9c44050c1af304dfb17,21,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20240322,b13261230707aa0c274e7974c82f7d1b4b11d3fe,4bfc1fc1807e2e2cf3d3111f67d6ebd957514c80,0,0,https://github.com/syoyo/tinygltf.git,
tinygltf,c++,20220919,e0b625561c66d185b606097b5b3e70460cc43431,eec4c98862b7fb760b2fb70971d7b652e593af9f,59,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20230609,14c86324d7a74efce69995e69b2f5808e1b0d56a,c201efb9985c89d9d8935a560e0ce92f1acbd165,76,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20230116,52b73c7f0b41c54cc7f28cbf62598e6ca7d8e255,c2ca97b38b0e92140393b180061bd0847ff7e435,10,1,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220802,81f7dbe53a112d05217a79bb1c986f9ada3b6631,544969b7324cd6bba29f6203c7d78c7ea92dbab0,14,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20230605,5a6df34d9984030478e766e8e57e5114dd26a041,147a00a601ab2dac98a920597d3205d089d6a503,2,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20230427,350c2968025882bdf823e7892d02328548b46435,59cc44ad4fcba579ed308165305581d1bf8fc14d,1,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20221009,091a1fcc1abcef17c58bbbf400e85f5b87952491,9bb5806df4055ac973b970ba5b3e27ce27d98148,48,1,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20210512,f66f3bfeb35066e9c795ab6d625375693bc835d5,bc753d4ac5aac75581cdbb1cc88ee2df91ef47c3,2,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20220815,0fa56e239c77cc864dc248842e8887d985cf8e3f,666ab8661cb2d08ceb12639d8cff15cac50e9943,1,0,https://github.com/syoyo/tinygltf.git,tiny_gltf.h
tinygltf,c++,20241017,116d0030f9a55151eb1890b7b7131e4c0602de96,fda7422022ff058b1b7b501d373a97b1cc377bfd,0,0,https://github.com/syoyo/tinygltf.git,
