Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Full_Covered,Partial_Covered,Diff_URL,Diff_Files,Treat_PC_As_Full
tomcat,jvm,20221110,6a0ac6a438cbbb66b6e9c5223842f53bf0cb50aa,722356932f063705ee995e79e99e4572f6c765a9,0,0,0,https://github.com/apache/tomcat,,True
tomcat,jvm,20221111,e095d2036c6cb41601223165be912211d23da8e5,6a0ac6a438cbbb66b6e9c5223842f53bf0cb50aa,0,0,0,https://github.com/apache/tomcat,,True
tomcat,jvm,20221112,dada59ea4575eb2030e5fbb6eca41700d736bf3e,e095d2036c6cb41601223165be912211d23da8e5,1,0,0,https://github.com/apache/tomcat,java/jakarta/servlet/http/HttpServletRequest.java,True
tomcat,jvm,20221210,3124e9798a272db2aff7cef33e50a639ebea5f3d,6f5c624c1f2619d4b5321402b635a38c31005ce2,0,0,0,https://github.com/apache/tomcat,,True
tomcat,jvm,20230106,f2e87cc0324e9048fd15ec2808fab6f4d1093331,8761e48e23855462a3cddcc5ecc16aa6c34d0f5a,0,0,0,https://github.com/apache/tomcat,,True
tomcat,jvm,20221123,eb69ef8402868a66ba7174ccd3d7adf90b1a4d4e,24a10f29001b753d4ab879c42c964eaa955bcfbd,0,0,0,https://github.com/apache/tomcat,,True
tomcat,jvm,20221215,9277bae15a52f35e6921a2e2ad6262d7323eb7dd,2d931eed6c35702ef6541c0fd6c067b79e5eb371,0,0,0,https://github.com/apache/tomcat,,True
tomcat,jvm,20221201,633acf1047401e5ee53f32f69738be6314849110,2c6b70f8c2bcccecc3fa3d80be75f502b115ec75,0,0,0,https://github.com/apache/tomcat,,True
tomcat,jvm,20221220,17d9359b23ed357e84563108d3d90f9cbe65a5fb,1e7e121cefe6dae4ef03bc046b9575192ff13cc1,0,0,0,https://github.com/apache/tomcat,,True
tomcat,jvm,20221209,6f5c624c1f2619d4b5321402b635a38c31005ce2,c7c866352f67bb4a6a2b3a0bc17c882b6ebc867f,0,0,0,https://github.com/apache/tomcat,,True
