Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
trust-dns,rust,20221104,ccd875bce4c6bb05e6f5778b7759fd90bb70b7cb,fe70e51f5d4e50e7e59f7c1642c9b68571c012d2,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230414,c551ebb45a4a15343b8305193fece2e5c23a84ed,1a3c3466f1a9531bd6129e6d5ccf6c44b0398630,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230613,a614257fb0b57471c0903d0c88e15528a69faac5,30e0caa7946600cfdbb5f0f9ca4b39a00b3015d3,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230307,5492bdedba3479b480fcb904844568fd82d12500,560189c4351d36f375b38eb27e229d90112df821,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230318,912c0b0a0730f0c8212b5fe43b2ef510e6f4ad21,5492bdedba3479b480fcb904844568fd82d12500,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230516,aa892c64b308adf4efcbd362e895384ce8a64000,86667d7ce62fc148e94884639d516e28f6f43d34,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230602,2d352ae66af5219c0024884e0e69d40c4f041e66,555e0ceebca77ffe0558433a265e186f052381da,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230707,c3066d753e53811b498b9689635d08ec1422b4e1,c4e92cf837b2cd5bd5c3567bc405d01cf6eb1f03,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230603,4d3b5a228b7c41ffd4ce346082f560af84babc7d,2d352ae66af5219c0024884e0e69d40c4f041e66,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230601,555e0ceebca77ffe0558433a265e186f052381da,8190c8629a3c5e05654fc0f9f80fa0f4650b9c4b,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230518,41b6e33c51e99db50d873d165d52d70e38f33a34,aa892c64b308adf4efcbd362e895384ce8a64000,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230119,0b6fefea3fefe1086fed4df6781550462de51553,e5075c6059d317629fc2844c9f1d6a853bb3490e,0,0,https://github.com/hickory-dns/hickory-dns,
trust-dns,rust,20230523,1d9d50cbe0772503cc14b1cf87b534d6b8cf5764,41b6e33c51e99db50d873d165d52d70e38f33a34,0,0,https://github.com/hickory-dns/hickory-dns,
