Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
config-validator,go,20211123,f3fd77c5c3559b5b34098bc33f7bf8e2af4fddd0,a8fe79965a19dfbdab69d920b28c9fcd205da2ec,0,0,https://github.com/GoogleCloudPlatform/config-validator/,
config-validator,go,20221209,1d72524ea1b879a07ca64901ef9e6d1a2672fb1a,cc2a394489fb2cc28400f8c9530d363a570bdd05,2,0,https://github.com/GoogleCloudPlatform/config-validator/,pkg/gcptarget/gcptarget.go;pkg/tftarget/tftarget.go
config-validator,go,20230815,ce0591f65aebceb7e81c8f3d6f3ee200697f8cb0,949ffee38adfb9de29e42e78c7385acc8c56a9af,11,11,https://github.com/GoogleCloudPlatform/config-validator/,internal/fuzz/fuzz.go;pkg/asset/asset.go;pkg/gcv/result.go
config-validator,go,20230328,a4226f60974b18f4ed03995b0c9b5463dc39a3b2,c2515be8d24e9d1b7cf0eec69e270354e46b15b8,2,2,https://github.com/GoogleCloudPlatform/config-validator/,pkg/asset/asset.go
config-validator,go,20220602,9c7f9463df8c6e4b38e737b5e1a891d00ac83bde,a6c35fd59e6e979a227f5c93afd6727e5f2579f2,4,4,https://github.com/GoogleCloudPlatform/config-validator/,pkg/gcv/validator.go
config-validator,go,20220709,ec92f4a06e50f8a3cea3d16eed4d1547142cc272,14d824313d83a8643e58b3a461e01d980cf8fcdc,1,0,https://github.com/GoogleCloudPlatform/config-validator/,pkg/gcptarget/gcptarget.go
config-validator,go,20220609,881eeb8f16ae80345e221fc801ceec16090ae556,5775f767a9bcf4333b32469036b56abe02a97387,16,2,https://github.com/GoogleCloudPlatform/config-validator/,pkg/gcv/validator.go
config-validator,go,20230816,1cb18334bdce22602bcccb50d10f85c12e8ee6f1,ce0591f65aebceb7e81c8f3d6f3ee200697f8cb0,0,0,https://github.com/GoogleCloudPlatform/config-validator/,
config-validator,go,20220218,d34703856f91a63747190a059d9e93954ad4e4b2,f3fd77c5c3559b5b34098bc33f7bf8e2af4fddd0,2,2,https://github.com/GoogleCloudPlatform/config-validator/,pkg/gcv/validator.go
config-validator,go,20230308,0dfa3040e8a4a0c0f7944e05048a1918913e0970,1d72524ea1b879a07ca64901ef9e6d1a2672fb1a,0,0,https://github.com/GoogleCloudPlatform/config-validator/,
