Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
duckdb,c++,20210531,08277d7a604c9329df049244c95d2a81b8872e05,4c1c190b5b30bf24f66f0b0ae2f460fbb193e6b8,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210522,cebe6d0b4a2650ad26881c55238e510e93a0f9b1,fdfdf48d25892c56cf6b03d7fa811ecef6b9b977,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210717,206bcdc38dd041e063a51bc8e278f51b10f73382,aee95e5fa22bb76a28468b20f0a9419204d835fa,12,0,https://github.com/duckdb/duckdb/,src/common/types/validity_mask.cpp
duckdb,c++,20210603,4867ff33a30e112c75683409b33cc51952ab68e8,621b080a757fcd8d8760028b6028e2c4303494bf,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210606,feb854eac79366777df310f2857dfcd35efcf532,74697b852cc97491a23bdf0b277b3e0a4a00b580,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210523,72661e49893da8ef7eaa9abe3943bd03fc5e7fd7,cebe6d0b4a2650ad26881c55238e510e93a0f9b1,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210708,57836fa39f96f023bc512bce60dfcc721cee21b1,ceb542923b42f05b7da92b8a2f88bfffaa099b35,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210622,05815b113fbd388a5a91c27525bc2613b6e014b5,f75fff43853fa5d8f40b79f0b9456e8ec9dc9c47,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210707,ceb542923b42f05b7da92b8a2f88bfffaa099b35,fa8aaaf73d6f1ca9e988e43933112cdefc4587d0,2,0,https://github.com/duckdb/duckdb/,src/common/enums/optimizer_type.cpp
duckdb,c++,20210619,07916e564a87d94ea5cd7dc433ae75394762edca,41a6f0506192f7f0df1554e82e526e01357352d1,14,0,https://github.com/duckdb/duckdb/,src/function/aggregate/distributive/arg_min_max.cpp
duckdb,c++,20210609,9a1c3f674b9ecec4aee52c599dbeb30fa79fc751,16a247995a81a396e46ba317142d2e2e24650398,1,0,https://github.com/duckdb/duckdb/,src/storage/data_table.cpp
duckdb,c++,20210706,fa8aaaf73d6f1ca9e988e43933112cdefc4587d0,35176b99b995799dc0a2958920079f77e9610dc8,4,0,https://github.com/duckdb/duckdb/,src/catalog/catalog_entry/view_catalog_entry.cpp;src/function/aggregate/holistic/quantile.cpp
duckdb,c++,20210709,df581f232b4cb8261293d9d13a34f2002455ba89,57836fa39f96f023bc512bce60dfcc721cee21b1,13,0,https://github.com/duckdb/duckdb/,src/execution/operator/persistent/buffered_csv_reader.cpp;src/include/duckdb/execution/operator/persistent/buffered_csv_reader.hpp
duckdb,c++,20210724,af2290d840dbe6816685ddc3bb1ffc1af06f024e,ff7f24fd8e3128d94371827523dae85ebaf58713,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210723,ff7f24fd8e3128d94371827523dae85ebaf58713,d39da82e5ac4c41ec2a228782a8cc3d7221affdf,0,0,https://github.com/duckdb/duckdb/,
duckdb,c++,20210613,8bc050d05b25a379efdaa537bd801b712671a83b,6f24d939b84b56d45c8163634b36a5816d35d8ca,43,0,https://github.com/duckdb/duckdb/,src/function/scalar/math/numeric.cpp;src/function/scalar/math_functions.cpp
duckdb,c++,20210608,16a247995a81a396e46ba317142d2e2e24650398,8045e42405bf5c5f2a995b186e9a8390cc69a79c,105,0,https://github.com/duckdb/duckdb/,src/common/cycle_counter.cpp;src/function/table/pragma_detailed_profiling_output.cpp;src/main/query_profiler.cpp
duckdb,c++,20210731,a8fd73b37bfc249b76b2aaa488d52dfdb39bb3d9,be82d667083c9ebf811f42a0611df40672712c69,11,0,https://github.com/duckdb/duckdb/,src/function/scalar/operators/arithmetic.cpp
duckdb,c++,20210528,900ee896042445ba2b08a33dad6012da4b58e33b,ca29583f012fe513179a03872d612f72525d08ea,498,0,https://github.com/duckdb/duckdb/,src/execution/operator/order/physical_order.cpp;src/include/duckdb/common/types/row_data_collection.hpp;src/include/duckdb/storage/buffer/block_handle.hpp
duckdb,c++,20210804,4ab0df5e10c749d02d4d00eb72c0474e75b57d4f,2df6da514e32c35a2255cf1b01bd005e91282444,4,0,https://github.com/duckdb/duckdb/,src/include/duckdb/parser/qualified_name.hpp
