Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
envoy,c++,20181018,761de643c2a94d9d6a5c42500ec423888959cfdd,818fc0cef0b00d0dfa849c721b49177f110fff1a,0,0,https://github.com/envoyproxy/envoy.git,
envoy,c++,20181117,200b0e41641be46471c2ce3d230aae395fda7ded,90c4ca3508534c8622aede26564002716d047caa,0,0,https://github.com/envoyproxy/envoy.git,
envoy,c++,20181120,3cca9eea6befa5b300230a06516d8f9a46f519df,f9646c9803d23baddd745fdf1d30ed6519d1d2dd,0,0,https://github.com/envoyproxy/envoy.git,
envoy,c++,20181211,6ea4a035315109fa6c5eff5b74e983729a179f3f,fd245996016eeaef912dfca3268a904ff935d8c0,0,0,https://github.com/envoyproxy/envoy.git,
envoy,c++,20181021,65ce8be945eea0e30006446db7ce405f76439673,74eda45486932ef8e5b3c3cf82355b3836a4f8e8,0,0,https://github.com/envoyproxy/envoy.git,
envoy,c++,20181201,890f1f13179e74d4b728599da66466acf0338762,dd2b1d457e97cfd266673489fb8dd7c948bd0d7b,0,0,https://github.com/envoyproxy/envoy.git,
envoy,c++,20181105,989de30e51fc59b8e93f45c4e3bd01fb01baa65c,7f1bbfaceb44c51e0c7734c7c0abe0afa00f39f6,0,0,https://github.com/envoyproxy/envoy.git,
envoy,c++,20181215,280bdda746412622631ed18ee440d6b2476e720b,e7d71aa3c3afe20d2a34572edd12c108f05e497d,11,9,https://github.com/envoyproxy/envoy.git,source/common/upstream/health_checker_impl.cc
envoy,c++,20181213,db3a93a50d8248077e4c3e8518eb42c2cf22281a,5cdf99dac5fcc95106a26595412545606caf365c,7,7,https://github.com/envoyproxy/envoy.git,source/common/upstream/health_discovery_service.cc
envoy,c++,20181212,5cdf99dac5fcc95106a26595412545606caf365c,6ea4a035315109fa6c5eff5b74e983729a179f3f,3,0,https://github.com/envoyproxy/envoy.git,source/common/ssl/context_impl.cc
envoy,c++,20181029,f9edb521ce641ee16cd59e756604d201a8ad3526,59aba8c0c2aea4c466a45a582410198002b1fa91,157,0,https://github.com/envoyproxy/envoy.git,source/extensions/transport_sockets/alts/config.cc;source/extensions/transport_sockets/alts/tsi_socket.cc
envoy,c++,20181022,f2145bb26ab4f72fef09dd3dbdce85a34aa433d4,65ce8be945eea0e30006446db7ce405f76439673,37,17,https://github.com/envoyproxy/envoy.git,source/server/options_impl.cc;test/integration/server.cc;test/integration/server.h
envoy,c++,20181104,7f1bbfaceb44c51e0c7734c7c0abe0afa00f39f6,8a1cf443f31d6c6f56c505efcb1b2caa7fe61114,295,0,https://github.com/envoyproxy/envoy.git,source/extensions/filters/network/dubbo_proxy/config.cc;source/extensions/filters/network/dubbo_proxy/decoder.cc;source/extensions/filters/network/dubbo_proxy/filter.cc
envoy,c++,20181126,b1f2fbf46b4796c4e7f098f1496ac359a5964e45,38758f67b1de011315d3b203a558ad154b8704c3,42,15,https://github.com/envoyproxy/envoy.git,source/common/upstream/subset_lb.cc;test/mocks/upstream/cluster_info.h
envoy,c++,20181119,f9646c9803d23baddd745fdf1d30ed6519d1d2dd,200b0e41641be46471c2ce3d230aae395fda7ded,23,0,https://github.com/envoyproxy/envoy.git,source/common/stats/thread_local_store.cc;source/extensions/retry/priority/previous_priorities/previous_priorities.cc
envoy,c++,20181016,1c81ab9a3f5804a2d51d14ffa1d85bdf2672097c,8ecacd083362412f0695ccb86585cda153268dc4,30,2,https://github.com/envoyproxy/envoy.git,source/common/stream_info/filter_state_impl.cc;source/common/upstream/outlier_detection_impl.cc
envoy,c++,20181202,9dacb47c8d3025191c2dea91f28bda0759bda23c,890f1f13179e74d4b728599da66466acf0338762,57,23,https://github.com/envoyproxy/envoy.git,source/common/network/listen_socket_impl.cc;source/common/network/utility.cc
envoy,c++,20181116,90c4ca3508534c8622aede26564002716d047caa,cb44cf21fb29046c9ddc2bb54ed80a224453b7e5,19,2,https://github.com/envoyproxy/envoy.git,source/common/http/http1/codec_impl.cc;source/extensions/filters/http/rbac/rbac_filter.cc;source/extensions/filters/network/rbac/rbac_filter.cc
envoy,c++,20181216,2031ffcc91ba55602000fd107bcad314cfc49cf4,280bdda746412622631ed18ee440d6b2476e720b,8,1,https://github.com/envoyproxy/envoy.git,test/integration/fake_upstream.h;test/mocks/network/mocks.h;test/mocks/server/mocks.h
envoy,c++,20181206,2c4aae045399777d3ec877eaf1f70bc15e54e616,43fc77901ee8a1608239daaa51b531f922628083,13,7,https://github.com/envoyproxy/envoy.git,source/common/network/listen_socket_impl.cc;source/common/upstream/cluster_manager_impl.cc;source/common/upstream/eds.cc;source/server/http/admin.cc
envoy,c++,20181025,0a542015aa26b334c00ef15de34a7e4a81fe9677,0a7d19417ade013fe6c71659b2d2cfd7134a6829,304,0,https://github.com/envoyproxy/envoy.git,source/common/access_log/access_log_formatter.cc;source/common/router/header_formatter.cc;source/common/stream_info/filter_state_impl.cc;source/common/tcp_proxy/tcp_proxy.cc;source/extensions/filters/network/sni_cluster/sni_cluster.cc;source/extensions/tracers/zipkin/span_context_extractor.cc;source/extensions/tracers/zipkin/zipkin_tracer_impl.cc
envoy,c++,20181209,6af63e9b7aea2543f454c4a2c7f19351d6ed9128,01d726a41bdd790c16765e1d321cb50590574eb0,22,10,https://github.com/envoyproxy/envoy.git,source/common/http/conn_manager_impl.cc;source/common/network/listen_socket_impl.cc;source/common/stream_info/utility.cc;source/extensions/access_loggers/http_grpc/grpc_access_log_impl.cc;source/server/server.cc
envoy,c++,20181203,0ebe247e7de52228d0772ee9d63007df9d98dc00,9dacb47c8d3025191c2dea91f28bda0759bda23c,120,22,https://github.com/envoyproxy/envoy.git,source/extensions/filters/common/ratelimit/ratelimit_impl.cc;source/extensions/filters/common/ratelimit/ratelimit_registration.cc;source/extensions/filters/http/jwt_authn/authenticator.cc;source/extensions/filters/http/ratelimit/config.cc;source/extensions/filters/http/ratelimit/ratelimit.cc;source/extensions/filters/network/ratelimit/config.cc;source/extensions/filters/network/ratelimit/ratelimit.cc;source/extensions/filters/network/thrift_proxy/filters/ratelimit/config.cc;source/extensions/filters/network/thrift_proxy/filters/ratelimit/ratelimit.cc;source/server/configuration_impl.cc
envoy,c++,20181024,0a7d19417ade013fe6c71659b2d2cfd7134a6829,d25a0a50d829f3f638f4840ff5c9fedc18835408,36,0,https://github.com/envoyproxy/envoy.git,source/common/config/grpc_mux_impl.cc;source/common/ssl/context_impl.cc;source/common/ssl/context_manager_impl.cc;source/common/ssl/utility.cc;source/common/tracing/http_tracer_impl.cc;source/server/config_validation/server.cc;source/server/server.cc;test/mocks/server/mocks.cc
envoy,c++,20181207,01d726a41bdd790c16765e1d321cb50590574eb0,2c4aae045399777d3ec877eaf1f70bc15e54e616,45,5,https://github.com/envoyproxy/envoy.git,source/common/ssl/context_impl.cc;source/server/connection_handler_impl.cc;source/server/listener_manager_impl.cc;test/integration/fake_upstream.h;test/mocks/network/mocks.h
envoy,c++,20181204,4f0e5c2f4108bcb611993581e51a4e96b73ab49b,0ebe247e7de52228d0772ee9d63007df9d98dc00,296,108,https://github.com/envoyproxy/envoy.git,source/common/ssl/context_impl.cc;source/common/stream_info/utility.cc;source/extensions/filters/http/jwt_authn/authenticator.cc;source/server/config_validation/server.cc;source/server/http/admin.cc;source/server/server.cc
envoy,c++,20190107,f8ba63a4b2a3f0293cfcb44eddcab178f5adc059,7c5badba34e8e4e5115b81776bafc7bcaa3a5834,1,0,https://github.com/envoyproxy/envoy.git,source/server/options_impl.cc
envoy,c++,20190120,4623d19a9b105f7e5ba7175eb0390bdc2aacd2ef,953ccd6497c29587d29a84a65796d656418ab122,1,0,https://github.com/envoyproxy/envoy.git,source/extensions/filters/listener/proxy_protocol/proxy_protocol.cc
envoy,c++,20181217,25b143c9813671c320561f8b0b8b31d7e0a3dac4,2031ffcc91ba55602000fd107bcad314cfc49cf4,23,12,https://github.com/envoyproxy/envoy.git,source/common/upstream/eds.cc;source/common/upstream/load_balancer_impl.cc;source/common/upstream/subset_lb.cc;source/common/upstream/upstream_impl.cc;source/extensions/filters/http/grpc_json_transcoder/json_transcoder_filter.cc;test/mocks/upstream/mocks.h
envoy,c++,20190103,5f7c3de24f0d31515cd9a82aec482c3f225e9c8a,87553968ec2258919d986e9a76512b0009d01575,104,13,https://github.com/envoyproxy/envoy.git,source/common/router/retry_state_impl.cc;source/common/router/router.cc;source/common/ssl/context_config_impl.cc;source/common/stream_info/utility.cc;source/common/tcp_proxy/tcp_proxy.cc;source/extensions/access_loggers/http_grpc/grpc_access_log_impl.cc;source/server/server.cc
envoy,c++,20181013,8ecacd083362412f0695ccb86585cda153268dc4,bc322c8ffd9971e1aa38f4870b7629890d4c5958,578,12,https://github.com/envoyproxy/envoy.git,source/common/common/matchers.cc;source/common/http/conn_manager_impl.cc;source/common/ssl/utility.cc;source/extensions/filters/common/rbac/matchers.cc;source/extensions/filters/network/dubbo_proxy/buffer_helper.cc;source/extensions/filters/network/dubbo_proxy/hessian_utils.cc;source/server/overload_manager_impl.cc;source/server/server.cc
envoy,c++,20190127,b51f1e48fbf50040e5525441af2596fbc0ba938b,208a7fc72dd5f63fe1722111a248de4ce9224eab,0,0,https://github.com/envoyproxy/envoy.git,
envoy,c++,20181210,fd245996016eeaef912dfca3268a904ff935d8c0,6af63e9b7aea2543f454c4a2c7f19351d6ed9128,183,9,https://github.com/envoyproxy/envoy.git,source/common/grpc/common.cc;source/common/grpc/google_async_client_impl.cc;source/common/ssl/context_config_impl.cc;source/common/ssl/context_impl.cc;source/common/ssl/tls_certificate_config_impl.cc;test/config/utility.cc;test/config/utility.h;test/integration/ssl_utility.cc;test/integration/ssl_utility.h
envoy,c++,20190104,974ecb9a460186ab02c89bddd36a28c7980cf669,5f7c3de24f0d31515cd9a82aec482c3f225e9c8a,29,4,https://github.com/envoyproxy/envoy.git,source/common/buffer/buffer_impl.cc;source/common/ssl/context_config_impl.cc;source/extensions/filters/network/redis_proxy/command_splitter_impl.cc;test/config/utility.cc
envoy,c++,20190121,cf80045587240d494e54e9772949bc9af5eda61f,4623d19a9b105f7e5ba7175eb0390bdc2aacd2ef,476,0,https://github.com/envoyproxy/envoy.git,source/extensions/common/tap/admin.cc;source/extensions/common/tap/tap_config_base.cc;source/extensions/common/tap/tap_matcher.cc;source/extensions/filters/http/tap/config.cc;source/extensions/filters/http/tap/tap_config_impl.cc;source/extensions/filters/http/tap/tap_filter.cc
envoy,c++,20181129,7d1f8faaab0a2640af2ccac529b9ab625bfecec5,6d9de10ccdc6977a6ee381de2db158b223a83bb5,43,3,https://github.com/envoyproxy/envoy.git,source/common/buffer/buffer_impl.cc;source/common/buffer/watermark_buffer.cc;source/common/http/conn_manager_impl.cc;source/common/http/header_map_impl.cc;source/common/http/utility.cc;source/common/router/header_parser.cc;source/extensions/filters/http/grpc_json_transcoder/json_transcoder_filter.cc;source/extensions/filters/network/rbac/config.cc;source/extensions/filters/network/rbac/rbac_filter.cc;test/mocks/http/mocks.h
envoy,c++,20181019,0ccc70ae77909baadcb07dd0c9ca2ef583dde3b5,761de643c2a94d9d6a5c42500ec423888959cfdd,118,29,https://github.com/envoyproxy/envoy.git,source/common/access_log/access_log_formatter.cc;source/common/common/logger.cc;source/common/common/utility.cc;source/common/http/conn_manager_impl.cc;source/extensions/access_loggers/file/config.cc;source/extensions/filters/network/http_connection_manager/config.cc;source/extensions/tracers/lightstep/lightstep_tracer_impl.cc;test/common/access_log/access_log_formatter_fuzz_test.cc;test/common/http/conn_manager_impl_fuzz_test.cc;test/integration/filters/add_trailers_filter.cc;test/integration/filters/pause_filter.cc
envoy,c++,20181028,59aba8c0c2aea4c466a45a582410198002b1fa91,f61bd5aa0dc3cc5397407c45010be7ac3c76c746,22,9,https://github.com/envoyproxy/envoy.git,source/common/http/conn_manager_impl.cc;source/common/ssl/context_impl.cc;source/common/ssl/context_manager_impl.cc;source/common/upstream/health_checker_base_impl.cc;source/extensions/access_loggers/http_grpc/grpc_access_log_impl.cc;source/extensions/filters/http/cors/cors_filter.cc;source/extensions/filters/http/grpc_web/grpc_web_filter.cc;source/server/config_validation/server.cc;source/server/server.cc;test/mocks/server/mocks.cc;test/test_common/simulated_time_system.cc
envoy,c++,20190207,28fbbaa76026f52412c2550ff78664ca79c35487,f9107b26ccca409a13716b7b094bd87fec9765fb,19,11,https://github.com/envoyproxy/envoy.git,source/common/upstream/maglev_lb.cc;test/test_common/test_base.cc
envoy,c++,20181121,a8000cb78fa905231f84966782a801b287386f75,3cca9eea6befa5b300230a06516d8f9a46f519df,92,35,https://github.com/envoyproxy/envoy.git,source/common/api/api_impl.cc;source/common/common/thread.cc;source/server/config_validation/api.cc;source/server/config_validation/server.cc;source/server/server.cc;test/config/integration/certs/clientcert_hash.h;test/config/utility.cc;test/integration/fake_upstream.cc;test/integration/integration.cc;test/integration/server.cc;test/integration/utility.cc;test/server/config_validation/config_fuzz_test.cc;test/server/server_fuzz_test.cc;test/test_common/utility.cc;test/test_common/utility.h
envoy,c++,20181031,c951e6088a5e1214c864448b0ccfd104bf2131ee,0aa97c582de4588143d42c8f3b5ab6898f4afb80,156,33,https://github.com/envoyproxy/envoy.git,source/common/router/config_impl.cc;source/common/router/router.cc;source/common/upstream/cluster_manager_impl.cc;source/extensions/filters/http/cors/config.cc;source/extensions/filters/http/cors/cors_filter.cc;source/extensions/filters/network/redis_proxy/config.cc;source/extensions/filters/network/redis_proxy/conn_pool_impl.cc;source/extensions/filters/network/redis_proxy/proxy_filter.cc;source/server/http/admin.cc;test/mocks/upstream/mocks.cc;test/mocks/upstream/mocks.h
envoy,c++,20181020,74eda45486932ef8e5b3c3cf82355b3836a4f8e8,0ccc70ae77909baadcb07dd0c9ca2ef583dde3b5,122,24,https://github.com/envoyproxy/envoy.git,source/common/network/connection_impl.cc;source/common/router/config_impl.cc;source/common/router/header_formatter.cc;source/common/router/retry_state_impl.cc;source/common/tcp_proxy/tcp_proxy.cc;source/extensions/access_loggers/http_grpc/grpc_access_log_impl.cc;source/extensions/filters/network/rbac/rbac_filter.cc;source/extensions/filters/network/sni_cluster/sni_cluster.cc;test/common/access_log/test_util.h;test/mocks/network/mocks.cc;test/mocks/network/mocks.h;test/mocks/stream_info/mocks.cc
envoy,c++,20181130,dd2b1d457e97cfd266673489fb8dd7c948bd0d7b,7d1f8faaab0a2640af2ccac529b9ab625bfecec5,213,18,https://github.com/envoyproxy/envoy.git,source/common/stats/raw_stat_data.cc;source/common/upstream/cluster_manager_impl.cc;source/common/upstream/eds.cc;source/common/upstream/eds_subscription_factory.cc;source/common/upstream/upstream_impl.cc;source/extensions/tracers/datadog/datadog_tracer_impl.cc;test/mocks/http/mocks.cc;test/mocks/http/mocks.h;test/mocks/upstream/mocks.h;test/test_common/utility.cc;test/test_common/utility.h
envoy,c++,20181128,6d9de10ccdc6977a6ee381de2db158b223a83bb5,d13479f9903f19f753c9e6d5bcb0f0b1befaf7a4,237,70,https://github.com/envoyproxy/envoy.git,source/common/network/utility.cc;source/common/ssl/context_config_impl.cc;source/common/ssl/context_impl.cc;source/extensions/filters/network/mongo_proxy/proxy.cc;source/server/listener_manager_impl.cc;test/config/utility.cc;test/config/utility.h;test/integration/http_integration.cc;test/integration/http_integration.h;test/integration/ssl_utility.cc;test/integration/ssl_utility.h;test/mocks/network/mocks.cc;test/mocks/network/mocks.h
envoy,c++,20190212,346e329d1db25eda09c2dee7af16772e940fae18,cdcdfa6914f88b537122ed039fd0de5f78c0f209,89,70,https://github.com/envoyproxy/envoy.git,test/common/http/codec_impl_fuzz_test.cc
envoy,c++,20190122,cff38448036dd9c26d3038a0df864a8f9d372bf7,cf80045587240d494e54e9772949bc9af5eda61f,26,4,https://github.com/envoyproxy/envoy.git,source/common/router/router.cc;source/common/upstream/cluster_manager_impl.cc;source/common/upstream/health_checker_base_impl.cc;source/extensions/filters/http/health_check/health_check.cc;source/extensions/filters/network/mysql_proxy/mysql_utils.cc
envoy,c++,20190210,5d79ca7b47a40aba178ade9516fe279b38c2722a,1e6c9fb44f8317c8a78e85100cf685c16c41033a,22,0,https://github.com/envoyproxy/envoy.git,source/extensions/filters/common/ext_authz/ext_authz_grpc_impl.cc;source/extensions/filters/http/ext_authz/config.cc;source/extensions/filters/network/ext_authz/config.cc
envoy,c++,20181228,87553968ec2258919d986e9a76512b0009d01575,7d2e84d3d0f8a4ffbf4257c450b3e5a6d93d4697,65,17,https://github.com/envoyproxy/envoy.git,source/common/grpc/common.cc;source/common/http/conn_manager_impl.cc;source/common/http/http1/conn_pool.cc;source/common/http/utility.cc;source/common/json/json_loader.cc;source/common/network/utility.cc;source/common/protobuf/utility.cc;source/common/router/config_impl.cc;source/common/upstream/health_checker_impl.cc;source/extensions/filters/http/dynamo/dynamo_request_parser.cc;source/extensions/filters/http/jwt_authn/extractor.cc;source/extensions/filters/http/jwt_authn/matcher.cc;source/extensions/filters/network/thrift_proxy/router/router_impl.cc;test/test_common/environment.cc
envoy,c++,20190119,953ccd6497c29587d29a84a65796d656418ab122,ced65e825e44d30c720bbf5126724c6b49ca6e7e,114,24,https://github.com/envoyproxy/envoy.git,source/common/upstream/load_balancer_impl.cc;source/common/upstream/thread_aware_lb_impl.cc;source/extensions/filters/network/mongo_proxy/bson_impl.cc;source/extensions/retry/priority/previous_priorities/previous_priorities.cc;test/integration/http_integration.cc;test/mocks/router/mocks.h;test/mocks/upstream/mocks.h
envoy,c++,20190129,197acd8d480c22381f8a57dd20aa99187f9505d8,b3a6eb9013fda1b047d741ebbf500134bbf179fe,184,26,https://github.com/envoyproxy/envoy.git,test/integration/utility.cc;test/mocks/common.h;test/mocks/event/mocks.cc;test/mocks/event/mocks.h;test/mocks/server/mocks.h;test/test_common/simulated_time_system.cc;test/test_common/simulated_time_system.h;test/test_common/test_time.cc;test/test_common/test_time.h;test/test_common/test_time_system.h
