Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Covered_Lines,Diff_URL,Diff_Files
fluent-bit,c++,20200429,81deab2bb042c814cee964563c12e8bdd55d8af3,e045d65719c20a6bbc3a3ed8b6df1e12252bcf72,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200428,e045d65719c20a6bbc3a3ed8b6df1e12252bcf72,c6b374a84a3eea93a10c3476250e52bcea8f6b6b,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200420,92df2d95a6604a4b071b17c915fa522766b9d8cd,493407ef2845f3168a126abb3860cd2e766609c2,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200422,b56f9b1ad0ecf4379e6cec3a518063b47f98451e,92df2d95a6604a4b071b17c915fa522766b9d8cd,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200430,38f2be4d0a8a7be68b7ba31cd3dec884ae78776d,81deab2bb042c814cee964563c12e8bdd55d8af3,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200616,c3f7b5fc35e099426f5a509361e1e5f3b42f2696,46e479eb2d1d5f6fe57b1ad7bd395abb5e7bdb34,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200605,6facc81661fd67b6b881ae10abf2824dfb66d017,0065417f1cc9dadae6b2a795c96e8846e55eb202,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200806,14b0601310daf59bffa65c3029418c6c157578d2,ec498ac5490279e6e020c073960ca9d67c119a9d,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200608,7f0f0c73871446b2a10552225d9f4d65ced9cb82,dcef74a6fa6b724f91261fa2b274a4e68e57f2d1,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200505,d77c669be199155f84b6a836f987f4f79ec72b28,babc6bb1c71d83f50eea43288f5f7cd2892e40b4,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200730,61b8e104ca09ca44aaef739c5e777971c633cd8f,9562bee35cbb0b45717dc8bb8cde73c6d2041448,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200619,c58da1d920a78a3242e4e8045f15ed073bebe1d2,dd53f5669667c6d67dc276793c47fa235333561c,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200715,d9ace9f36c07161abcf4560688619af6b68b91be,33053a352d0f1aeb2da07be575b12c8aeabdd047,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200618,dd53f5669667c6d67dc276793c47fa235333561c,6fc3b076d93f99ce5d4324d63c36bb7043dd113f,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200711,d4c0afb29c60d2d0683831492125833f7f9462ff,a23882f49ca49317c749600036c6bd2b19ceb0cf,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200709,d88101d2a0465f60982a9ccb9e21ff8bf4a31001,1c33da012a20a48e06930d36c72bf54ff83179fc,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200731,11ebff45f791b64a2b062450d7adbbb62b0812a3,61b8e104ca09ca44aaef739c5e777971c633cd8f,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200725,2b8e3799a12f65d2c2a0e4f3eff5dcc730fe7e9a,7083a0edf480f09424f25c8e634e4996bf1e101b,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200717,db5c22beff8a373ed423dc6e12af4a250332138e,3af473b1c56d6e6480bbbdc2375ae72d1c163616,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200716,3af473b1c56d6e6480bbbdc2375ae72d1c163616,d9ace9f36c07161abcf4560688619af6b68b91be,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200714,33053a352d0f1aeb2da07be575b12c8aeabdd047,b7b1844e12f4fc1947af9a77dbf15557f5fb0842,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200523,560c4e38ebcaf23278bd0e940c2f9b3973e36235,3e2638fb2c4550b8f6b105e283dbf4e887fb3a35,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200606,dcef74a6fa6b724f91261fa2b274a4e68e57f2d1,6facc81661fd67b6b881ae10abf2824dfb66d017,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200807,ff0874f9cdeb0a7e3dfcc663f5088f64b2eba33e,14b0601310daf59bffa65c3029418c6c157578d2,0,0,https://github.com/fluent/fluent-bit/,
fluent-bit,c++,20200423,c6cb6dc2389cba48b938d8e770fd20857ab5cc82,b56f9b1ad0ecf4379e6cec3a518063b47f98451e,12,0,https://github.com/fluent/fluent-bit/,lib/monkey/mk_core/mk_event_epoll.c
